review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2025-09-01,1000642.89,965966.0,34676.89,1,96.53,NVDA,3.47
2025-09-08,999474.25,965966.0,33508.25,1,96.65,NVDA,3.35
2025-09-15,1001355.64,965966.0,35389.64,1,96.47,NVDA,3.53
2025-09-22,1002522.34,965966.0,36556.34,1,96.35,NVDA,3.65
2025-09-29,1002171.93,965966.0,36205.93,1,96.39,NVDA,3.61
2025-10-06,1002906.6,965966.0,36940.6,1,96.32,NVDA,3.68
2025-10-13,1003460.09,965966.0,37494.09,1,96.26,NVDA,3.74
2025-10-20,1002329.21,965966.0,36363.21,1,96.37,NVDA,3.63
2025-10-27,1004091.24,965966.0,38125.24,1,96.2,NVDA,3.8
2025-11-03,1007155.35,965966.0,41189.35,1,95.91,NVDA,4.09
2025-11-10,1005596.43,965966.0,39630.43,1,96.06,NVDA,3.94
2025-11-17,1003117.65,965966.0,37151.65,1,96.3,NVDA,3.7
2025-11-24,1002311.31,965966.0,36345.31,1,96.37,NVDA,3.63
2025-12-01,1001787.69,965966.0,35821.69,1,96.42,NVDA,3.58
2025-12-08,1002910.66,965966.0,36944.66,1,96.32,NVDA,3.68
2025-12-15,1001066.91,965966.0,35100.91,1,96.49,NVDA,3.51
2025-12-22,1002540.32,965966.0,36574.32,1,96.35,NVDA,3.65
2025-12-29,1003442.27,965966.0,37476.27,1,96.27,NVDA,3.73
2026-01-05,1003422.36,965966.0,37456.36,1,96.27,NVDA,3.73
2026-01-12,1002789.2,965966.0,36823.2,1,96.33,NVDA,3.67
2026-01-19,1003046.04,965966.0,37080.04,1,96.3,NVDA,3.7
2026-01-26,1003093.83,965966.0,37127.83,1,96.3,NVDA,3.7
2026-02-02,1002922.61,965966.0,36956.61,1,96.32,NVDA,3.68
2026-02-09,1003804.65,965966.0,37838.65,1,96.23,NVDA,3.77
2026-02-16,1002365.09,965966.0,36399.09,1,96.37,NVDA,3.63
2026-02-23,1004105.3,965966.0,38139.3,1,96.2,NVDA,3.8
