review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,prior_weight,new_weight,weight_change,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct
2025-09-01,MSFT,initiate,66.2,66.2,high,0.0,3.81,3.81,504.59,-2.31,2.22,2.19
2025-09-01,AMD,initiate,65.3,65.3,high,0.0,3.7,3.7,162.63,-7.07,-3.22,57.49
2025-09-01,AAPL,initiate,59.9,59.9,medium,0.0,3.13,3.13,231.7,3.25,5.76,16.47
2025-09-01,NVDA,initiate,55.3,55.3,medium,0.0,2.65,2.65,174.15,-4.11,1.44,16.26
2025-09-01,META,initiate,50.0,50.0,medium,0.0,2.01,2.01,737.6,1.86,5.37,-12.17
2025-09-08,MSFT,hold,66.2,0.0,high,3.81,3.81,0.0,496.14,2.35,2.66,-0.28
2025-09-08,META,hold,50.0,0.0,medium,2.01,2.01,0.0,751.18,0.44,-1.07,-17.3
2025-09-08,AMD,hold,65.3,0.0,high,3.7,3.7,0.0,151.41,4.73,5.32,54.24
2025-09-08,AAPL,hold,59.9,0.0,medium,3.13,3.13,0.0,237.43,-1.6,7.39,12.86
2025-09-08,NVDA,hold,55.3,0.0,medium,2.65,2.65,0.0,168.28,5.66,5.88,11.79
2025-09-15,MSFT,hold,66.2,0.0,high,3.76,3.76,0.0,513.23,0.5,0.39,-1.01
2025-09-15,META,hold,50.0,0.0,medium,2.05,2.05,0.0,763.56,1.79,-7.02,-20.25
2025-09-15,AMD,hold,65.3,0.0,high,3.46,3.46,0.0,161.16,-2.34,2.18,53.15
2025-09-15,AAPL,hold,59.9,0.0,medium,3.22,3.22,0.0,236.25,3.72,9.01,15.2
2025-09-15,NVDA,hold,55.3,0.0,medium,2.57,2.57,0.0,177.73,-0.61,5.55,6.99
2025-09-22,MSFT,hold,66.2,0.0,high,3.86,3.86,0.0,512.32,-0.58,-0.68,-8.06
2025-09-22,META,hold,50.0,0.0,medium,2.07,2.07,0.0,764.54,-2.8,-7.82,-22.34
2025-09-22,AMD,hold,65.3,0.0,high,3.66,3.66,0.0,159.79,-0.21,34.49,27.53
2025-09-22,AAPL,hold,59.9,0.0,medium,3.18,3.18,0.0,255.59,-0.24,-4.22,6.12
2025-09-22,NVDA,hold,55.3,0.0,medium,2.7,2.7,0.0,183.59,-2.95,-0.25,-2.58
2025-09-29,MSFT,hold,66.2,0.0,high,3.85,3.85,0.0,512.47,0.53,-0.2,-4.21
2025-09-29,META,hold,50.0,0.0,medium,2.07,2.07,0.0,742.79,-4.42,-3.56,-12.84
2025-09-29,AMD,hold,65.3,0.0,high,3.62,3.62,0.0,161.36,2.05,44.45,34.81
2025-09-29,AAPL,hold,59.9,0.0,medium,3.43,3.43,0.0,253.95,1.41,-0.84,9.7
2025-09-29,NVDA,hold,55.3,0.0,medium,2.78,2.78,0.0,181.83,3.17,0.75,-2.67
2025-10-06,MSFT,hold,79.7,0.0,high,3.85,3.85,0.0,526.38,-3.33,-0.94,-8.42
2025-10-06,META,hold,50.0,0.0,medium,2.01,2.01,0.0,715.08,-1.45,3.17,-5.9
2025-10-06,AMD,hold,73.6,0.0,high,3.66,3.66,0.0,203.71,5.49,24.16,7.0
2025-10-06,AAPL,hold,59.9,0.0,medium,3.41,3.41,0.0,256.2,-4.45,2.39,8.71
2025-10-06,NVDA,hold,55.3,0.0,medium,2.75,2.75,0.0,185.52,-1.28,0.39,-1.68
2025-10-13,MSFT,hold,79.7,0.0,high,3.91,3.91,0.0,511.92,-0.09,0.73,-6.74
2025-10-13,META,hold,50.0,0.0,medium,1.92,1.92,0.0,715.12,0.17,-9.41,-9.99
