review_date,ticker,event_type,prior_weight,new_weight,delta_weight,conviction_before,conviction_after,rationale_summary,forward_5d_pct,forward_20d_pct,forward_60d_pct
2025-09-01,MSFT,initiate,0.0,4.51,4.51,0.0,72.1,"All entry gates passed — conviction 72, thesis strengthening",-2.31,2.22,2.19
2025-09-01,AMD,initiate,0.0,3.9,3.9,0.0,67.3,"All entry gates passed — conviction 67, thesis strengthening",-7.07,-3.22,57.49
2025-09-01,NVDA,initiate,0.0,3.97,3.97,0.0,66.8,"All entry gates passed — conviction 67, thesis strengthening",-4.11,1.44,16.26
2025-09-01,AAPL,initiate,0.0,2.83,2.83,0.0,56.8,"All entry gates passed — conviction 57, thesis strengthening",3.25,5.76,16.47
2025-09-01,META,initiate,0.0,2.01,2.01,0.0,50.0,"All entry gates passed — conviction 50, thesis forming",1.86,5.37,-12.17
2025-09-08,AAPL,add,2.83,3.92,1.1,56.8,56.8,Winner with strong conviction and attractive valuation — add,-1.6,7.39,12.86
2025-09-15,AAPL,add,3.92,4.87,0.95,56.8,56.8,Winner with strong conviction and attractive valuation — add,3.72,9.01,15.2
2025-09-15,NVDA,add,3.85,5.56,1.71,66.8,66.8,Winner with strong conviction and attractive valuation — add,-0.61,5.55,6.99
2025-09-15,MSFT,add,4.45,6.59,2.15,72.1,72.1,Winner with strong conviction and attractive valuation — add,0.5,0.39,-1.01
2025-09-22,AAPL,add,4.87,6.24,1.37,56.8,56.8,Winner with strong conviction and attractive valuation — add,-0.24,-4.22,6.12
2025-09-22,NVDA,add,5.56,7.25,1.69,66.8,66.8,Winner with strong conviction and attractive valuation — add,-2.95,-0.25,-2.58
2025-09-22,MSFT,add,6.59,8.56,1.96,72.1,72.1,Winner with strong conviction and attractive valuation — add,-0.58,-0.68,-8.06
2025-09-29,AAPL,add,6.24,7.21,0.97,56.8,56.8,Winner with strong conviction and attractive valuation — add,1.41,-0.84,9.7
2025-09-29,NVDA,add,7.25,8.66,1.41,66.8,66.8,Winner with strong conviction and attractive valuation — add,3.17,0.75,-2.67
2025-09-29,MSFT,add,8.56,10.0,1.44,72.1,72.1,Winner with strong conviction and attractive valuation — add,0.53,-0.2,-4.21
2025-10-06,AAPL,add,7.21,8.2,0.99,56.8,56.8,Winner with strong conviction and attractive valuation — add,-4.45,2.39,8.71
2025-10-06,AMD,add,3.84,6.73,2.89,67.3,75.1,Winner with strong conviction and attractive valuation — add,5.49,24.16,7.0
2025-10-06,NVDA,add,8.66,10.04,1.37,66.8,66.8,Winner with strong conviction and attractive valuation — add,-1.28,0.39,-1.68
2025-10-06,MSFT,add,10.0,10.03,0.03,72.1,83.3,Winner with strong conviction and attractive valuation — add,-3.33,-0.94,-8.42
2025-10-13,AAPL,add,8.2,8.94,0.74,56.8,56.8,Winner with strong conviction and attractive valuation — add,1.87,9.17,12.47
2025-10-13,AMD,add,6.73,9.17,2.43,75.1,75.1,Winner with strong conviction and attractive valuation — add,7.7,18.34,-2.61
2025-10-13,NVDA,add,10.04,10.03,-0.0,66.8,66.8,Winner with strong conviction and attractive valuation — add,-2.71,7.52,-7.06
2025-10-20,AAPL,add,8.94,10.01,1.06,56.8,56.8,Winner with strong conviction and attractive valuation — add,0.22,2.38,4.46
2025-10-20,AMD,add,9.17,10.01,0.84,75.1,75.1,Winner with strong conviction and attractive valuation — add,5.14,-2.92,-11.28
2025-10-27,AAPL,add,10.01,10.14,0.13,56.8,56.8,Winner with strong conviction and attractive valuation — add,0.58,1.44,1.81
2025-10-27,AMD,add,10.01,10.13,0.12,75.1,81.6,Winner with strong conviction and attractive valuation — add,-1.37,-4.95,-17.21
2025-10-27,NVDA,add,9.61,10.14,0.52,66.8,66.8,Winner with strong conviction and attractive valuation — add,5.74,-0.69,-0.5
2025-10-27,MSFT,add,9.73,10.14,0.41,83.3,83.3,Winner with strong conviction and attractive valuation — add,-2.58,-4.01,-8.07
2025-11-03,AAPL,add,10.14,10.24,0.09,56.8,82.9,Winner with strong conviction and attractive valuation — add,-0.22,1.0,0.83
2025-11-03,AMD,add,10.13,10.23,0.1,81.6,81.6,Winner with strong conviction and attractive valuation — add,-10.06,-21.52,-13.93
2025-11-03,NVDA,add,10.14,10.21,0.07,66.8,66.8,Winner with strong conviction and attractive valuation — add,-9.05,-13.53,-8.71
2025-11-03,MSFT,add,10.14,10.23,0.09,83.3,85.1,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-3.91,-8.52,-8.36
2025-11-03,META,add,1.98,4.24,2.26,50.0,81.9,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-2.51,-6.82,2.07
2025-11-10,AAPL,add,10.24,10.08,-0.15,82.9,82.9,Winner with strong conviction and attractive valuation — add,1.11,3.5,-3.73
2025-11-10,AMD,add,10.23,10.08,-0.15,81.6,83.6,Winner with strong conviction and attractive valuation — add,1.16,-10.84,-16.73
2025-11-10,META,add,4.24,6.79,2.55,81.9,81.9,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-3.53,2.56,3.46
2025-11-17,AMD,add,10.08,10.01,-0.07,83.6,83.6,Winner with strong conviction and attractive valuation — add,-15.28,-9.38,-3.61
2025-11-24,AAPL,add,10.14,10.13,-0.01,82.9,82.9,Winner with strong conviction and attractive valuation — add,1.06,0.86,-10.1
2025-11-24,NVDA,add,9.51,10.13,0.62,66.8,74.4,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-3.04,-4.12,2.81
2025-12-08,META,add,7.1,9.93,2.82,81.9,81.9,Winner with strong conviction and attractive valuation — add,-3.38,-0.45,-0.72
2025-12-08,AAPL,add,10.3,10.04,-0.25,82.9,84.6,"Loser with intact thesis, confirming evidence, and attractive valuation — add",0.14,-1.62,0.08
2025-12-08,MSFT,add,10.15,10.04,-0.1,85.1,90.0,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-2.54,-0.67,-18.3
2025-12-15,AMD,add,9.36,10.0,0.64,83.6,85.1,"Loser with intact thesis, confirming evidence, and attractive valuation — add",2.82,7.65,-0.13
2025-12-15,MSFT,add,10.04,10.0,-0.04,90.0,90.0,"Loser with intact thesis, confirming evidence, and attractive valuation — add",2.34,-0.4,-15.48
2025-12-15,META,add,9.93,10.0,0.07,81.9,81.9,"Loser with intact thesis, confirming evidence, and attractive valuation — add",1.74,0.45,-1.2
2025-12-22,META,add,10.0,10.07,0.07,81.9,78.5,Winner with strong conviction and attractive valuation — add,0.27,-1.28,-0.88
2025-12-22,AMD,add,10.0,10.07,0.07,85.1,85.1,"Loser with intact thesis, confirming evidence, and attractive valuation — add",0.02,-5.48,-6.89
2026-01-05,AAPL,add,10.0,10.0,0.0,84.6,85.8,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-2.95,-7.19,
2026-01-19,META,add,9.88,10.01,0.12,78.5,80.4,"Loser with intact thesis, confirming evidence, and attractive valuation — add",6.21,6.64,
2026-01-26,AMD,add,10.95,10.53,-0.42,85.1,87.2,Winner with strong conviction and attractive valuation — add,-5.8,-17.5,
2026-01-26,META,add,10.01,10.55,0.54,80.4,80.4,Winner with strong conviction and attractive valuation — add,6.56,-4.85,
2026-01-26,NVDA,add,10.46,10.54,0.08,74.4,75.3,"Loser with intact thesis, confirming evidence, and attractive valuation — add",2.5,-1.96,
2026-02-02,AAPL,add,9.96,10.11,0.15,85.8,86.6,"Loser with intact thesis, confirming evidence, and attractive valuation — add",3.0,-1.92,
2026-02-02,MSFT,add,10.27,10.11,-0.16,90.0,90.7,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-5.25,-5.96,
2026-02-09,AMD,add,10.45,10.0,-0.44,87.2,90.4,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-4.02,-7.31,
2026-02-23,AMD,add,9.84,9.96,0.12,90.4,93.1,"Loser with intact thesis, confirming evidence, and attractive valuation — add",1.84,,
