review_date,ticker,weight_pct,market_value,portfolio_total,cash,cash_weight_pct,num_positions
2025-07-31,AAPL,2.96,29740.79,1004053.16,832843.72,82.95,5
2025-07-31,AMD,2.05,20533.96,1004053.16,832843.72,82.95,5
2025-07-31,META,5.44,54655.7,1004053.16,832843.72,82.95,5
2025-07-31,MSFT,4.56,45803.81,1004053.16,832843.72,82.95,5
2025-07-31,NVDA,2.04,20475.18,1004053.16,832843.72,82.95,5
2025-08-07,AAPL,5.55,55653.68,1002572.57,773136.95,77.12,5
2025-08-07,AMD,4.51,45176.4,1002572.57,773136.95,77.12,5
2025-08-07,META,7.36,73760.47,1002572.57,773136.95,77.12,5
2025-08-07,MSFT,4.46,44716.88,1002572.57,773136.95,77.12,5
2025-08-07,NVDA,1.01,10128.19,1002572.57,773136.95,77.12,5
2025-08-14,AAPL,8.34,84301.24,1010748.36,702526.72,69.51,5
2025-08-14,AMD,7.24,73132.55,1010748.36,702526.72,69.51,5
2025-08-14,META,9.48,95828.08,1010748.36,702526.72,69.51,5
2025-08-14,MSFT,4.44,44857.68,1010748.36,702526.72,69.51,5
2025-08-14,NVDA,1.0,10102.09,1010748.36,702526.72,69.51,5
2025-08-21,AAPL,9.99,99241.2,993528.58,684715.95,68.92,5
2025-08-21,AMD,6.66,66164.85,993528.58,684715.95,68.92,5
2025-08-21,META,9.11,90555.97,993528.58,684715.95,68.92,5
2025-08-21,MSFT,4.36,43362.85,993528.58,684715.95,68.92,5
2025-08-21,NVDA,0.95,9487.76,993528.58,684715.95,68.92,5
2025-08-28,AAPL,10.04,100116.66,996960.45,657643.89,65.96,5
2025-08-28,AMD,9.41,93824.95,996960.45,657643.89,65.96,5
2025-08-28,META,9.23,92027.45,996960.45,657643.89,65.96,5
2025-08-28,MSFT,4.4,43827.22,996960.45,657643.89,65.96,5
2025-08-28,NVDA,0.95,9520.27,996960.45,657643.89,65.96,5
2025-09-04,AAPL,10.08,99563.52,988044.74,654856.67,66.28,5
2025-09-04,AMD,9.11,90045.9,988044.74,654856.67,66.28,5
2025-09-04,META,9.28,91726.05,988044.74,654856.67,66.28,5
2025-09-04,MSFT,4.42,43683.62,988044.74,654856.67,66.28,5
2025-09-04,NVDA,0.83,8168.97,988044.74,654856.67,66.28,5
2025-09-11,AAPL,9.74,95515.06,980533.61,656235.47,66.93,5
2025-09-11,AMD,8.84,86639.75,980533.61,656235.47,66.93,5
2025-09-11,META,9.38,92001.72,980533.61,656235.47,66.93,5
2025-09-11,MSFT,4.39,43085.08,980533.61,656235.47,66.93,5
2025-09-11,NVDA,0.72,7056.52,980533.61,656235.47,66.93,5
