ticker,action_count,initiate_count,exit_count,hold_count,avg_forward_5d_pct,avg_forward_20d_pct,avg_forward_60d_pct,doc_count,claim_count,price_coverage_pct
AAPL,0,0,0,0,,,,0,0,0.0
AMD,0,0,0,0,,,,0,0,0.0
AMZN,0,0,0,0,,,,0,0,0.0
AVGO,0,0,0,0,,,,0,0,0.0
CRM,0,0,0,0,,,,0,0,0.0
CRWD,0,0,0,0,,,,0,0,0.0
GOOGL,0,0,0,0,,,,0,0,0.0
INTC,0,0,0,0,,,,0,0,0.0
META,0,0,0,0,,,,0,0,0.0
MSFT,0,0,0,0,,,,0,0,0.0
NOW,0,0,0,0,,,,0,0,0.0
NVDA,0,0,0,0,,,,0,0,0.0
PLTR,0,0,0,0,,,,0,0,0.0
QCOM,0,0,0,0,,,,0,0,0.0
TSLA,0,0,0,0,,,,0,0,0.0
