review_date,ticker,weight_pct,market_value,portfolio_total,cash,cash_weight_pct,num_positions
2025-07-31,AAPL,2.96,29740.79,1004053.16,832843.72,82.95,5
2025-07-31,AMD,2.05,20533.96,1004053.16,832843.72,82.95,5
2025-07-31,META,5.44,54655.7,1004053.16,832843.72,82.95,5
2025-07-31,MSFT,4.56,45803.81,1004053.16,832843.72,82.95,5
2025-07-31,NVDA,2.04,20475.18,1004053.16,832843.72,82.95,5
2025-08-07,AAPL,5.55,55654.28,1002572.54,773136.95,77.12,5
2025-08-07,AMD,4.51,45175.77,1002572.54,773136.95,77.12,5
2025-08-07,META,7.36,73760.47,1002572.54,773136.95,77.12,5
2025-08-07,MSFT,4.46,44716.88,1002572.54,773136.95,77.12,5
2025-08-07,NVDA,1.01,10128.19,1002572.54,773136.95,77.12,5
2025-08-14,AAPL,8.34,84302.51,1010748.33,702526.72,69.51,5
2025-08-14,AMD,7.24,73131.25,1010748.33,702526.72,69.51,5
2025-08-14,META,9.48,95828.08,1010748.33,702526.72,69.51,5
2025-08-14,MSFT,4.44,44857.68,1010748.33,702526.72,69.51,5
2025-08-14,NVDA,1.0,10102.09,1010748.33,702526.72,69.51,5
2025-08-21,AAPL,9.99,99241.22,993528.65,684717.19,68.92,5
2025-08-21,AMD,6.66,66163.67,993528.65,684717.19,68.92,5
2025-08-21,META,9.11,90555.97,993528.65,684717.19,68.92,5
2025-08-21,MSFT,4.36,43362.85,993528.65,684717.19,68.92,5
2025-08-21,NVDA,0.95,9487.76,993528.65,684717.19,68.92,5
2025-08-28,AAPL,10.05,100116.67,996078.46,682454.95,68.51,5
2025-08-28,AMD,6.84,68131.89,996078.46,682454.95,68.51,5
2025-08-28,META,9.24,92027.45,996078.46,682454.95,68.51,5
2025-08-28,MSFT,4.4,43827.22,996078.46,682454.95,68.51,5
2025-08-28,NVDA,0.96,9520.27,996078.46,682454.95,68.51,5
2025-09-04,AAPL,10.08,99572.72,988215.91,679679.9,68.78,5
2025-09-04,AMD,6.62,65387.7,988215.91,679679.9,68.78,5
2025-09-04,META,9.28,91726.05,988215.91,679679.9,68.78,5
2025-09-04,MSFT,4.42,43683.62,988215.91,679679.9,68.78,5
2025-09-04,NVDA,0.83,8165.92,988215.91,679679.9,68.78,5
2025-09-11,AAPL,9.73,95523.89,981637.09,681072.29,69.38,5
2025-09-11,AMD,6.41,62914.29,981637.09,681072.29,69.38,5
2025-09-11,META,9.37,92001.72,981637.09,681072.29,69.38,5
2025-09-11,MSFT,4.39,43085.08,981637.09,681072.29,69.38,5
2025-09-11,NVDA,0.72,7039.81,981637.09,681072.29,69.38,5
