review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,prior_weight,new_weight,weight_change,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct
2025-08-21,AMD,initiate,82.0,82.0,high,0.0,5.48,5.48,163.71,1.78,-2.55,46.94
2025-08-21,META,initiate,79.9,79.9,high,0.0,5.2,5.2,738.0,2.03,1.74,-0.87
2025-08-21,MSFT,initiate,72.4,72.4,high,0.0,4.49,4.49,502.15,-0.44,-0.77,2.49
2025-08-28,META,hold,79.9,0.0,high,5.2,5.2,0.0,749.99,-2.13,3.28,0.03
2025-08-28,AMD,hold,84.8,0.0,high,5.48,5.48,0.0,168.58,-3.71,-5.59,54.03
2025-08-28,MSFT,hold,72.4,0.0,high,4.49,4.49,0.0,507.53,-0.89,0.07,4.29
2025-09-04,META,hold,79.9,0.0,high,5.27,5.27,0.0,747.54,2.28,1.67,-14.76
2025-09-04,AMD,hold,84.8,0.0,high,5.63,5.63,0.0,161.79,-3.69,-0.56,60.49
2025-09-04,MSFT,hold,72.4,0.0,high,4.52,4.52,0.0,505.87,-1.88,0.43,1.78
2025-09-11,META,hold,79.9,0.0,high,5.27,5.27,0.0,749.78,3.74,-4.4,-15.81
2025-09-11,AMD,hold,84.8,0.0,high,5.41,5.41,0.0,155.67,3.08,5.36,56.73
2025-09-11,MSFT,hold,72.4,0.0,high,4.52,4.52,0.0,498.94,1.6,3.73,1.0
2025-09-18,META,hold,79.9,0.0,high,5.3,5.3,0.0,779.09,-3.12,-7.94,-22.79
2025-09-18,AMD,hold,84.8,0.0,high,5.22,5.22,0.0,157.92,1.89,49.16,52.3
2025-09-18,MSFT,hold,72.4,0.0,high,4.47,4.47,0.0,506.34,0.15,3.23,-0.19
2025-09-25,META,hold,79.9,0.0,high,5.49,5.49,0.0,748.3,-1.94,-4.19,-18.14
2025-09-25,AMD,hold,84.8,0.0,high,5.28,5.28,0.0,161.27,0.32,47.95,33.35
2025-09-25,MSFT,hold,72.4,0.0,high,4.52,4.52,0.0,504.93,2.15,1.26,-6.34
2025-10-02,AMD,add,84.8,55.0,high,5.4,8.23,2.84,169.73,24.62,35.64,29.48
2025-10-02,META,hold,79.9,0.0,high,5.28,5.28,0.0,726.46,-1.92,0.87,-11.85
2025-10-02,MSFT,hold,91.1,0.0,high,4.51,4.51,0.0,513.6,1.6,0.93,-5.45
2025-10-09,META,hold,79.9,0.0,high,5.11,5.11,0.0,732.91,-3.39,2.48,-9.09
2025-10-09,AMD,hold,88.5,0.0,high,8.23,8.23,0.0,232.89,-6.35,13.5,-5.06
