review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,prior_weight,new_weight,weight_change,suggested_weight,rationale
2025-08-21,AMD,initiate,82.0,82.0,high,0.0,5.48,5.48,5.6,"All entry gates passed — conviction 82, thesis strengthening"
2025-08-21,META,initiate,79.9,79.9,high,0.0,5.2,5.2,5.3,"All entry gates passed — conviction 80, thesis strengthening"
2025-08-21,MSFT,initiate,72.4,72.4,high,0.0,4.49,4.49,4.5,"All entry gates passed — conviction 72, thesis strengthening"
2025-08-28,META,hold,79.9,0.0,high,5.2,5.2,0.0,,"Hold — conviction 80, thesis strengthening"
2025-08-28,AMD,hold,84.8,0.0,high,5.48,5.48,0.0,,"Hold — conviction 85, thesis strengthening"
2025-08-28,MSFT,hold,72.4,0.0,high,4.49,4.49,0.0,,"Hold — conviction 72, thesis strengthening"
2025-09-04,META,hold,79.9,0.0,high,5.27,5.27,0.0,,"Hold — conviction 80, thesis strengthening"
2025-09-04,AMD,hold,84.8,0.0,high,5.63,5.63,0.0,,"Hold — conviction 85, thesis strengthening"
2025-09-04,MSFT,hold,72.4,0.0,high,4.52,4.52,0.0,,"Hold — conviction 72, thesis strengthening"
2025-09-11,META,hold,79.9,0.0,high,5.27,5.27,0.0,,"Hold — conviction 80, thesis strengthening"
2025-09-11,AMD,hold,84.8,0.0,high,5.41,5.41,0.0,,"Hold — conviction 85, thesis strengthening"
2025-09-11,MSFT,hold,72.4,0.0,high,4.52,4.52,0.0,,"Hold — conviction 72, thesis strengthening"
2025-09-18,META,hold,79.9,0.0,high,5.3,5.3,0.0,,"Hold — conviction 80, thesis strengthening"
2025-09-18,AMD,hold,84.8,0.0,high,5.22,5.22,0.0,,"Hold — conviction 85, thesis strengthening"
2025-09-18,MSFT,hold,72.4,0.0,high,4.47,4.47,0.0,,"Hold — conviction 72, thesis strengthening"
2025-09-25,META,hold,79.9,0.0,high,5.49,5.49,0.0,,"Hold — conviction 80, thesis strengthening"
2025-09-25,AMD,hold,84.8,0.0,high,5.28,5.28,0.0,,"Hold — conviction 85, thesis strengthening"
2025-09-25,MSFT,hold,72.4,0.0,high,4.52,4.52,0.0,,"Hold — conviction 72, thesis strengthening"
2025-10-02,AMD,add,84.8,55.0,high,5.4,8.23,2.84,8.17,Winner with strong conviction and attractive valuation — add
2025-10-02,META,hold,79.9,0.0,high,5.28,5.28,0.0,,"Hold — conviction 80, thesis strengthening"
2025-10-02,MSFT,hold,91.1,0.0,high,4.51,4.51,0.0,,"Hold — conviction 91, thesis strengthening"
2025-10-09,META,hold,79.9,0.0,high,5.11,5.11,0.0,,"Hold — conviction 80, thesis strengthening"
2025-10-09,AMD,hold,88.5,0.0,high,8.23,8.23,0.0,,"Hold — conviction 89, thesis strengthening"
2025-10-09,MSFT,hold,91.1,0.0,high,4.57,4.57,0.0,,"Hold — conviction 91, thesis strengthening"
2025-10-16,META,hold,79.9,0.0,high,5.0,5.0,0.0,,"Hold — conviction 80, thesis strengthening"
2025-10-16,AMD,hold,88.5,0.0,high,10.95,10.95,0.0,,"Hold — conviction 89, thesis strengthening"
2025-10-16,MSFT,hold,91.1,0.0,high,4.49,4.49,0.0,,"Hold — conviction 91, thesis strengthening"
2025-10-23,META,hold,79.9,0.0,high,4.86,4.86,0.0,,"Hold — conviction 80, thesis strengthening"
2025-10-23,AMD,hold,88.5,0.0,high,11.05,11.05,0.0,,"Hold — conviction 89, thesis strengthening"
2025-10-23,MSFT,hold,91.1,0.0,high,4.41,4.41,0.0,,"Hold — conviction 91, thesis strengthening"
2025-10-30,META,hold,90.9,0.0,high,4.99,4.99,0.0,,"Hold — conviction 91, thesis strengthening"
2025-10-30,AMD,hold,91.5,0.0,high,11.04,11.04,0.0,,"Hold — conviction 92, thesis strengthening"
2025-10-30,MSFT,hold,91.7,0.0,high,4.47,4.47,0.0,,"Hold — conviction 92, thesis strengthening"
2025-11-06,META,hold,92.6,0.0,high,4.51,4.51,0.0,,"Hold — conviction 93, thesis strengthening"
2025-11-06,AMD,hold,95.2,0.0,high,11.91,11.91,0.0,,"Hold — conviction 95, thesis strengthening"
2025-11-06,MSFT,hold,91.7,0.0,high,4.49,4.49,0.0,,"Hold — conviction 92, thesis strengthening"
2025-11-13,AMD,add,95.2,55.0,high,11.26,10.34,-0.92,10.0,Winner with strong conviction and attractive valuation — add
2025-11-13,META,hold,92.6,0.0,high,4.25,4.25,0.0,,"Hold — conviction 93, thesis strengthening"
2025-11-13,MSFT,hold,91.7,0.0,high,4.31,4.31,0.0,,"Hold — conviction 92, thesis strengthening"
2025-11-20,META,trim,92.6,75.0,high,4.31,2.27,-2.04,2.26,Stop-loss TRIM: position -21.9% below cost basis (threshold -20%)
2025-11-20,AMD,hold,95.2,0.0,high,10.34,10.34,0.0,,"Hold — conviction 95, thesis strengthening"
2025-11-20,MSFT,hold,91.7,0.0,high,4.49,4.49,0.0,,"Hold — conviction 92, thesis strengthening"
2025-11-27,NVDA,initiate,79.4,79.4,high,0.0,5.41,5.41,5.3,"All entry gates passed — conviction 79, thesis strengthening"
2025-11-27,META,hold,92.6,0.0,high,2.27,2.27,0.0,,"Hold — conviction 93, thesis strengthening"
2025-11-27,AMD,hold,95.2,0.0,high,8.78,8.78,0.0,,"Hold — conviction 95, thesis strengthening"
2025-11-27,MSFT,hold,91.7,0.0,high,4.37,4.37,0.0,,"Hold — conviction 92, thesis strengthening"
2025-12-04,META,hold,92.6,0.0,high,2.43,2.43,0.0,,"Hold — conviction 93, thesis strengthening"
2025-12-04,AMD,hold,95.2,0.0,high,9.07,9.07,0.0,,"Hold — conviction 95, thesis strengthening"
2025-12-04,MSFT,hold,91.7,0.0,high,4.4,4.4,0.0,,"Hold — conviction 92, thesis strengthening"
2025-12-04,NVDA,hold,79.4,0.0,high,5.41,5.41,0.0,,"Hold — conviction 79, thesis strengthening"
2025-12-11,META,hold,92.6,0.0,high,2.53,2.53,0.0,,"Hold — conviction 93, thesis strengthening"
2025-12-11,AMD,hold,95.2,0.0,high,9.12,9.12,0.0,,"Hold — conviction 95, thesis strengthening"
2025-12-11,MSFT,hold,96.7,0.0,high,4.35,4.35,0.0,,"Hold — conviction 97, thesis strengthening"
2025-12-11,NVDA,hold,79.4,0.0,high,5.49,5.49,0.0,,"Hold — conviction 79, thesis strengthening"
2025-12-18,META,add,92.6,40.0,high,2.49,3.84,1.34,3.82,"Loser with intact thesis, confirming evidence, and attractive valuation — add"
2025-12-18,AMD,hold,95.1,0.0,high,9.34,9.34,0.0,,"Hold — conviction 95, thesis strengthening"
2025-12-18,MSFT,hold,96.7,0.0,high,4.37,4.37,0.0,,"Hold — conviction 97, thesis strengthening"
2025-12-18,NVDA,hold,79.4,0.0,high,5.41,5.41,0.0,,"Hold — conviction 79, thesis strengthening"
2025-12-25,NVDA,add,79.4,55.0,high,5.26,7.61,2.36,7.63,Winner with strong conviction and attractive valuation — add
2025-12-25,META,hold,87.9,0.0,high,3.84,3.84,0.0,,"Hold — conviction 88, thesis weakening"
2025-12-25,AMD,hold,95.1,0.0,high,8.56,8.56,0.0,,"Hold — conviction 95, thesis strengthening"
2025-12-25,MSFT,hold,96.7,0.0,high,4.42,4.42,0.0,,"Hold — conviction 97, thesis strengthening"
2026-01-01,AAPL,initiate,94.9,94.9,high,0.0,7.05,7.05,7.0,"All entry gates passed — conviction 95, thesis strengthening"
2026-01-01,NVDA,add,79.4,55.0,high,7.61,9.53,1.91,9.54,Winner with strong conviction and attractive valuation — add
2026-01-01,META,hold,87.9,0.0,high,3.81,3.81,0.0,,"Hold — conviction 88, thesis weakening"
2026-01-01,AMD,hold,95.1,0.0,high,9.06,9.06,0.0,,"Hold — conviction 95, thesis strengthening"
2026-01-01,MSFT,hold,96.7,0.0,high,4.41,4.41,0.0,,"Hold — conviction 97, thesis strengthening"
2026-01-08,NVDA,add,79.4,55.0,high,9.53,10.0,0.47,10.0,Winner with strong conviction and attractive valuation — add
2026-01-08,AMD,hold,95.1,0.0,high,9.04,9.04,0.0,,"Hold — conviction 95, thesis strengthening"
2026-01-08,META,hold,87.9,0.0,high,3.78,3.78,0.0,,"Hold — conviction 88, thesis weakening"
2026-01-08,AAPL,hold,95.3,0.0,high,7.05,7.05,0.0,,"Hold — conviction 95, thesis strengthening"
2026-01-08,MSFT,hold,96.7,0.0,high,4.38,4.38,0.0,,"Hold — conviction 97, thesis strengthening"
2026-01-15,NVDA,add,79.4,55.0,high,10.0,10.01,0.01,10.0,Winner with strong conviction and attractive valuation — add
2026-01-15,AMD,hold,95.1,0.0,high,8.73,8.73,0.0,,"Hold — conviction 95, thesis strengthening"
2026-01-15,META,hold,87.9,0.0,high,3.73,3.73,0.0,,"Hold — conviction 88, thesis weakening"
2026-01-15,AAPL,hold,95.3,0.0,high,6.78,6.78,0.0,,"Hold — conviction 95, thesis strengthening"
2026-01-15,MSFT,hold,96.7,0.0,high,4.37,4.37,0.0,,"Hold — conviction 97, thesis strengthening"
2026-01-22,AMD,hold,95.5,0.0,high,9.65,9.65,0.0,,"Hold — conviction 95, thesis strengthening"
2026-01-22,META,hold,88.6,0.0,high,3.56,3.56,0.0,,"Hold — conviction 89, thesis weakening"
2026-01-22,AAPL,hold,95.3,0.0,high,6.71,6.71,0.0,,"Hold — conviction 95, thesis strengthening"
2026-01-22,NVDA,hold,79.4,0.0,high,10.01,10.01,0.0,,"Hold — conviction 79, thesis strengthening"
2026-01-22,MSFT,hold,96.7,0.0,high,4.15,4.15,0.0,,"Hold — conviction 97, thesis strengthening"
2026-01-29,NVDA,add,86.6,55.0,high,9.81,10.02,0.22,10.0,Winner with strong conviction and attractive valuation — add
2026-01-29,AAPL,add,95.3,40.0,high,6.4,7.85,1.44,7.85,"Loser with intact thesis, confirming evidence, and attractive valuation — add"
2026-01-29,AMD,hold,95.5,0.0,high,10.66,10.66,0.0,,"Hold — conviction 95, thesis strengthening"
2026-01-29,META,hold,93.5,0.0,high,3.69,3.69,0.0,,"Hold — conviction 93, thesis stable"
2026-01-29,MSFT,hold,96.7,0.0,high,4.06,4.06,0.0,,"Hold — conviction 97, thesis strengthening"
2026-02-05,AMD,exit,97.4,86.0,high,10.52,0.0,-10.52,,Trailing stop EXIT: -25.9% from 90-day peak (threshold -25%)
2026-02-05,MSFT,trim,96.7,75.0,high,3.88,1.65,-2.22,1.66,Stop-loss TRIM: position -22.2% below cost basis (threshold -20%)
2026-02-05,META,add,93.5,40.0,high,4.17,5.18,1.01,5.19,"Loser with intact thesis, confirming evidence, and attractive valuation — add"
2026-02-05,AAPL,hold,96.6,0.0,high,7.85,7.85,0.0,,"Hold — conviction 97, thesis strengthening"
2026-02-05,NVDA,hold,86.6,0.0,high,10.02,10.02,0.0,,"Hold — conviction 87, thesis strengthening"
2026-02-12,MSFT,trim,96.7,75.0,high,1.65,1.0,-0.65,1.0,Stop-loss TRIM: position -20.6% below cost basis (threshold -20%)
2026-02-12,META,hold,93.5,0.0,high,5.18,5.18,0.0,,"Hold — conviction 93, thesis stable"
2026-02-12,AAPL,hold,96.6,0.0,high,8.65,8.65,0.0,,"Hold — conviction 97, thesis strengthening"
