review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2025-07-31,1000000,1000000,0,0,100.0,,0.0
2025-08-07,1000000,1000000,0,0,100.0,,0.0
2025-08-14,1000000,1000000,0,0,100.0,,0.0
2025-08-21,997127.18,845853.88,151273.3,3,84.83,AMD,5.48
2025-08-28,1000075.13,845853.88,154221.25,3,84.58,AMD,5.63
2025-09-04,997487.7,845853.88,151633.82,3,84.8,AMD,5.41
2025-09-11,994985.35,845853.88,149131.47,3,85.01,META,5.3
2025-09-18,998457.2,845853.88,152603.32,3,84.72,META,5.49
2025-09-25,997284.47,845853.88,151430.59,3,84.82,AMD,5.4
2025-10-02,1000085.93,820912.96,179172.97,3,82.08,AMD,8.23
2025-10-09,1031770.73,820912.96,210857.77,3,79.56,AMD,10.95
2025-10-16,1030117.31,820912.96,209204.35,3,79.69,AMD,11.05
2025-10-23,1032660.69,820912.96,211747.73,3,79.49,AMD,11.04
2025-10-30,1038006.81,820912.96,217093.85,3,79.09,AMD,11.91
2025-11-06,1023809.97,820912.96,202897.01,3,80.18,AMD,11.26
2025-11-13,993761.07,803475.11,190285.97,3,80.85,AMD,10.34
2025-11-20,972939.69,822888.9,150050.79,3,84.58,AMD,8.78
2025-11-27,979551.14,770837.2,208713.94,4,78.69,AMD,9.07
2025-12-04,981826.56,770837.2,210989.36,4,78.51,AMD,9.12
2025-12-11,983268.42,770837.2,212431.23,4,78.4,AMD,9.34
2025-12-18,973429.47,758569.5,214859.97,4,77.93,AMD,8.56
2025-12-25,983791.15,738864.1,244927.05,4,75.1,AMD,9.06
2026-01-01,981660.63,650119.84,331540.79,5,66.23,NVDA,9.53
2026-01-08,972458.65,645656.07,326802.57,5,66.39,NVDA,10.0
2026-01-15,978919.88,645310.67,333609.22,5,65.92,NVDA,10.01
2026-01-22,986969.99,645310.67,341659.32,5,65.38,AMD,10.66
2026-01-29,993981.68,631806.5,362175.18,5,63.56,AMD,10.52
2026-02-05,963532.45,725376.42,238156.03,4,75.28,NVDA,9.23
2026-02-12,965914.92,731939.75,233975.17,4,75.78,NVDA,10.02
2026-02-19,965629.63,731972.7,233656.94,4,75.8,NVDA,10.07
2026-02-26,969898.62,664634.15,305264.47,5,68.53,NVDA,9.87
