review_date,ticker,weight_pct,market_value,portfolio_total,cash,cash_weight_pct,num_positions
2025-07-31,SPY,95.09,950000.0,999050.0,49050.0,4.91,1
2025-08-07,SPY,95.09,950255.61,999305.61,49050.0,4.91,1
2025-08-14,SPY,95.18,969343.43,1018393.43,49050.0,4.82,1
2025-08-21,AMD,5.55,55682.8,1002865.58,8.21,0.0,4
2025-08-21,META,5.27,52869.66,1002865.58,8.21,0.0,4
2025-08-21,MSFT,4.54,45574.01,1002865.58,8.21,0.0,4
2025-08-21,SPY,84.63,848730.89,1002865.58,8.21,0.0,4
2025-08-28,AMD,5.6,57339.23,1023723.77,8.21,0.0,4
2025-08-28,META,5.25,53728.77,1023723.77,8.21,0.0,4
2025-08-28,MSFT,4.5,46062.07,1023723.77,8.21,0.0,4
2025-08-28,SPY,84.65,866585.49,1023723.77,8.21,0.0,4
2025-09-04,AMD,5.39,55029.75,1021354.53,8.21,0.0,4
2025-09-04,META,5.24,53552.8,1021354.53,8.21,0.0,4
2025-09-04,MSFT,4.5,45911.14,1021354.53,8.21,0.0,4
2025-09-04,SPY,84.87,866852.63,1021354.53,8.21,0.0,4
2025-09-11,AMD,5.14,52948.15,1030169.34,8.21,0.0,4
2025-09-11,META,5.21,53713.74,1030169.34,8.21,0.0,4
2025-09-11,MSFT,4.4,45282.08,1030169.34,8.21,0.0,4
2025-09-11,SPY,85.25,878217.15,1030169.34,8.21,0.0,4
2025-09-18,AMD,5.17,53713.44,1039889.45,8.21,0.0,4
2025-09-18,META,5.37,55813.22,1039889.45,8.21,0.0,4
2025-09-18,MSFT,4.42,45954.52,1039889.45,8.21,0.0,4
2025-09-18,SPY,85.05,884400.05,1039889.45,8.21,0.0,4
2025-09-25,AMD,5.3,54852.88,1035509.21,8.21,0.0,4
2025-09-25,META,5.18,53607.55,1035509.21,8.21,0.0,4
2025-09-25,MSFT,4.43,45826.17,1035509.21,8.21,0.0,4
2025-09-25,SPY,85.1,881214.39,1035509.21,8.21,0.0,4
2025-10-02,AMD,8.05,84781.79,1053320.62,47.42,0.0,4
2025-10-02,META,4.94,52042.8,1053320.62,47.42,0.0,4
2025-10-02,MSFT,4.43,46613.4,1053320.62,47.42,0.0,4
2025-10-02,SPY,82.58,869835.22,1053320.62,47.42,0.0,4
2025-10-09,AMD,10.69,116330.83,1088455.6,47.42,0.0,4
2025-10-09,META,4.82,52505.21,1088455.6,47.42,0.0,4
2025-10-09,MSFT,4.34,47215.34,1088455.6,47.42,0.0,4
2025-10-09,SPY,80.15,872356.8,1088455.6,47.42,0.0,4
2025-10-16,AMD,10.92,117165.01,1073106.37,47.42,0.0,4
2025-10-16,META,4.75,50970.52,1073106.37,47.42,0.0,4
2025-10-16,MSFT,4.31,46240.12,1073106.37,47.42,0.0,4
2025-10-16,SPY,80.02,858683.31,1073106.37,47.42,0.0,4
2025-10-23,AMD,10.77,117379.8,1090153.3,47.42,0.0,4
2025-10-23,META,4.82,52540.29,1090153.3,47.42,0.0,4
2025-10-23,MSFT,4.32,47049.04,1090153.3,47.42,0.0,4
2025-10-23,SPY,80.09,873136.75,1090153.3,47.42,0.0,4
2025-10-30,AMD,11.51,127295.07,1106193.85,47.42,0.0,4
2025-10-30,META,4.31,47706.44,1106193.85,47.42,0.0,4
2025-10-30,MSFT,4.3,47519.03,1106193.85,47.42,0.0,4
2025-10-30,SPY,79.88,883625.9,1106193.85,47.42,0.0,4
2025-11-06,AMD,11.0,118733.47,1079265.76,47.42,0.0,4
2025-11-06,META,4.11,44304.2,1079265.76,47.42,0.0,4
2025-11-06,MSFT,4.16,44928.68,1079265.76,47.42,0.0,4
2025-11-06,SPY,80.73,871251.99,1079265.76,47.42,0.0,4
2025-11-13,AMD,10.28,108586.02,1056044.04,69.54,0.01,4
2025-11-13,META,4.13,43656.4,1056044.04,69.54,0.01,4
2025-11-13,MSFT,4.31,45488.15,1056044.04,69.54,0.01,4
2025-11-13,SPY,81.27,858243.93,1056044.04,69.54,0.01,4
2025-11-20,AMD,8.94,90219.76,1009265.68,20373.73,2.02,4
2025-11-20,META,2.18,22021.73,1009265.68,20373.73,2.02,4
2025-11-20,MSFT,4.29,43322.2,1009265.68,20373.73,2.02,4
2025-11-20,SPY,82.57,833328.26,1009265.68,20373.73,2.02,4
2025-11-27,AMD,8.93,93819.44,1050974.3,8.22,0.0,5
2025-11-27,META,2.25,23683.59,1050974.3,8.22,0.0,5
2025-11-27,MSFT,4.18,43962.39,1050974.3,8.22,0.0,5
2025-11-27,NVDA,5.43,57060.57,1050974.3,8.22,0.0,5
2025-11-27,SPY,79.21,832440.09,1050974.3,8.22,0.0,5
2025-12-04,AMD,8.93,94581.42,1059117.36,8.22,0.0,5
2025-12-04,META,2.33,24727.21,1059117.36,8.22,0.0,5
2025-12-04,MSFT,4.11,43540.42,1059117.36,8.22,0.0,5
2025-12-04,NVDA,5.48,58051.43,1059117.36,8.22,0.0,5
2025-12-04,SPY,79.14,838208.65,1059117.36,8.22,0.0,5
2025-12-11,AMD,9.09,96968.07,1066491.05,8.22,0.0,5
2025-12-11,META,2.29,24397.53,1066491.05,8.22,0.0,5
2025-12-11,MSFT,4.1,43778.57,1066491.05,8.22,0.0,5
2025-12-11,NVDA,5.37,57275.84,1066491.05,8.22,0.0,5
2025-12-11,SPY,79.14,844062.83,1066491.05,8.22,0.0,5
2025-12-18,AMD,8.46,88047.69,1040578.7,73.52,0.01,5
2025-12-18,META,3.67,38163.24,1040578.7,73.52,0.01,5
2025-12-18,MSFT,4.21,43824.76,1040578.7,73.52,0.01,5
2025-12-18,NVDA,5.3,55126.39,1040578.7,73.52,0.01,5
2025-12-18,SPY,78.35,815343.11,1040578.7,73.52,0.01,5
2025-12-25,AMD,8.79,94169.78,1070788.87,57.12,0.01,5
2025-12-25,META,3.58,38341.29,1070788.87,57.12,0.01,5
2025-12-25,MSFT,4.13,44190.57,1070788.87,57.12,0.01,5
2025-12-25,NVDA,7.56,80916.71,1070788.87,57.12,0.01,5
2025-12-25,SPY,75.94,813113.39,1070788.87,57.12,0.01,5
2026-01-01,AAPL,7.05,74646.32,1058659.91,57.36,0.01,6
2026-01-01,AMD,8.86,93784.41,1058659.91,57.36,0.01,6
2026-01-01,META,3.58,37912.82,1058659.91,57.36,0.01,6
2026-01-01,MSFT,4.14,43792.16,1058659.91,57.36,0.01,6
2026-01-01,NVDA,9.54,101018.64,1058659.91,57.36,0.01,6
2026-01-01,SPY,66.82,707448.22,1058659.91,57.36,0.01,6
2026-01-08,AAPL,6.73,71126.28,1056797.56,89.01,0.01,6
2026-01-08,AMD,8.48,89632.95,1056797.56,89.01,0.01,6
2026-01-08,META,3.51,37106.99,1056797.56,89.01,0.01,6
2026-01-08,MSFT,4.1,43293.22,1056797.56,89.01,0.01,6
2026-01-08,NVDA,10.0,105705.59,1056797.56,89.01,0.01,6
2026-01-08,SPY,67.17,709843.51,1056797.56,89.01,0.01,6
2026-01-15,AAPL,6.65,70898.36,1066929.97,86.16,0.01,6
2026-01-15,AMD,9.99,106614.03,1066929.97,86.16,0.01,6
2026-01-15,META,3.34,35656.16,1066929.97,86.16,0.01,6
2026-01-15,MSFT,3.88,41350.91,1066929.97,86.16,0.01,6
2026-01-15,NVDA,10.0,106730.69,1066929.97,86.16,0.01,6
2026-01-15,SPY,66.13,705593.67,1066929.97,86.16,0.01,6
2026-01-22,AAPL,6.36,68191.03,1072753.01,86.16,0.01,6
2026-01-22,AMD,11.06,118687.16,1072753.01,86.16,0.01,6
2026-01-22,META,3.47,37197.17,1072753.01,86.16,0.01,6
2026-01-22,MSFT,3.81,40851.06,1072753.01,86.16,0.01,6
2026-01-22,NVDA,9.83,105469.65,1072753.01,86.16,0.01,6
2026-01-22,SPY,65.46,702270.78,1072753.01,86.16,0.01,6
2026-01-29,AAPL,7.76,84286.32,1085667.23,73.14,0.01,6
2026-01-29,AMD,10.87,117962.12,1085667.23,73.14,0.01,6
2026-01-29,META,3.91,42405.45,1085667.23,73.14,0.01,6
2026-01-29,MSFT,3.62,39253.75,1085667.23,73.14,0.01,6
2026-01-29,NVDA,10.02,108793.42,1085667.23,73.14,0.01,6
2026-01-29,SPY,63.82,692893.04,1085667.23,73.14,0.01,6
2026-02-05,AAPL,8.7,90039.67,1034729.66,49944.63,4.83,5
2026-02-05,META,5.01,51878.71,1034729.66,49944.63,4.83,5
2026-02-05,MSFT,1.44,14904.45,1034729.66,49944.63,4.83,5
2026-02-05,NVDA,9.39,97134.75,1034729.66,49944.63,4.83,5
2026-02-05,SPY,70.63,730827.44,1034729.66,49944.63,4.83,5
2026-02-12,AAPL,8.21,85492.12,1041340.81,49995.28,4.8,5
2026-02-12,META,4.83,50299.62,1041340.81,49995.28,4.8,5
2026-02-12,MSFT,1.0,10428.41,1041340.81,49995.28,4.8,5
2026-02-12,NVDA,10.15,105645.64,1041340.81,49995.28,4.8,5
2026-02-12,SPY,71.01,739479.74,1041340.81,49995.28,4.8,5
2026-02-19,AAPL,8.15,85116.48,1044537.5,49999.92,4.79,5
2026-02-19,META,4.78,49910.26,1044537.5,49999.92,4.79,5
2026-02-19,MSFT,0.98,10282.29,1044537.5,49999.92,4.79,5
2026-02-19,NVDA,10.17,106188.14,1044537.5,49999.92,4.79,5
2026-02-19,SPY,71.14,743040.41,1044537.5,49999.92,4.79,5
2026-02-26,AAPL,8.46,89157.05,1054193.88,4.26,0.0,6
2026-02-26,AMD,7.04,74162.56,1054193.88,4.26,0.0,6
2026-02-26,META,4.82,50856.94,1054193.88,4.26,0.0,6
2026-02-26,MSFT,0.97,10199.53,1054193.88,4.26,0.0,6
2026-02-26,NVDA,9.91,104487.11,1054193.88,4.26,0.0,6
2026-02-26,SPY,68.8,725326.43,1054193.88,4.26,0.0,6
