review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2025-07-31,999050.0,49050.0,950000.0,1,4.91,SPY,95.09
2025-08-07,999305.61,49050.0,950255.61,1,4.91,SPY,95.09
2025-08-14,1018393.43,49050.0,969343.43,1,4.82,SPY,95.18
2025-08-21,1002865.58,8.21,1002857.37,4,0.0,SPY,84.63
2025-08-28,1023723.77,8.21,1023715.56,4,0.0,SPY,84.65
2025-09-04,1021354.53,8.21,1021346.32,4,0.0,SPY,84.87
2025-09-11,1030169.34,8.21,1030161.13,4,0.0,SPY,85.25
2025-09-18,1039889.45,8.21,1039881.24,4,0.0,SPY,85.05
2025-09-25,1035509.21,8.21,1035500.99,4,0.0,SPY,85.1
2025-10-02,1053320.62,47.42,1053273.2,4,0.0,SPY,82.58
2025-10-09,1088455.6,47.42,1088408.18,4,0.0,SPY,80.15
2025-10-16,1073106.37,47.42,1073058.95,4,0.0,SPY,80.02
2025-10-23,1090153.3,47.42,1090105.88,4,0.0,SPY,80.09
2025-10-30,1106193.85,47.42,1106146.44,4,0.0,SPY,79.88
2025-11-06,1079265.76,47.42,1079218.34,4,0.0,SPY,80.73
2025-11-13,1056044.04,69.54,1055974.5,4,0.01,SPY,81.27
2025-11-20,1009265.68,20373.73,988891.95,4,2.02,SPY,82.57
2025-11-27,1050974.3,8.22,1050966.09,5,0.0,SPY,79.21
2025-12-04,1059117.36,8.22,1059109.14,5,0.0,SPY,79.14
2025-12-11,1066491.05,8.22,1066482.84,5,0.0,SPY,79.14
2025-12-18,1040578.7,73.52,1040505.18,5,0.01,SPY,78.35
2025-12-25,1070788.87,57.12,1070731.74,5,0.01,SPY,75.94
2026-01-01,1058659.91,57.36,1058602.56,6,0.01,SPY,66.82
2026-01-08,1056797.56,89.01,1056708.55,6,0.01,SPY,67.17
2026-01-15,1066929.97,86.16,1066843.81,6,0.01,SPY,66.13
2026-01-22,1072753.01,86.16,1072666.85,6,0.01,SPY,65.46
2026-01-29,1085667.23,73.14,1085594.09,6,0.01,SPY,63.82
2026-02-05,1034729.66,49944.63,984785.03,5,4.83,SPY,70.63
2026-02-12,1041340.81,49995.28,991345.53,5,4.8,SPY,71.01
2026-02-19,1044537.5,49999.92,994537.58,5,4.79,SPY,71.14
2026-02-26,1054193.88,4.26,1054189.62,6,0.0,SPY,68.8
