review_date,ticker,weight_pct,market_value,portfolio_total,cash,cash_weight_pct,num_positions
2025-09-01,AAPL,2.02,20209.48,1000706.87,899904.0,89.93,5
2025-09-01,AMD,2.0,20037.8,1000706.87,899904.0,89.93,5
2025-09-01,META,2.01,20096.07,1000706.87,899904.0,89.93,5
2025-09-01,MSFT,2.0,20061.36,1000706.87,899904.0,89.93,5
2025-09-01,NVDA,2.04,20398.17,1000706.87,899904.0,89.93,5
2025-09-08,AAPL,2.07,20709.19,999170.57,899904.0,90.07,5
2025-09-08,AMD,1.87,18655.37,999170.57,899904.0,90.07,5
2025-09-08,META,2.05,20466.05,999170.57,899904.0,90.07,5
2025-09-08,MSFT,1.97,19725.22,999170.57,899904.0,90.07,5
2025-09-08,NVDA,1.97,19710.74,999170.57,899904.0,90.07,5
2025-09-15,AAPL,2.06,20606.46,1002392.59,899904.0,89.78,5
2025-09-15,AMD,1.98,19856.68,1002392.59,899904.0,89.78,5
2025-09-15,META,2.08,20803.39,1002392.59,899904.0,89.78,5
2025-09-15,MSFT,2.04,20404.63,1002392.59,899904.0,89.78,5
2025-09-15,NVDA,2.08,20817.43,1002392.59,899904.0,89.78,5
2025-09-22,AAPL,2.22,22293.63,1004587.79,899904.0,89.58,5
2025-09-22,AMD,1.96,19687.88,1004587.79,899904.0,89.58,5
2025-09-22,META,2.07,20829.95,1004587.79,899904.0,89.58,5
2025-09-22,MSFT,2.03,20368.6,1004587.79,899904.0,89.58,5
2025-09-22,NVDA,2.14,21503.73,1004587.79,899904.0,89.58,5
2025-09-29,AAPL,2.21,22149.99,1003845.03,899904.0,89.65,5
2025-09-29,AMD,1.98,19881.32,1003845.03,899904.0,89.65,5
2025-09-29,META,2.02,20237.58,1003845.03,899904.0,89.65,5
2025-09-29,MSFT,2.03,20374.54,1003845.03,899904.0,89.65,5
2025-09-29,NVDA,2.12,21297.6,1003845.03,899904.0,89.65,5
2025-10-06,AAPL,2.21,22346.74,1009489.88,899904.0,89.14,5
2025-10-06,AMD,2.49,25099.3,1009489.88,899904.0,89.14,5
2025-10-06,META,1.93,19482.41,1009489.88,899904.0,89.14,5
2025-10-06,MSFT,2.07,20927.66,1009489.88,899904.0,89.14,5
2025-10-06,NVDA,2.15,21729.76,1009489.88,899904.0,89.14,5
2025-10-13,AAPL,2.13,21560.61,1010021.54,899904.0,89.1,5
2025-10-13,AMD,2.64,26665.31,1010021.54,899904.0,89.1,5
2025-10-13,META,1.93,19483.5,1010021.54,899904.0,89.1,5
2025-10-13,MSFT,2.02,20352.76,1010021.54,899904.0,89.1,5
2025-10-13,NVDA,2.18,22055.35,1010021.54,899904.0,89.1,5
2025-10-20,AAPL,2.25,22829.9,1014156.76,899904.0,88.73,5
2025-10-20,AMD,2.92,29639.62,1014156.76,899904.0,88.73,5
2025-10-20,META,1.97,19931.86,1014156.76,899904.0,88.73,5
2025-10-20,MSFT,2.02,20461.25,1014156.76,899904.0,88.73,5
2025-10-20,NVDA,2.11,21390.12,1014156.76,899904.0,88.73,5
2025-10-27,AAPL,2.3,23401.87,1019210.7,899904.0,88.29,5
2025-10-27,AMD,3.14,31994.19,1019210.7,899904.0,88.29,5
2025-10-27,META,2.01,20439.57,1019210.7,899904.0,88.29,5
2025-10-27,MSFT,2.06,21044.46,1019210.7,899904.0,88.29,5
2025-10-27,NVDA,2.2,22426.61,1019210.7,899904.0,88.29,5
2025-11-03,AAPL,2.3,23422.76,1017378.65,899904.0,88.45,5
2025-11-03,AMD,3.14,31991.72,1017378.65,899904.0,88.45,5
2025-11-03,META,1.71,17360.38,1017378.65,899904.0,88.45,5
2025-11-03,MSFT,2.01,20470.75,1017378.65,899904.0,88.45,5
2025-11-03,NVDA,2.38,24229.03,1017378.65,899904.0,88.45,5
2025-11-10,AAPL,2.32,23478.58,1013988.05,899904.0,88.75,5
2025-11-10,AMD,2.96,30061.01,1013988.05,899904.0,88.75,5
2025-11-10,META,1.7,17198.4,1013988.05,899904.0,88.75,5
2025-11-10,MSFT,1.98,20034.04,1013988.05,899904.0,88.75,5
2025-11-10,NVDA,2.3,23312.02,1013988.05,899904.0,88.75,5
2025-11-17,AAPL,2.3,23306.91,1011181.08,899904.0,89.0,5
2025-11-17,AMD,2.93,29634.7,1011181.08,899904.0,89.0,5
2025-11-17,META,1.62,16388.52,1011181.08,899904.0,89.0,5
2025-11-17,MSFT,1.99,20093.04,1011181.08,899904.0,89.0,5
2025-11-17,NVDA,2.16,21853.91,1011181.08,899904.0,89.0,5
2025-11-24,AAPL,2.39,24044.13,1007315.5,899904.0,89.34,5
2025-11-24,AMD,2.63,26496.51,1007315.5,899904.0,89.34,5
2025-11-24,META,1.66,16689.06,1007315.5,899904.0,89.34,5
2025-11-24,MSFT,1.87,18802.19,1007315.5,899904.0,89.34,5
2025-11-24,NVDA,2.12,21379.59,1007315.5,899904.0,89.34,5
2025-12-01,AAPL,2.44,24669.81,1009476.19,899904.0,89.15,5
