review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2025-09-01,1000706.87,899904.0,100802.87,5,89.93,NVDA,2.04
2025-09-08,999170.57,899904.0,99266.56,5,90.07,AAPL,2.07
2025-09-15,1002392.59,899904.0,102488.59,5,89.78,NVDA,2.08
2025-09-22,1004587.79,899904.0,104683.78,5,89.58,AAPL,2.22
2025-09-29,1003845.03,899904.0,103941.03,5,89.65,AAPL,2.21
2025-10-06,1009489.88,899904.0,109585.87,5,89.14,AMD,2.49
2025-10-13,1010021.54,899904.0,110117.54,5,89.1,AMD,2.64
2025-10-20,1014156.76,899904.0,114252.76,5,88.73,AMD,2.92
2025-10-27,1019210.7,899904.0,119306.69,5,88.29,AMD,3.14
2025-11-03,1017378.65,899904.0,117474.64,5,88.45,AMD,3.14
2025-11-10,1013988.05,899904.0,114084.05,5,88.75,AMD,2.96
2025-11-17,1011181.08,899904.0,111277.07,5,89.0,AMD,2.93
2025-11-24,1007315.5,899904.0,107411.49,5,89.34,AMD,2.63
2025-12-01,1009476.19,899904.0,109572.18,5,89.15,AMD,2.68
2025-12-08,1010724.75,899904.0,110820.74,5,89.04,AMD,2.7
2025-12-15,1006490.39,899904.0,106586.38,5,89.41,AMD,2.54
2025-12-22,1008773.34,899904.0,108869.33,5,89.21,AMD,2.63
2025-12-29,1009638.26,899904.0,109734.26,5,89.13,AMD,2.63
2026-01-05,1009171.56,899904.0,109267.56,5,89.17,AMD,2.7
2026-01-12,1006251.94,899904.0,106347.94,5,89.43,AMD,2.54
2026-01-19,1007687.23,899904.0,107783.23,5,89.3,AMD,2.83
2026-01-26,1011938.11,899904.0,112034.11,5,88.93,AMD,3.06
2026-02-02,1011555.6,899904.0,111651.6,5,88.96,AMD,3.0
2026-02-09,1007586.13,899904.0,107682.13,5,89.31,AMD,2.64
2026-02-16,1002519.13,899904.0,102615.13,5,89.76,AMD,2.55
2026-02-23,1002426.85,899904.0,102522.84,5,89.77,AMD,2.42
