ticker,action_count,initiate_count,exit_count,hold_count,avg_forward_5d_pct,avg_forward_20d_pct,avg_forward_60d_pct,doc_count,claim_count,price_coverage_pct
AAPL,0,0,0,0,,,,3,7,0.0
ABNB,0,0,0,0,,,,0,0,0.0
AMD,0,0,0,0,,,,6,20,0.0
AMZN,0,0,0,0,,,,3,8,0.0
AVGO,0,0,0,0,,,,7,25,0.0
BRK-B,0,0,0,0,,,,0,0,0.0
CEG,0,0,0,0,,,,0,0,0.0
COIN,0,0,0,0,,,,0,0,0.0
CRM,0,0,0,0,,,,6,16,0.0
CRWD,0,0,0,0,,,,5,18,0.0
DDOG,0,0,0,0,,,,0,0,0.0
DIS,0,0,0,0,,,,0,0,0.0
ENPH,0,0,0,0,,,,0,0,0.0
FSLR,0,0,0,0,,,,0,0,0.0
GD,0,0,0,0,,,,0,0,0.0
GOOGL,0,0,0,0,,,,5,14,0.0
GS,0,0,0,0,,,,0,0,0.0
INTC,0,0,0,0,,,,13,28,0.0
ISRG,0,0,0,0,,,,0,0,0.0
JPM,0,0,0,0,,,,0,0,0.0
LLY,0,0,0,0,,,,0,0,0.0
LMT,0,0,0,0,,,,0,0,0.0
MA,0,0,0,0,,,,0,0,0.0
MDB,0,0,0,0,,,,0,0,0.0
META,0,0,0,0,,,,5,14,0.0
MRNA,0,0,0,0,,,,0,0,0.0
MRVL,0,0,0,0,,,,0,0,0.0
MSFT,0,0,0,0,,,,4,11,0.0
MU,0,0,0,0,,,,0,0,0.0
NET,0,0,0,0,,,,0,0,0.0
NFLX,0,0,0,0,,,,0,0,0.0
NOW,0,0,0,0,,,,6,10,0.0
NVDA,0,0,0,0,,,,4,8,0.0
PLTR,0,0,0,0,,,,2,6,0.0
PYPL,0,0,0,0,,,,0,0,0.0
QCOM,0,0,0,0,,,,6,12,0.0
RBLX,0,0,0,0,,,,0,0,0.0
RTX,0,0,0,0,,,,0,0,0.0
SNOW,0,0,0,0,,,,0,0,0.0
SQ,0,0,0,0,,,,0,0,0.0
TSLA,0,0,0,0,,,,5,16,0.0
UBER,0,0,0,0,,,,0,0,0.0
V,0,0,0,0,,,,0,0,0.0
VST,0,0,0,0,,,,0,0,0.0
ZS,0,0,0,0,,,,0,0,0.0
