ticker,action_count,initiate_count,exit_count,hold_count,avg_forward_5d_pct,avg_forward_20d_pct,avg_forward_60d_pct,doc_count,claim_count,price_coverage_pct
AAPL,10,1,0,9,0.45,0.59,0.92,3,6,90.9
AMD,19,1,0,18,1.28,7.92,21.45,6,20,90.9
AMZN,10,1,0,9,1.63,-0.43,-0.45,3,8,90.9
AVGO,18,1,0,17,0.42,1.47,4.65,7,28,90.9
CRM,18,1,0,17,0.83,1.66,2.22,6,16,90.9
CRWD,19,1,0,18,0.16,1.89,6.14,5,18,90.9
GOOGL,2,1,1,0,3.87,4.18,21.47,5,16,90.9
INTC,21,1,0,20,1.08,7.35,24.13,13,21,90.9
META,10,1,0,9,0.38,1.57,2.82,5,14,90.9
MSFT,14,1,0,13,0.42,-1.17,-5.78,4,10,90.9
NOW,14,1,0,13,-0.41,-4.12,-12.64,6,11,90.9
NVDA,19,1,0,18,0.26,0.93,2.65,4,8,90.9
PLTR,9,1,0,8,1.78,4.75,1.54,2,6,90.9
QCOM,19,1,0,18,-0.02,2.26,4.5,6,14,90.9
TSLA,17,1,0,16,2.06,5.19,4.68,5,14,90.9
