review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,prior_weight,new_weight,weight_change,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct
2025-10-01,MSFT,initiate,50.0,50.0,medium,0.0,2.02,2.02,517.56,1.7,-0.39,-5.15
2025-10-08,AMD,initiate,50.0,50.0,medium,0.0,2.02,2.02,235.56,-8.13,9.53,-7.47
2025-10-08,MSFT,hold,50.0,0.0,medium,2.02,2.02,0.0,522.68,-2.06,3.28,-7.77
2025-10-15,MSFT,hold,50.0,0.0,medium,2.03,2.03,0.0,511.3,0.65,0.18,-6.62
2025-10-15,AMD,hold,50.0,0.0,medium,2.02,2.02,0.0,238.6,0.82,4.8,-11.66
2025-10-22,MSFT,hold,50.0,0.0,medium,1.99,1.99,0.0,518.38,2.11,-2.28,-6.48
2025-10-22,AMD,hold,50.0,0.0,medium,2.05,2.05,0.0,230.23,12.79,3.17,-7.3
2025-10-29,META,initiate,50.0,50.0,medium,0.0,2.25,2.25,751.06,-15.16,-20.49,-11.69
2025-10-29,MSFT,hold,50.0,0.0,medium,2.02,2.02,0.0,539.31,-4.53,-8.82,-9.77
2025-10-29,AMD,hold,50.0,0.0,medium,1.98,1.98,0.0,264.33,-1.77,-12.88,-18.67
2025-11-05,AAPL,initiate,50.0,50.0,medium,0.0,2.0,2.0,269.63,-0.17,2.63,0.42
2025-11-05,MSFT,hold,50.0,0.0,medium,2.09,2.09,0.0,505.06,-0.23,-5.77,-6.57
2025-11-05,AMD,hold,50.0,0.0,medium,2.26,2.26,0.0,256.33,-4.82,-19.58,-12.82
2025-11-05,META,hold,50.0,0.0,medium,2.25,2.25,0.0,635.43,-0.66,0.04,2.36
2025-11-12,AAPL,hold,50.0,0.0,medium,2.0,2.0,0.0,273.21,-2.2,4.65,-5.16
2025-11-12,MSFT,hold,50.0,0.0,medium,1.97,1.97,0.0,509.02,-0.71,-3.96,-6.06
2025-11-12,AMD,hold,50.0,0.0,medium,2.2,2.2,0.0,258.89,-7.1,-16.86,-21.52
2025-11-12,META,hold,50.0,0.0,medium,1.91,1.91,0.0,608.51,-1.15,6.25,7.32
2025-11-19,NVDA,initiate,50.0,50.0,medium,0.0,2.06,2.06,186.5,-2.13,-0.83,-0.15
2025-11-19,AAPL,hold,50.0,0.0,medium,2.02,2.02,0.0,268.31,2.74,3.21,-4.85
2025-11-19,MSFT,hold,50.0,0.0,medium,1.98,1.98,0.0,485.1,-2.51,1.19,-5.42
2025-11-19,AMD,hold,50.0,0.0,medium,2.22,2.22,0.0,223.55,-3.8,-0.86,3.7
2025-11-19,META,hold,50.0,0.0,medium,1.83,1.83,0.0,589.84,3.85,11.29,5.16
2025-11-26,AAPL,hold,50.0,0.0,medium,2.0,2.0,0.0,277.29,2.0,-1.06,-10.63
2025-11-26,MSFT,hold,50.0,0.0,medium,1.9,1.9,0.0,484.39,0.26,-1.88,-4.03
2025-11-26,META,hold,50.0,0.0,medium,1.78,1.78,0.0,633.09,1.15,3.8,4.05
2025-11-26,NVDA,hold,50.0,0.0,medium,2.06,2.06,0.0,180.24,-0.19,-1.4,4.12
2025-11-26,AMD,hold,50.0,0.0,medium,1.93,1.93,0.0,214.24,2.58,-2.37,21.21
2025-12-03,AAPL,hold,50.0,0.0,medium,2.06,2.06,0.0,283.88,-2.2,-4.15,-8.68
2025-12-03,MSFT,hold,50.0,0.0,medium,1.89,1.89,0.0,476.64,2.78,1.91,-9.93
2025-12-03,META,hold,50.0,0.0,medium,1.91,1.91,0.0,639.08,4.25,4.05,12.11
2025-12-03,NVDA,hold,50.0,0.0,medium,1.99,1.99,0.0,179.57,3.32,5.36,6.43
2025-12-03,AMD,hold,50.0,0.0,medium,1.85,1.85,0.0,217.6,1.61,-1.24,8.79
2025-12-10,AAPL,hold,50.0,0.0,medium,2.11,2.11,0.0,278.52,-1.68,-2.04,-0.24
2025-12-10,MSFT,hold,50.0,0.0,medium,1.86,1.86,0.0,477.47,-0.78,1.86,-16.18
2025-12-10,META,hold,50.0,0.0,medium,1.93,1.93,0.0,649.6,-0.32,2.52,1.83
2025-12-10,NVDA,hold,50.0,0.0,medium,1.98,1.98,0.0,183.77,-4.08,2.05,0.89
2025-12-10,AMD,hold,50.0,0.0,medium,1.87,1.87,0.0,221.42,-6.25,-2.75,-5.86
2025-12-17,AAPL,hold,50.0,0.0,medium,2.07,2.07,0.0,271.59,-0.32,-3.49,-5.82
2025-12-17,MSFT,hold,50.0,0.0,medium,1.86,1.86,0.0,475.04,1.85,0.5,-15.71
2025-12-17,META,hold,50.0,0.0,medium,1.96,1.96,0.0,649.5,1.85,1.71,-1.5
2025-12-17,NVDA,hold,50.0,0.0,medium,2.03,2.03,0.0,170.93,7.46,9.54,6.94
2025-12-17,AMD,hold,50.0,0.0,medium,1.91,1.91,0.0,198.11,8.5,8.2,4.65
2025-12-24,AAPL,hold,50.0,0.0,medium,2.03,2.03,0.0,273.55,-0.02,-4.66,-3.28
2025-12-24,MSFT,hold,50.0,0.0,medium,1.86,1.86,0.0,486.91,-0.19,-3.56,-18.42
2025-12-24,META,hold,50.0,0.0,medium,1.97,1.97,0.0,667.55,-1.33,-5.46,-1.78
2025-12-24,NVDA,hold,50.0,0.0,medium,1.89,1.89,0.0,188.6,-0.21,-1.48,0.64
2025-12-24,AMD,hold,50.0,0.0,medium,1.71,1.71,0.0,215.04,0.27,2.76,-6.92
2025-12-31,AAPL,hold,50.0,0.0,medium,2.03,2.03,0.0,271.61,-1.69,-9.25,-2.73
2025-12-31,MSFT,hold,50.0,0.0,medium,1.9,1.9,0.0,482.52,-2.23,-6.02,-18.61
2025-12-31,META,hold,50.0,0.0,medium,2.01,2.01,0.0,660.09,-0.2,-8.48,-1.8
2025-12-31,NVDA,hold,50.0,0.0,medium,2.08,2.08,0.0,186.49,0.87,-4.52,-4.99
2025-12-31,AMD,hold,50.0,0.0,medium,1.85,1.85,0.0,214.16,3.23,8.29,-6.51
2026-01-07,AAPL,hold,50.0,0.0,medium,2.02,2.02,0.0,260.09,-0.03,-0.79,
2026-01-07,MSFT,hold,50.0,0.0,medium,1.88,1.88,0.0,482.37,-1.3,-0.6,
2026-01-07,META,hold,50.0,0.0,medium,1.99,1.99,0.0,648.69,-1.04,3.74,
2026-01-07,NVDA,hold,50.0,0.0,medium,2.06,2.06,0.0,189.1,-2.21,-0.31,
2026-01-07,AMD,hold,50.0,0.0,medium,1.84,1.84,0.0,210.02,-1.11,20.0,
2026-01-14,AAPL,hold,50.0,0.0,medium,1.94,1.94,0.0,259.72,-1.7,3.66,
2026-01-14,MSFT,hold,50.0,0.0,medium,1.89,1.89,0.0,458.33,0.1,-10.49,
2026-01-14,META,hold,50.0,0.0,medium,1.96,1.96,0.0,615.52,0.77,12.38,
2026-01-14,NVDA,hold,50.0,0.0,medium,2.09,2.09,0.0,183.13,1.69,-1.53,
2026-01-14,AMD,hold,50.0,0.0,medium,1.81,1.81,0.0,223.6,3.68,8.28,
2026-01-21,AAPL,hold,50.0,0.0,medium,1.94,1.94,0.0,247.42,3.13,10.61,
2026-01-21,MSFT,hold,50.0,0.0,medium,1.79,1.79,0.0,443.1,5.89,-6.94,
2026-01-21,META,hold,50.0,0.0,medium,1.86,1.86,0.0,612.96,9.69,9.42,
2026-01-21,NVDA,hold,50.0,0.0,medium,2.03,2.03,0.0,183.31,1.72,2.85,
2026-01-21,AMD,hold,50.0,0.0,medium,1.93,1.93,0.0,249.8,0.6,-14.5,
2026-01-28,AAPL,hold,50.0,0.0,medium,1.84,1.84,0.0,256.2,5.29,3.0,
2026-01-28,MSFT,hold,50.0,0.0,medium,1.73,1.73,0.0,480.53,-12.1,-17.6,
2026-01-28,META,hold,50.0,0.0,medium,1.85,1.85,0.0,668.73,5.63,-4.4,
2026-01-28,NVDA,hold,50.0,0.0,medium,2.03,2.03,0.0,191.51,-3.09,-3.42,
2026-01-28,AMD,hold,50.0,0.0,medium,2.16,2.16,0.0,252.74,-2.56,-19.65,
2026-02-04,AAPL,hold,50.0,0.0,medium,1.9,1.9,0.0,276.23,-0.58,-1.48,
2026-02-04,MSFT,hold,50.0,0.0,medium,1.87,1.87,0.0,413.25,-0.14,-5.87,
2026-02-04,META,hold,50.0,0.0,medium,2.01,2.01,0.0,668.99,1.23,-4.44,
2026-02-04,NVDA,hold,50.0,0.0,medium,2.11,2.11,0.0,174.18,9.1,10.71,
2026-02-04,AMD,hold,50.0,0.0,medium,2.17,2.17,0.0,200.19,7.9,6.82,
2026-02-11,AAPL,hold,50.0,0.0,medium,2.06,2.06,0.0,275.5,-7.16,-4.11,
2026-02-11,MSFT,hold,50.0,0.0,medium,1.62,1.62,0.0,403.45,-0.75,-2.65,
2026-02-11,META,hold,50.0,0.0,medium,2.03,2.03,0.0,668.69,-4.32,-3.07,
2026-02-11,NVDA,hold,50.0,0.0,medium,1.93,1.93,0.0,190.04,-3.81,-6.77,
2026-02-11,AMD,hold,50.0,0.0,medium,1.73,1.73,0.0,213.58,-2.93,-6.26,
2026-02-18,AAPL,hold,50.0,0.0,medium,2.05,2.05,0.0,264.35,0.69,,
2026-02-18,MSFT,hold,50.0,0.0,medium,1.58,1.58,0.0,398.69,-3.57,,
2026-02-18,META,hold,50.0,0.0,medium,2.02,2.02,0.0,643.22,-0.93,,
2026-02-18,NVDA,hold,50.0,0.0,medium,2.1,2.1,0.0,187.97,1.9,,
2026-02-18,AMD,hold,50.0,0.0,medium,1.84,1.84,0.0,200.12,-1.76,,
2026-02-25,AAPL,hold,50.0,0.0,medium,1.98,1.98,0.0,274.23,-3.66,,
2026-02-25,MSFT,hold,50.0,0.0,medium,1.56,1.56,0.0,400.6,-1.96,,
2026-02-25,META,hold,50.0,0.0,medium,1.95,1.95,0.0,653.69,-0.84,,
2026-02-25,NVDA,hold,50.0,0.0,medium,2.08,2.08,0.0,195.55,-9.39,,
2026-02-25,AMD,hold,50.0,0.0,medium,1.73,1.73,0.0,210.86,-5.05,,
