review_date,ticker,weight_pct,market_value,portfolio_total,cash,cash_weight_pct,num_positions
2025-10-01,MSFT,2.02,20153.96,1000133.96,979980.0,97.98,1
2025-10-08,AMD,2.02,20234.11,1000542.62,959955.23,95.94,2
2025-10-08,MSFT,2.03,20353.28,1000542.62,959955.23,95.94,2
2025-10-15,AMD,2.05,20495.24,1000360.89,959955.23,95.96,2
2025-10-15,MSFT,1.99,19910.42,1000360.89,959955.23,95.96,2
2025-10-22,AMD,1.98,19776.28,999917.65,959955.23,96.0,2
2025-10-22,MSFT,2.02,20186.14,999917.65,959955.23,96.0,2
2025-10-29,AMD,2.26,22705.4,1006203.94,939890.5,93.41,3
2025-10-29,META,2.25,22607.14,1006203.94,939890.5,93.41,3
2025-10-29,MSFT,2.09,21000.89,1006203.94,939890.5,93.41,3
2025-11-05,AAPL,2.0,19991.4,1000710.18,919906.53,91.93,4
2025-11-05,AMD,2.2,22018.21,1000710.18,919906.53,91.93,4
2025-11-05,META,1.91,19126.77,1000710.18,919906.53,91.93,4
2025-11-05,MSFT,1.97,19667.28,1000710.18,919906.53,91.93,4
2025-11-12,AAPL,2.02,20257.45,1000540.22,919906.53,91.94,4
2025-11-12,AMD,2.22,22238.11,1000540.22,919906.53,91.94,4
2025-11-12,META,1.83,18316.52,1000540.22,919906.53,91.94,4
2025-11-12,MSFT,1.98,19821.62,1000540.22,919906.53,91.94,4
2025-11-19,AAPL,2.0,19893.73,996274.27,900013.99,90.34,5
2025-11-19,AMD,1.93,19202.48,996274.27,900013.99,90.34,5
2025-11-19,META,1.78,17754.4,996274.27,900013.99,90.34,5
2025-11-19,MSFT,1.9,18890.14,996274.27,900013.99,90.34,5
2025-11-19,NVDA,2.06,20519.53,996274.27,900013.99,90.34,5
2025-11-26,AAPL,2.06,20559.67,996726.23,900013.99,90.3,5
2025-11-26,AMD,1.85,18402.77,996726.23,900013.99,90.3,5
2025-11-26,META,1.91,19056.38,996726.23,900013.99,90.3,5
2025-11-26,MSFT,1.89,18862.56,996726.23,900013.99,90.3,5
2025-11-26,NVDA,1.99,19830.85,996726.23,900013.99,90.3,5
2025-12-03,AAPL,2.11,21048.58,997308.32,900013.99,90.24,5
2025-12-03,AMD,1.87,18691.39,997308.32,900013.99,90.24,5
2025-12-03,META,1.93,19236.54,997308.32,900013.99,90.24,5
2025-12-03,MSFT,1.86,18560.68,997308.32,900013.99,90.24,5
2025-12-03,NVDA,1.98,19757.14,997308.32,900013.99,90.24,5
2025-12-10,AAPL,2.07,20650.79,998049.69,900013.99,90.18,5
2025-12-10,AMD,1.91,19019.52,998049.69,900013.99,90.18,5
2025-12-10,META,1.96,19553.24,998049.69,900013.99,90.18,5
2025-12-10,MSFT,1.86,18592.92,998049.69,900013.99,90.18,5
2025-12-10,NVDA,2.03,20219.22,998049.69,900013.99,90.18,5
2025-12-17,AAPL,2.03,20136.71,994022.87,900013.99,90.54,5
2025-12-17,AMD,1.71,17017.24,994022.87,900013.99,90.54,5
2025-12-17,META,1.97,19550.22,994022.87,900013.99,90.54,5
2025-12-17,MSFT,1.86,18498.12,994022.87,900013.99,90.54,5
2025-12-17,NVDA,1.89,18806.59,994022.87,900013.99,90.54,5
2025-12-24,AAPL,2.03,20282.63,998572.72,900013.99,90.13,5
2025-12-24,AMD,1.85,18471.49,998572.72,900013.99,90.13,5
2025-12-24,META,2.01,20093.54,998572.72,900013.99,90.13,5
2025-12-24,MSFT,1.9,18960.46,998572.72,900013.99,90.13,5
2025-12-24,NVDA,2.08,20750.61,998572.72,900013.99,90.13,5
2025-12-31,AAPL,2.02,20138.18,997725.05,900013.99,90.21,5
2025-12-31,AMD,1.84,18395.9,997725.05,900013.99,90.21,5
2025-12-31,META,1.99,19868.99,997725.05,900013.99,90.21,5
2025-12-31,MSFT,1.88,18789.52,997725.05,900013.99,90.21,5
2025-12-31,NVDA,2.06,20518.47,997725.05,900013.99,90.21,5
2026-01-07,AAPL,1.94,19284.09,996453.52,900013.99,90.32,5
2026-01-07,AMD,1.81,18040.28,996453.52,900013.99,90.32,5
2026-01-07,META,1.96,19525.84,996453.52,900013.99,90.32,5
