review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2025-10-01,1000133.96,979980.0,20153.96,1,97.98,MSFT,2.02
2025-10-08,1000542.62,959955.23,40587.39,2,95.94,MSFT,2.03
2025-10-15,1000360.89,959955.23,40405.66,2,95.96,AMD,2.05
2025-10-22,999917.65,959955.23,39962.42,2,96.0,MSFT,2.02
2025-10-29,1006203.94,939890.5,66313.43,3,93.41,AMD,2.26
2025-11-05,1000710.18,919906.53,80803.65,4,91.93,AMD,2.2
2025-11-12,1000540.22,919906.53,80633.7,4,91.94,AMD,2.22
2025-11-19,996274.27,900013.99,96260.28,5,90.34,NVDA,2.06
2025-11-26,996726.23,900013.99,96712.23,5,90.3,AAPL,2.06
2025-12-03,997308.32,900013.99,97294.32,5,90.24,AAPL,2.11
2025-12-10,998049.69,900013.99,98035.7,5,90.18,AAPL,2.07
2025-12-17,994022.87,900013.99,94008.88,5,90.54,AAPL,2.03
2025-12-24,998572.72,900013.99,98558.73,5,90.13,NVDA,2.08
2025-12-31,997725.05,900013.99,97711.05,5,90.21,NVDA,2.06
2026-01-07,996453.52,900013.99,96439.52,5,90.32,NVDA,2.09
2026-01-14,995001.42,900013.99,94987.43,5,90.45,NVDA,2.03
2026-01-21,995689.56,900013.99,95675.56,5,90.39,AMD,2.16
2026-01-28,1000631.79,900013.99,100617.8,5,89.94,AMD,2.17
2026-02-04,993084.11,900013.99,93070.12,5,90.63,AAPL,2.06
2026-02-11,995534.38,900013.99,95520.39,5,90.41,NVDA,2.1
2026-02-18,992371.76,900013.99,92357.76,5,90.69,NVDA,2.08
2026-02-25,995250.32,900013.99,95236.33,5,90.43,NVDA,2.16
