ticker,action_count,initiate_count,exit_count,hold_count,avg_forward_5d_pct,avg_forward_20d_pct,avg_forward_60d_pct,doc_count,claim_count,price_coverage_pct
AAPL,0,0,0,0,,,,3,9,90.9
AMD,0,0,0,0,,,,6,19,90.9
AMZN,0,0,0,0,,,,3,9,90.9
AVGO,0,0,0,0,,,,7,22,90.9
CRM,0,0,0,0,,,,6,15,90.9
CRWD,0,0,0,0,,,,5,18,90.9
GOOGL,0,0,0,0,,,,5,15,90.9
INTC,21,1,0,20,1.08,7.35,24.13,13,25,90.9
META,0,0,0,0,,,,5,11,90.9
MSFT,0,0,0,0,,,,4,11,90.9
NOW,0,0,0,0,,,,6,11,90.9
NVDA,0,0,0,0,,,,4,11,90.9
PLTR,0,0,0,0,,,,2,1,90.9
QCOM,0,0,0,0,,,,6,10,90.9
TSLA,0,0,0,0,,,,5,13,90.9
