review_date,ticker,action,conviction,conviction_bucket,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct,rationale
2025-09-11,TSLA,initiate,50.0,medium,368.81,14.32,24.58,20.72,"All entry gates passed — conviction 50, thesis forming"
2025-09-04,AVGO,initiate,50.0,medium,304.99,9.99,11.04,18.64,"All entry gates passed — conviction 50, thesis forming"
2025-09-04,GOOGL,initiate,50.0,medium,231.78,3.25,6.48,22.24,"All entry gates passed — conviction 50, thesis forming"
2025-08-28,QCOM,initiate,50.0,medium,158.06,-1.26,3.36,17.38,"All entry gates passed — conviction 50, thesis forming"
2025-10-02,NOW,initiate,50.0,medium,182.02,-0.64,2.81,-9.67,"All entry gates passed — conviction 50, thesis forming"
2025-09-04,CRM,initiate,50.3,medium,243.19,3.3,0.95,7.29,"All entry gates passed — conviction 50, thesis strengthening"
2025-10-02,MSFT,initiate,50.0,medium,513.6,1.6,0.93,-5.45,"All entry gates passed — conviction 50, thesis forming"
2025-08-28,CRWD,initiate,50.1,medium,442.0,-6.45,0.79,19.84,"All entry gates passed — conviction 50, thesis stable"
2025-08-14,INTC,initiate,50.0,medium,23.86,6.08,0.59,55.99,"All entry gates passed — conviction 50, thesis forming"
2025-10-30,AMZN,initiate,50.0,medium,222.86,11.87,-0.08,4.13,"All entry gates passed — conviction 50, thesis forming"
