review_date,ticker,weight_pct,market_value,portfolio_total,cash,cash_weight_pct,num_positions
2025-09-01,AMD,3.0,30054.59,1001786.39,849859.01,84.83,5
2025-09-01,CRWD,3.07,30739.1,1001786.39,849859.01,84.83,5
2025-09-01,INTC,3.01,30173.48,1001786.39,849859.01,84.83,5
2025-09-01,NVDA,3.05,30595.42,1001786.39,849859.01,84.83,5
2025-09-01,QCOM,3.03,30364.79,1001786.39,849859.01,84.83,5
2025-09-08,AMD,2.8,27981.09,999924.66,759789.33,75.98,8
2025-09-08,AVGO,3.08,30793.24,999924.66,759789.33,75.98,8
2025-09-08,CRM,3.0,30019.12,999924.66,759789.33,75.98,8
2025-09-08,CRWD,3.11,31055.42,999924.66,759789.33,75.98,8
2025-09-08,INTC,3.03,30334.57,999924.66,759789.33,75.98,8
2025-09-08,NVDA,2.96,29564.33,999924.66,759789.33,75.98,8
2025-09-08,QCOM,3.04,30444.49,999924.66,759789.33,75.98,8
2025-09-08,TSLA,2.99,29943.06,999924.66,759789.33,75.98,8
2025-09-15,AMD,2.95,29782.93,1011127.95,759789.33,75.14,8
2025-09-15,AVGO,3.21,32436.02,1011127.95,759789.33,75.14,8
2025-09-15,CRM,2.85,28858.92,1011127.95,759789.33,75.14,8
2025-09-15,CRWD,3.19,32267.71,1011127.95,759789.33,75.14,8
2025-09-15,INTC,3.04,30693.93,1011127.95,759789.33,75.14,8
2025-09-15,NVDA,3.09,31224.28,1011127.95,759789.33,75.14,8
2025-09-15,QCOM,3.03,30630.68,1011127.95,759789.33,75.14,8
2025-09-15,TSLA,3.51,35444.15,1011127.95,759789.33,75.14,8
2025-09-22,AMD,2.89,29529.75,1022764.55,759789.33,74.29,8
2025-09-22,AVGO,2.96,30233.81,1022764.55,759789.33,74.29,8
2025-09-22,CRM,2.91,29763.85,1022764.55,759789.33,74.29,8
2025-09-22,CRWD,3.5,35776.92,1022764.55,759789.33,74.29,8
2025-09-22,INTC,3.48,35638.17,1022764.55,759789.33,74.29,8
2025-09-22,NVDA,3.15,32253.66,1022764.55,759789.33,74.29,8
2025-09-22,QCOM,3.15,32245.64,1022764.55,759789.33,74.29,8
2025-09-22,TSLA,3.67,37533.42,1022764.55,759789.33,74.29,8
2025-09-29,AMD,2.9,29819.89,1028570.54,728937.83,70.87,9
2025-09-29,AVGO,2.84,29261.98,1028570.54,728937.83,70.87,9
2025-09-29,CRM,2.84,29216.71,1028570.54,728937.83,70.87,9
2025-09-29,CRWD,3.45,35436.66,1028570.54,728937.83,70.87,9
2025-09-29,INTC,4.15,42726.15,1028570.54,728937.83,70.87,9
2025-09-29,NOW,3.06,31509.59,1028570.54,728937.83,70.87,9
2025-09-29,NVDA,3.11,31944.49,1028570.54,728937.83,70.87,9
2025-09-29,QCOM,3.05,31405.86,1028570.54,728937.83,70.87,9
2025-09-29,TSLA,3.72,38311.39,1028570.54,728937.83,70.87,9
2025-10-06,AMD,3.61,37646.32,1041764.89,697721.51,66.97,10
2025-10-06,AVGO,2.87,29939.32,1041764.89,697721.51,66.97,10
2025-10-06,CRM,2.81,29297.77,1041764.89,697721.51,66.97,10
2025-10-06,CRWD,3.45,35980.78,1041764.89,697721.51,66.97,10
2025-10-06,INTC,4.35,45340.77,1041764.89,697721.51,66.97,10
2025-10-06,MSFT,3.02,31458.31,1041764.89,697721.51,66.97,10
2025-10-06,NOW,2.93,30571.52,1041764.89,697721.51,66.97,10
2025-10-06,NVDA,3.13,32592.69,1041764.89,697721.51,66.97,10
2025-10-06,QCOM,3.08,32036.65,1041764.89,697721.51,66.97,10
2025-10-06,TSLA,3.76,39179.25,1041764.89,697721.51,66.97,10
2025-10-13,AMD,3.83,39995.17,1045248.27,697721.51,66.75,10
2025-10-13,AVGO,3.05,31832.11,1045248.27,697721.51,66.75,10
2025-10-13,CRM,2.84,29651.8,1045248.27,697721.51,66.75,10
2025-10-13,CRWD,3.53,36899.26,1045248.27,697721.51,66.75,10
2025-10-13,INTC,4.41,46121.44,1045248.27,697721.51,66.75,10
2025-10-13,MSFT,2.93,30594.14,1045248.27,697721.51,66.75,10
2025-10-13,NOW,2.96,30935.22,1045248.27,697721.51,66.75,10
2025-10-13,NVDA,3.16,33081.04,1045248.27,697721.51,66.75,10
2025-10-13,QCOM,2.94,30737.08,1045248.27,697721.51,66.75,10
2025-10-13,TSLA,3.6,37679.5,1045248.27,697721.51,66.75,10
2025-10-20,AMD,4.23,44456.32,1051385.95,697721.51,66.36,10
2025-10-20,AVGO,2.96,31166.37,1051385.95,697721.51,66.36,10
2025-10-20,CRM,2.88,30311.0,1051385.95,697721.51,66.36,10
2025-10-20,CRWD,3.48,36536.51,1051385.95,697721.51,66.36,10
2025-10-20,INTC,4.49,47211.9,1051385.95,697721.51,66.36,10
2025-10-20,MSFT,2.93,30757.21,1051385.95,697721.51,66.36,10
2025-10-20,NOW,2.92,30729.26,1051385.95,697721.51,66.36,10
2025-10-20,NVDA,3.05,32083.26,1051385.95,697721.51,66.36,10
2025-10-20,QCOM,3.02,31736.45,1051385.95,697721.51,66.36,10
2025-10-20,TSLA,3.68,38676.17,1051385.95,697721.51,66.36,10
2025-10-27,AMD,4.49,47987.92,1067626.41,697721.51,65.35,10
2025-10-27,AVGO,3.03,32309.55,1067626.41,697721.51,65.35,10
2025-10-27,CRM,2.85,30452.85,1067626.41,697721.51,65.35,10
2025-10-27,CRWD,3.6,38429.32,1067626.41,697721.51,65.35,10
2025-10-27,INTC,4.59,48996.28,1067626.41,697721.51,65.35,10
2025-10-27,MSFT,2.96,31633.89,1067626.41,697721.51,65.35,10
2025-10-27,NOW,2.97,31691.77,1067626.41,697721.51,65.35,10
