review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2025-09-01,1001786.39,849859.01,151927.38,5,84.83,CRWD,3.07
2025-09-08,999924.66,759789.33,240135.33,8,75.98,CRWD,3.11
2025-09-15,1011127.95,759789.33,251338.62,8,75.14,TSLA,3.51
2025-09-22,1022764.55,759789.33,262975.21,8,74.29,TSLA,3.67
2025-09-29,1028570.54,728937.83,299632.72,9,70.87,INTC,4.15
2025-10-06,1041764.89,697721.51,344043.38,10,66.97,INTC,4.35
2025-10-13,1045248.27,697721.51,347526.75,10,66.75,INTC,4.41
2025-10-20,1051385.95,697721.51,353664.44,10,66.36,INTC,4.49
2025-10-27,1067626.41,697721.51,369904.9,10,65.35,INTC,4.59
2025-11-03,1074349.61,570788.04,503561.56,14,53.13,INTC,4.56
2025-11-10,1057292.94,570788.04,486504.9,14,53.99,INTC,4.51
2025-11-17,1033442.95,570788.04,462654.91,14,55.23,AMD,4.3
2025-11-24,1026685.81,570788.04,455897.77,14,55.6,INTC,4.32
2025-12-01,1040259.17,570788.04,469471.13,14,54.87,INTC,4.77
2025-12-08,1052996.39,570788.04,482208.35,14,54.21,INTC,4.74
2025-12-15,1035607.34,570788.04,464819.3,14,55.12,INTC,4.49
