review_date,ticker,thesis_conviction,action_score,prior_action,prior_conviction,preceded_by_probation,probation_date,forward_5d_pct,forward_20d_pct,forward_60d_pct,premature_exit_20d,premature_exit_60d
2024-08-07,AMD,50.0,86.0,initiate,50.0,False,,6.3,16.97,32.82,True,True
2024-12-25,AMD,50.0,86.0,trim,50.0,False,,-3.05,,,False,False
2024-08-07,AVGO,50.0,86.0,initiate,50.0,False,,9.06,18.43,30.05,True,True
2024-08-07,CRWD,50.0,86.0,initiate,50.0,False,,3.76,16.98,26.69,True,True
2024-08-21,CRWD,50.0,86.0,initiate,50.0,False,,-2.69,-9.32,13.52,False,True
2024-09-04,CRWD,50.0,86.0,initiate,50.0,False,,-4.91,11.27,16.89,True,True
2024-09-18,CRWD,50.0,86.0,initiate,50.0,False,,9.74,9.69,26.07,True,True
2024-10-02,CRWD,50.0,86.0,initiate,50.0,False,,2.4,10.09,23.45,True,True
2024-10-02,INTC,50.0,86.0,initiate,50.0,False,,-0.04,0.04,7.41,False,False
2024-10-16,INTC,50.0,86.0,initiate,50.0,False,,2.38,4.53,-8.83,False,False
2024-12-18,INTC,50.0,86.0,hold,50.0,False,,4.66,,,False,False
2024-08-07,NVDA,50.0,86.0,initiate,50.0,False,,10.22,29.71,26.31,True,True
2024-08-07,QCOM,50.0,86.0,initiate,50.0,False,,4.34,11.41,8.75,True,False
2024-09-04,QCOM,50.0,86.0,hold,50.0,False,,-2.26,1.5,0.48,False,False
