ticker,action_count,initiate_count,exit_count,hold_count,avg_forward_5d_pct,avg_forward_20d_pct,avg_forward_60d_pct,doc_count,claim_count,price_coverage_pct
AAPL,22,1,0,20,0.85,2.56,5.4,7,8,97.3
AMD,22,2,2,12,0.59,-0.88,-3.94,8,8,97.3
AMZN,22,1,0,16,0.69,4.32,12.8,4,4,97.3
AVGO,23,2,1,17,2.04,7.51,13.79,9,9,97.3
CRM,22,1,0,21,1.29,4.6,19.27,8,8,97.3
CRWD,23,6,5,10,1.45,6.21,20.99,9,9,97.3
GOOGL,23,1,0,22,0.04,2.47,6.75,11,11,97.3
INTC,23,5,3,7,0.31,-0.77,3.95,10,11,97.3
META,23,1,0,22,0.45,3.23,8.08,6,6,97.3
MSFT,23,1,0,18,-0.39,0.94,1.5,7,7,97.3
NOW,22,1,0,20,1.31,4.7,15.85,5,5,97.3
NVDA,23,2,1,16,0.2,2.89,11.2,7,7,97.3
PLTR,23,1,0,17,2.8,16.29,60.77,6,6,97.3
QCOM,23,3,2,13,0.09,-0.57,-3.17,7,9,97.3
TSLA,21,1,0,12,2.99,13.6,44.02,7,7,97.3
