review_date,ticker,weight_pct,market_value,portfolio_total,cash,cash_weight_pct,num_positions
2024-07-31,AMD,2.14,21487.28,1005306.49,60.55,0.01,11
2024-07-31,AVGO,2.14,21542.58,1005306.49,60.55,0.01,11
2024-07-31,CRWD,2.03,20386.06,1005306.49,60.55,0.01,11
2024-07-31,GOOGL,1.97,19798.21,1005306.49,60.55,0.01,11
2024-07-31,INTC,2.07,20856.36,1005306.49,60.55,0.01,11
2024-07-31,META,1.87,18800.3,1005306.49,60.55,0.01,11
2024-07-31,MSFT,1.97,19767.57,1005306.49,60.55,0.01,11
2024-07-31,NVDA,2.1,21121.61,1005306.49,60.55,0.01,11
2024-07-31,PLTR,2.02,20318.66,1005306.49,60.55,0.01,11
2024-07-31,QCOM,2.16,21747.72,1005306.49,60.55,0.01,11
2024-07-31,SPY,79.52,799419.59,1005306.49,60.55,0.01,11
2024-08-07,AAPL,2.02,18960.7,940164.25,26202.68,2.79,10
2024-08-07,AMZN,2.01,18924.94,940164.25,26202.68,2.79,10
2024-08-07,CRM,1.98,18574.24,940164.25,26202.68,2.79,10
2024-08-07,GOOGL,1.95,18343.98,940164.25,26202.68,2.79,10
2024-08-07,INTC,1.01,9531.05,940164.25,26202.68,2.79,10
2024-08-07,META,2.06,19358.18,940164.25,26202.68,2.79,10
2024-08-07,MSFT,2.0,18826.32,940164.25,26202.68,2.79,10
2024-08-07,NOW,2.0,18795.6,940164.25,26202.68,2.79,10
2024-08-07,PLTR,2.12,19887.96,940164.25,26202.68,2.79,10
2024-08-07,SPY,80.07,752758.6,940164.25,26202.68,2.79,10
2024-08-14,AAPL,3.05,29966.79,983735.15,59.8,0.01,16
2024-08-14,AMD,1.95,19181.68,983735.15,59.8,0.01,16
2024-08-14,AMZN,2.01,19777.18,983735.15,59.8,0.01,16
2024-08-14,AVGO,1.94,19061.48,983735.15,59.8,0.01,16
2024-08-14,CRM,2.01,19756.61,983735.15,59.8,0.01,16
2024-08-14,CRWD,2.01,19750.93,983735.15,59.8,0.01,16
2024-08-14,GOOGL,1.88,18509.03,983735.15,59.8,0.01,16
2024-08-14,INTC,1.0,9875.43,983735.15,59.8,0.01,16
2024-08-14,META,2.12,20856.4,983735.15,59.8,0.01,16
2024-08-14,MSFT,2.0,19697.16,983735.15,59.8,0.01,16
2024-08-14,NOW,2.02,19830.44,983735.15,59.8,0.01,16
2024-08-14,NVDA,1.96,19301.63,983735.15,59.8,0.01,16
2024-08-14,PLTR,2.38,23424.27,983735.15,59.8,0.01,16
2024-08-14,QCOM,1.97,19363.8,983735.15,59.8,0.01,16
2024-08-14,SPY,69.78,686439.7,983735.15,59.8,0.01,16
2024-08-14,TSLA,1.92,18882.82,983735.15,59.8,0.01,16
2024-08-21,AAPL,3.0,30599.31,1021451.29,79.84,0.01,15
2024-08-21,AMD,3.13,31983.28,1021451.29,79.84,0.01,15
2024-08-21,AMZN,3.06,31239.8,1021451.29,79.84,0.01,15
2024-08-21,AVGO,1.96,20039.39,1021451.29,79.84,0.01,15
2024-08-21,CRM,1.98,20203.08,1021451.29,79.84,0.01,15
2024-08-21,GOOGL,1.87,19141.51,1021451.29,79.84,0.01,15
2024-08-21,INTC,1.0,10180.74,1021451.29,79.84,0.01,15
2024-08-21,META,2.07,21188.99,1021451.29,79.84,0.01,15
2024-08-21,MSFT,2.97,30356.04,1021451.29,79.84,0.01,15
2024-08-21,NOW,1.99,20318.56,1021451.29,79.84,0.01,15
2024-08-21,NVDA,3.08,31463.73,1021451.29,79.84,0.01,15
2024-08-21,PLTR,2.41,24587.92,1021451.29,79.84,0.01,15
2024-08-21,QCOM,2.99,30564.7,1021451.29,79.84,0.01,15
2024-08-21,SPY,65.39,667894.86,1021451.29,79.84,0.01,15
2024-08-21,TSLA,3.09,31609.54,1021451.29,79.84,0.01,15
2024-08-28,AAPL,3.05,30611.48,1004786.16,59.82,0.01,16
2024-08-28,AMD,2.95,29662.71,1004786.16,59.82,0.01,16
2024-08-28,AMZN,2.95,29624.99,1004786.16,59.82,0.01,16
2024-08-28,AVGO,1.9,19120.7,1004786.16,59.82,0.01,16
2024-08-28,CRM,1.99,20033.62,1004786.16,59.82,0.01,16
2024-08-28,CRWD,1.94,19529.76,1004786.16,59.82,0.01,16
2024-08-28,GOOGL,1.87,18795.27,1004786.16,59.82,0.01,16
2024-08-28,INTC,0.86,8619.7,1004786.16,59.82,0.01,16
2024-08-28,META,2.04,20461.26,1004786.16,59.82,0.01,16
2024-08-28,MSFT,2.92,29386.97,1004786.16,59.82,0.01,16
2024-08-28,NOW,1.96,19711.56,1004786.16,59.82,0.01,16
2024-08-28,NVDA,4.13,41482.33,1004786.16,59.82,0.01,16
2024-08-28,PLTR,3.26,32774.54,1004786.16,59.82,0.01,16
2024-08-28,QCOM,3.0,30148.9,1004786.16,59.82,0.01,16
2024-08-28,SPY,62.27,625633.42,1004786.16,59.82,0.01,16
2024-08-28,TSLA,2.9,29129.13,1004786.16,59.82,0.01,16
2024-09-04,AAPL,3.03,29849.19,986553.78,39281.94,3.98,14
2024-09-04,AMD,2.89,28550.05,986553.78,39281.94,3.98,14
2024-09-04,AMZN,3.05,30063.82,986553.78,39281.94,3.98,14
2024-09-04,AVGO,1.89,18629.93,986553.78,39281.94,3.98,14
2024-09-04,CRM,1.94,19165.42,986553.78,39281.94,3.98,14
2024-09-04,GOOGL,1.83,18056.6,986553.78,39281.94,3.98,14
2024-09-04,INTC,0.73,7204.64,986553.78,39281.94,3.98,14
2024-09-04,META,2.06,20301.31,986553.78,39281.94,3.98,14
2024-09-04,MSFT,2.97,29265.31,986553.78,39281.94,3.98,14
2024-09-04,NOW,2.05,20213.24,986553.78,39281.94,3.98,14
2024-09-04,NVDA,3.56,35075.52,986553.78,39281.94,3.98,14
2024-09-04,PLTR,3.35,33022.83,986553.78,39281.94,3.98,14
2024-09-04,SPY,62.58,617396.96,986553.78,39281.94,3.98,14
2024-09-04,TSLA,4.1,40477.02,986553.78,39281.94,3.98,14
2024-09-11,AAPL,2.99,30093.83,1006013.89,59.34,0.01,16
2024-09-11,AMD,4.02,40467.64,1006013.89,59.34,0.01,16
2024-09-11,AMZN,4.18,42026.99,1006013.89,59.34,0.01,16
2024-09-11,AVGO,1.9,19131.59,1006013.89,59.34,0.01,16
2024-09-11,CRM,1.92,19311.67,1006013.89,59.34,0.01,16
2024-09-11,CRWD,1.99,20030.53,1006013.89,59.34,0.01,16
2024-09-11,GOOGL,1.74,17469.21,1006013.89,59.34,0.01,16
2024-09-11,INTC,0.44,4435.42,1006013.89,59.34,0.01,16
2024-09-11,META,2.01,20265.27,1006013.89,59.34,0.01,16
2024-09-11,MSFT,4.01,40339.91,1006013.89,59.34,0.01,16
2024-09-11,NOW,2.11,21209.09,1006013.89,59.34,0.01,16
2024-09-11,NVDA,3.84,38609.18,1006013.89,59.34,0.01,16
2024-09-11,PLTR,3.74,37621.63,1006013.89,59.34,0.01,16
2024-09-11,QCOM,2.04,20507.9,1006013.89,59.34,0.01,16
2024-09-11,SPY,57.88,582266.16,1006013.89,59.34,0.01,16
2024-09-11,TSLA,5.19,52168.54,1006013.89,59.34,0.01,16
2024-09-18,AAPL,2.93,29827.58,1018347.95,79.09,0.01,14
2024-09-18,AMD,3.93,40043.68,1018347.95,79.09,0.01,14
2024-09-18,AMZN,5.18,52719.35,1018347.95,79.09,0.01,14
2024-09-18,AVGO,1.92,19542.57,1018347.95,79.09,0.01,14
2024-09-18,CRM,1.92,19563.64,1018347.95,79.09,0.01,14
2024-09-18,GOOGL,1.81,18468.88,1018347.95,79.09,0.01,14
2024-09-18,META,2.09,21319.78,1018347.95,79.09,0.01,14
2024-09-18,MSFT,5.04,51339.53,1018347.95,79.09,0.01,14
2024-09-18,NOW,2.12,21558.48,1018347.95,79.09,0.01,14
2024-09-18,NVDA,3.68,37443.31,1018347.95,79.09,0.01,14
2024-09-18,PLTR,3.86,39273.31,1018347.95,79.09,0.01,14
2024-09-18,QCOM,3.03,30831.08,1018347.95,79.09,0.01,14
2024-09-18,SPY,56.43,574651.2,1018347.95,79.09,0.01,14
2024-09-18,TSLA,6.06,61686.48,1018347.95,79.09,0.01,14
2024-09-25,AAPL,2.91,30595.26,1052033.93,57.7,0.01,16
2024-09-25,AMD,5.13,53970.99,1052033.93,57.7,0.01,16
2024-09-25,AMZN,5.18,54444.33,1052033.93,57.7,0.01,16
2024-09-25,AVGO,2.02,21286.53,1052033.93,57.7,0.01,16
2024-09-25,CRM,2.02,21242.32,1052033.93,57.7,0.01,16
2024-09-25,CRWD,2.04,21501.47,1052033.93,57.7,0.01,16
2024-09-25,GOOGL,1.77,18663.03,1052033.93,57.7,0.01,16
2024-09-25,INTC,1.98,20792.14,1052033.93,57.7,0.01,16
2024-09-25,META,2.14,22522.99,1052033.93,57.7,0.01,16
2024-09-25,MSFT,5.9,62078.15,1052033.93,57.7,0.01,16
2024-09-25,NOW,3.06,32175.8,1052033.93,57.7,0.01,16
2024-09-25,NVDA,4.88,51312.08,1052033.93,57.7,0.01,16
2024-09-25,PLTR,3.81,40072.16,1052033.93,57.7,0.01,16
2024-09-25,QCOM,3.91,41121.5,1052033.93,57.7,0.01,16
2024-09-25,SPY,46.62,490414.65,1052033.93,57.7,0.01,16
2024-09-25,TSLA,6.63,69782.83,1052033.93,57.7,0.01,16
2024-10-02,AAPL,2.94,30650.67,1041215.4,20102.39,1.93,14
2024-10-02,AMD,6.09,63454.4,1041215.4,20102.39,1.93,14
2024-10-02,AMZN,5.02,52247.1,1041215.4,20102.39,1.93,14
2024-10-02,AVGO,1.99,20697.13,1041215.4,20102.39,1.93,14
2024-10-02,CRM,2.08,21660.04,1041215.4,20102.39,1.93,14
2024-10-02,GOOGL,1.84,19168.05,1041215.4,20102.39,1.93,14
2024-10-02,META,2.18,22701.34,1041215.4,20102.39,1.93,14
2024-10-02,MSFT,5.76,59926.08,1041215.4,20102.39,1.93,14
2024-10-02,NOW,3.06,31828.03,1041215.4,20102.39,1.93,14
2024-10-02,NVDA,4.74,49376.11,1041215.4,20102.39,1.93,14
2024-10-02,PLTR,3.89,40471.59,1041215.4,20102.39,1.93,14
2024-10-02,QCOM,3.95,41133.71,1041215.4,20102.39,1.93,14
2024-10-02,SPY,47.0,489399.56,1041215.4,20102.39,1.93,14
2024-10-02,TSLA,7.53,78399.2,1041215.4,20102.39,1.93,14
2024-10-09,AAPL,2.91,31023.7,1067434.15,57.37,0.01,16
2024-10-09,AMD,7.4,79009.89,1067434.15,57.37,0.01,16
2024-10-09,AMZN,4.91,52363.04,1067434.15,57.37,0.01,16
2024-10-09,AVGO,2.11,22551.45,1067434.15,57.37,0.01,16
2024-10-09,CRM,2.09,22314.15,1067434.15,57.37,0.01,16
2024-10-09,CRWD,1.89,20173.69,1067434.15,57.37,0.01,16
2024-10-09,GOOGL,1.75,18705.79,1067434.15,57.37,0.01,16
2024-10-09,INTC,2.02,21515.79,1067434.15,57.37,0.01,16
