review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2024-07-31,1005306.49,60.55,1005245.94,11,0.01,SPY,79.52
2024-08-07,940164.25,26202.68,913961.57,10,2.79,SPY,80.07
2024-08-14,983735.15,59.8,983675.34,16,0.01,SPY,69.78
2024-08-21,1021451.29,79.84,1021371.45,15,0.01,SPY,65.39
2024-08-28,1004786.16,59.82,1004726.35,16,0.01,SPY,62.27
2024-09-04,986553.78,39281.94,947271.84,14,3.98,SPY,62.58
2024-09-11,1006013.89,59.34,1005954.56,16,0.01,SPY,57.88
2024-09-18,1018347.95,79.09,1018268.86,14,0.01,SPY,56.43
2024-09-25,1052033.93,57.7,1051976.23,16,0.01,SPY,46.62
2024-10-02,1041215.4,20102.39,1021113.01,14,1.93,SPY,47.0
2024-10-09,1067434.15,57.37,1067376.78,16,0.01,SPY,42.39
2024-10-16,1057190.56,10021.88,1047168.68,15,0.95,SPY,43.18
2024-10-23,1047954.33,67.17,1047887.16,16,0.01,SPY,42.15
2024-10-30,1072277.38,67.17,1072210.21,16,0.01,SPY,41.34
2024-11-06,1113212.03,67.17,1113144.86,16,0.01,SPY,40.58
2024-11-13,1139325.59,80.34,1139245.24,16,0.01,SPY,39.19
2024-11-20,1128056.34,77.39,1127978.94,16,0.01,SPY,36.15
2024-11-27,1129859.17,96.05,1129763.12,16,0.01,SPY,35.41
2024-12-04,1175501.19,76.43,1175424.77,16,0.01,SPY,33.53
2024-12-11,1200493.2,76.05,1200417.15,16,0.01,SPY,31.82
2024-12-18,1107095.76,77.79,1107017.97,15,0.01,SPY,31.9
2024-12-25,1162465.93,63.41,1162402.52,15,0.01,SPY,30.12
2025-01-01,1105432.16,63.41,1105368.75,15,0.01,SPY,30.87
