review_date,ticker,action,conviction,conviction_bucket,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct
2025-08-14,INTC,initiate,50.0,medium,23.86,6.08,0.59,55.99
2025-08-21,INTC,hold,0.0,low,23.5,3.62,5.4,62.13
2025-08-28,INTC,hold,0.0,low,24.93,-2.89,-0.12,58.6
2025-09-04,INTC,hold,0.0,low,24.61,-0.69,26.86,60.5
2025-09-11,INTC,hold,0.0,low,24.61,2.68,46.04,56.24
2025-09-18,INTC,hold,0.0,low,30.57,-4.02,22.44,13.54
2025-09-25,INTC,hold,0.0,low,33.99,-1.29,9.3,5.3
2025-10-02,INTC,hold,0.0,low,37.3,-0.35,-1.02,7.27
2025-10-09,INTC,hold,0.0,low,37.8,-5.74,9.37,6.61
2025-10-16,INTC,hold,0.0,low,36.84,3.47,4.18,1.82
2025-10-23,INTC,hold,0.0,low,38.16,8.83,-0.71,-4.69
2025-10-30,INTC,hold,0.0,low,40.16,-7.79,-12.57,-8.67
2025-11-06,INTC,hold,0.0,low,37.24,1.72,-1.15,-0.91
2025-11-13,INTC,hold,0.0,low,35.91,-4.4,21.86,
2025-11-20,INTC,hold,0.0,low,33.62,6.57,21.3,
2025-11-27,INTC,hold,0.0,low,36.81,18.09,-2.06,
2025-12-04,INTC,hold,0.0,low,40.5,0.0,-10.72,
2025-12-11,INTC,hold,0.0,low,39.51,-5.57,-6.61,
2025-12-18,INTC,hold,0.0,low,36.28,0.19,,
2025-12-25,INTC,hold,0.0,low,36.16,3.15,,
2026-01-01,INTC,hold,0.0,low,36.9,,,
