ticker,doc_count,claim_count,has_prices
AAPL,7,8,True
ABNB,5,5,True
AMD,8,8,True
AMZN,4,4,True
AVGO,9,9,True
BRK-B,5,5,True
CEG,7,7,True
COIN,6,6,True
CRM,8,8,True
CRWD,9,9,True
DDOG,7,7,True
DIS,6,6,True
ENPH,5,5,True
FSLR,5,5,True
GD,6,6,True
GOOGL,11,11,True
INTC,10,11,True
ISRG,5,5,True
LLY,10,10,True
LMT,9,9,True
MA,7,7,True
MDB,8,8,True
META,6,6,True
MRNA,7,7,True
MRVL,9,9,True
MSFT,7,7,True
MU,10,10,True
NET,6,6,True
NFLX,6,6,True
NOW,5,5,True
NVDA,7,7,True
PLTR,6,6,True
PYPL,7,7,True
QCOM,7,9,True
RBLX,7,7,True
RTX,8,8,True
SNOW,7,7,True
TSLA,7,7,True
UBER,7,7,True
V,7,7,True
VST,18,18,True
ZS,6,7,True
