ticker,action_count,initiate_count,exit_count,hold_count,avg_forward_5d_pct,avg_forward_20d_pct,avg_forward_60d_pct,doc_count,claim_count,price_coverage_pct
AAPL,0,0,0,0,,,,7,8,97.3
ABNB,0,0,0,0,,,,5,5,97.3
AMD,0,0,0,0,,,,8,8,97.3
AMZN,0,0,0,0,,,,4,4,97.3
AVGO,0,0,0,0,,,,9,9,97.3
BRK-B,0,0,0,0,,,,5,5,97.3
CEG,0,0,0,0,,,,7,7,97.3
COIN,0,0,0,0,,,,6,6,97.3
CRM,0,0,0,0,,,,8,8,97.3
CRWD,0,0,0,0,,,,9,9,97.3
DDOG,0,0,0,0,,,,7,7,97.3
DIS,0,0,0,0,,,,6,6,97.3
ENPH,0,0,0,0,,,,5,5,97.3
FSLR,0,0,0,0,,,,5,5,97.3
GD,0,0,0,0,,,,6,6,97.3
GOOGL,0,0,0,0,,,,11,11,97.3
GS,0,0,0,0,,,,0,0,97.3
INTC,0,0,0,0,,,,10,11,97.3
ISRG,0,0,0,0,,,,5,5,97.3
JPM,0,0,0,0,,,,0,0,97.3
LLY,0,0,0,0,,,,10,10,97.3
LMT,0,0,0,0,,,,9,9,97.3
MA,0,0,0,0,,,,7,7,97.3
MDB,0,0,0,0,,,,8,8,97.3
META,0,0,0,0,,,,6,6,97.3
MRNA,0,0,0,0,,,,7,7,97.3
MRVL,0,0,0,0,,,,9,9,97.3
MSFT,0,0,0,0,,,,7,7,97.3
MU,0,0,0,0,,,,10,10,97.3
NET,0,0,0,0,,,,6,6,97.3
NFLX,0,0,0,0,,,,6,6,97.3
NOW,0,0,0,0,,,,5,5,97.3
NVDA,0,0,0,0,,,,7,7,97.3
PLTR,0,0,0,0,,,,6,6,97.3
PYPL,0,0,0,0,,,,7,7,97.3
QCOM,0,0,0,0,,,,7,9,97.3
RBLX,0,0,0,0,,,,7,7,97.3
RTX,0,0,0,0,,,,8,8,97.3
SNOW,0,0,0,0,,,,7,7,97.3
SQ,0,0,0,0,,,,0,0,0.0
TSLA,0,0,0,0,,,,7,7,97.3
UBER,0,0,0,0,,,,7,7,97.3
V,0,0,0,0,,,,7,7,97.3
VST,0,0,0,0,,,,18,18,97.3
ZS,0,0,0,0,,,,6,7,97.3
