review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2024-07-31,999050.0,49050.0,950000.0,1,4.91,SPY,95.09
2024-08-07,943599.86,49050.0,894549.86,1,5.2,SPY,94.8
2024-08-14,986873.18,49050.0,937823.18,1,4.97,SPY,95.03
2024-08-21,1015969.52,49050.0,966919.52,1,4.83,SPY,95.17
2024-08-28,1011968.3,49050.0,962918.3,1,4.85,SPY,95.15
2024-09-04,999291.48,49050.0,950241.48,1,4.91,SPY,95.09
2024-09-11,1005276.19,49050.0,956226.19,1,4.88,SPY,95.12
2024-09-18,1017314.97,49050.0,968264.97,1,4.82,SPY,95.18
2024-09-25,1035232.02,49050.0,986182.02,1,4.74,SPY,95.26
2024-10-02,1033190.76,49050.0,984140.76,1,4.75,SPY,95.25
2024-10-09,1047515.44,49050.0,998465.44,1,4.68,SPY,95.32
2024-10-16,1056442.36,49050.0,1007392.36,1,4.64,SPY,95.36
2024-10-23,1048985.93,49050.0,999935.93,1,4.68,SPY,95.32
2024-10-30,1052480.48,49050.0,1003430.48,1,4.66,SPY,95.34
2024-11-06,1071562.62,49050.0,1022512.62,1,4.58,SPY,95.42
2024-11-13,1082202.39,49050.0,1033152.39,1,4.53,SPY,95.47
2024-11-20,1070628.48,49050.0,1021578.48,1,4.58,SPY,95.42
2024-11-27,1085039.4,49050.0,1035989.4,1,4.52,SPY,95.48
2024-12-04,1100315.61,49050.0,1051265.61,1,4.46,SPY,95.54
2024-12-11,1099969.64,49050.0,1050919.64,1,4.46,SPY,95.54
2024-12-18,1063327.83,49050.0,1014277.83,1,4.61,SPY,95.39
2024-12-25,1092813.7,49050.0,1043763.7,1,4.49,SPY,95.51
2025-01-01,1066394.21,49050.0,1017344.21,1,4.6,SPY,95.4
