ticker,action_count,initiate_count,exit_count,hold_count,avg_forward_5d_pct,avg_forward_20d_pct,avg_forward_60d_pct,doc_count,claim_count,price_coverage_pct
AAPL,21,1,0,20,0.7,2.21,5.18,7,8,97.3
AMD,19,2,2,15,0.56,-0.3,-5.94,8,8,97.3
AMZN,21,1,0,20,0.6,4.21,12.66,4,4,97.3
AVGO,2,1,1,0,-1.26,10.86,18.94,9,9,97.3
CRM,0,0,0,0,,,,8,8,97.3
CRWD,2,1,1,0,-0.26,15.94,24.96,9,9,97.3
GOOGL,23,1,0,22,0.04,2.47,6.75,11,11,97.3
INTC,10,2,0,1,-0.87,2.33,13.44,10,11,97.3
META,23,1,0,22,0.45,3.23,8.08,6,6,97.3
MSFT,23,1,0,22,-0.39,0.94,1.5,7,7,97.3
NOW,0,0,0,0,,,,5,5,97.3
NVDA,21,2,1,18,-0.2,4.57,11.26,7,7,97.3
PLTR,23,1,0,22,2.8,16.29,60.77,6,6,97.3
QCOM,17,2,1,14,0.13,-0.07,-5.16,7,9,97.3
TSLA,21,1,0,20,2.99,13.6,44.02,7,7,97.3
