review_date,ticker,weight_pct,market_value,portfolio_total,cash,cash_weight_pct,num_positions
2024-07-31,AMD,2.14,21487.29,1005306.52,60.55,0.01,11
2024-07-31,AVGO,2.14,21542.57,1005306.52,60.55,0.01,11
2024-07-31,CRWD,2.03,20386.06,1005306.52,60.55,0.01,11
2024-07-31,GOOGL,1.97,19798.22,1005306.52,60.55,0.01,11
2024-07-31,INTC,2.07,20856.36,1005306.52,60.55,0.01,11
2024-07-31,META,1.87,18800.31,1005306.52,60.55,0.01,11
2024-07-31,MSFT,1.97,19767.57,1005306.52,60.55,0.01,11
2024-07-31,NVDA,2.1,21121.61,1005306.52,60.55,0.01,11
2024-07-31,PLTR,2.02,20318.67,1005306.52,60.55,0.01,11
2024-07-31,QCOM,2.16,21747.72,1005306.52,60.55,0.01,11
2024-07-31,SPY,79.52,799419.59,1005306.52,60.55,0.01,11
2024-08-07,GOOGL,1.95,18344.0,940833.02,49946.61,5.31,6
2024-08-07,INTC,1.01,9531.05,940833.02,49946.61,5.31,6
2024-08-07,META,2.06,19358.19,940833.02,49946.61,5.31,6
2024-08-07,MSFT,2.0,18826.33,940833.02,49946.61,5.31,6
2024-08-07,PLTR,2.11,19887.96,940833.02,49946.61,5.31,6
2024-08-07,SPY,85.56,804938.88,940833.02,49946.61,5.31,6
2024-08-14,AAPL,2.01,19773.75,984108.01,69.78,0.01,9
2024-08-14,AMZN,1.95,19196.41,984108.01,69.78,0.01,9
2024-08-14,GOOGL,1.88,18509.03,984108.01,69.78,0.01,9
2024-08-14,INTC,1.0,9866.03,984108.01,69.78,0.01,9
2024-08-14,META,2.12,20856.42,984108.01,69.78,0.01,9
2024-08-14,MSFT,2.0,19697.17,984108.01,69.78,0.01,9
2024-08-14,PLTR,2.38,23424.27,984108.01,69.78,0.01,9
2024-08-14,SPY,84.73,833868.46,984108.01,69.78,0.01,9
2024-08-14,TSLA,1.92,18846.71,984108.01,69.78,0.01,9
2024-08-21,AAPL,1.99,20191.12,1016793.05,500.66,0.05,9
2024-08-21,AMZN,2.0,20326.08,1016793.05,500.66,0.05,9
2024-08-21,GOOGL,1.88,19141.51,1016793.05,500.66,0.05,9
2024-08-21,INTC,1.0,10144.58,1016793.05,500.66,0.05,9
2024-08-21,META,2.08,21189.0,1016793.05,500.66,0.05,9
2024-08-21,MSFT,1.97,20077.28,1016793.05,500.66,0.05,9
2024-08-21,PLTR,2.42,24587.93,1016793.05,500.66,0.05,9
2024-08-21,SPY,84.55,859739.55,1016793.05,500.66,0.05,9
2024-08-21,TSLA,2.06,20895.34,1016793.05,500.66,0.05,9
2024-08-28,AAPL,2.0,20199.15,1007776.13,59.65,0.01,11
2024-08-28,AMD,2.01,20273.51,1007776.13,59.65,0.01,11
2024-08-28,AMZN,1.91,19275.41,1007776.13,59.65,0.01,11
2024-08-28,GOOGL,1.87,18795.27,1007776.13,59.65,0.01,11
2024-08-28,INTC,0.85,8538.93,1007776.13,59.65,0.01,11
2024-08-28,META,2.03,20461.27,1007776.13,59.65,0.01,11
2024-08-28,MSFT,1.93,19436.34,1007776.13,59.65,0.01,11
2024-08-28,NVDA,2.14,21528.35,1007776.13,59.65,0.01,11
2024-08-28,PLTR,2.28,22940.67,1007776.13,59.65,0.01,11
2024-08-28,SPY,81.07,817011.88,1007776.13,59.65,0.01,11
2024-08-28,TSLA,1.91,19255.69,1007776.13,59.65,0.01,11
2024-09-04,AAPL,1.98,19696.15,993108.24,1528.1,0.15,11
2024-09-04,AMD,1.96,19513.05,993108.24,1528.1,0.15,11
2024-09-04,AMZN,1.97,19560.93,993108.24,1528.1,0.15,11
2024-09-04,GOOGL,1.82,18056.61,993108.24,1528.1,0.15,11
2024-09-04,INTC,0.7,6988.36,993108.24,1528.1,0.15,11
2024-09-04,META,2.04,20301.31,993108.24,1528.1,0.15,11
2024-09-04,MSFT,1.95,19355.87,993108.24,1528.1,0.15,11
2024-09-04,NVDA,1.83,18203.37,993108.24,1528.1,0.15,11
2024-09-04,PLTR,2.33,23114.47,993108.24,1528.1,0.15,11
2024-09-04,SPY,81.19,806255.92,993108.24,1528.1,0.15,11
2024-09-04,TSLA,2.07,20534.09,993108.24,1528.1,0.15,11
2024-09-11,AAPL,1.97,19857.58,1006799.14,4556.13,0.45,11
2024-09-11,AMD,2.06,20758.33,1006799.14,4556.13,0.45,11
2024-09-11,AMZN,2.07,20823.76,1006799.14,4556.13,0.45,11
2024-09-11,GOOGL,1.74,17469.21,1006799.14,4556.13,0.45,11
2024-09-11,INTC,0.4,3989.0,1006799.14,4556.13,0.45,11
2024-09-11,META,2.01,20265.28,1006799.14,4556.13,0.45,11
2024-09-11,MSFT,1.99,20025.21,1006799.14,4556.13,0.45,11
2024-09-11,NVDA,1.99,20037.25,1006799.14,4556.13,0.45,11
2024-09-11,PLTR,2.62,26333.41,1006799.14,4556.13,0.45,11
2024-09-11,SPY,80.59,811333.8,1006799.14,4556.13,0.45,11
