review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2024-07-31,1005306.52,60.55,1005245.97,11,0.01,SPY,79.52
2024-08-07,940833.02,49946.61,890886.41,6,5.31,SPY,85.56
2024-08-14,984108.01,69.78,984038.23,9,0.01,SPY,84.73
2024-08-21,1016793.05,500.66,1016292.39,9,0.05,SPY,84.55
2024-08-28,1007776.13,59.65,1007716.48,11,0.01,SPY,81.07
2024-09-04,993108.24,1528.1,991580.13,11,0.15,SPY,81.19
2024-09-11,1006799.14,4556.13,1002243.01,11,0.45,SPY,80.59
2024-09-18,1020022.48,8845.49,1011176.99,10,0.87,SPY,80.54
2024-09-25,1044350.12,66.79,1044283.32,11,0.01,SPY,78.96
2024-10-02,1040205.25,66.79,1040138.46,11,0.01,SPY,79.11
2024-10-09,1060398.66,66.79,1060331.87,11,0.01,SPY,78.73
2024-10-16,1063895.03,66.79,1063828.24,11,0.01,SPY,79.17
2024-10-23,1056330.17,66.79,1056263.38,11,0.01,SPY,79.15
2024-10-30,1067366.56,66.79,1067299.77,11,0.01,SPY,78.6
2024-11-06,1096241.57,66.79,1096174.78,11,0.01,SPY,77.99
2024-11-13,1112584.3,66.79,1112517.51,11,0.01,SPY,77.64
2024-11-20,1101747.27,66.79,1101680.47,11,0.01,SPY,77.53
2024-11-27,1114786.02,66.79,1114719.23,11,0.01,SPY,77.7
2024-12-04,1141538.13,66.79,1141471.34,11,0.01,SPY,77.0
2024-12-11,1151704.95,66.79,1151638.16,11,0.01,SPY,76.3
2024-12-18,1113854.07,16517.36,1097336.71,10,1.48,SPY,76.14
2024-12-25,1154701.24,70.29,1154630.96,11,0.01,SPY,75.0
2025-01-01,1115796.79,70.29,1115726.51,11,0.01,SPY,75.65
