review_date,ticker,weight_pct,market_value,portfolio_total,cash,cash_weight_pct,num_positions
2024-07-31,AMD,2.14,21487.28,1003850.6,70.06,0.01,4
2024-07-31,AVGO,2.15,21542.58,1003850.6,70.06,0.01,4
2024-07-31,NVDA,2.1,21121.61,1003850.6,70.06,0.01,4
2024-07-31,SPY,93.6,939629.07,1003850.6,70.06,0.01,4
2024-08-07,INTC,1.9,17868.39,940849.97,873.95,0.09,4
2024-08-07,MSFT,2.03,19075.45,940849.97,873.95,0.09,4
2024-08-07,QCOM,1.94,18248.08,940849.97,873.95,0.09,4
2024-08-07,SPY,94.04,884784.09,940849.97,873.95,0.09,4
2024-08-14,AMZN,1.95,19237.34,987068.06,60.09,0.01,5
2024-08-14,CRWD,2.0,19754.8,987068.06,60.09,0.01,5
2024-08-14,GOOGL,2.02,19969.03,987068.06,60.09,0.01,5
2024-08-14,MSFT,2.02,19957.82,987068.06,60.09,0.01,5
2024-08-14,SPY,92.0,908088.98,987068.06,60.09,0.01,5
2024-08-21,AMZN,2.0,20369.42,1019489.91,457.83,0.04,5
2024-08-21,GOOGL,2.03,20651.38,1019489.91,457.83,0.04,5
2024-08-21,MSFT,2.0,20342.97,1019489.91,457.83,0.04,5
2024-08-21,SPY,91.84,936262.63,1019489.91,457.83,0.04,5
2024-08-21,TSLA,2.1,21405.68,1019489.91,457.83,0.04,5
2024-08-28,AMD,2.01,20362.86,1013407.1,59.48,0.01,8
2024-08-28,AMZN,1.91,19316.51,1013407.1,59.48,0.01,8
2024-08-28,AVGO,2.01,20402.24,1013407.1,59.48,0.01,8
2024-08-28,GOOGL,2.0,20277.82,1013407.1,59.48,0.01,8
2024-08-28,MSFT,1.94,19693.55,1013407.1,59.48,0.01,8
2024-08-28,NVDA,2.13,21623.24,1013407.1,59.48,0.01,8
2024-08-28,SPY,86.04,871945.41,1013407.1,59.48,0.01,8
2024-08-28,TSLA,1.95,19725.97,1013407.1,59.48,0.01,8
2024-09-04,AMD,1.96,19599.05,997719.19,60.07,0.01,11
2024-09-04,AMZN,1.96,19602.64,997719.19,60.07,0.01,11
2024-09-04,AVGO,1.99,19878.57,997719.19,60.07,0.01,11
2024-09-04,GOOGL,1.95,19480.9,997719.19,60.07,0.01,11
2024-09-04,INTC,2.0,19977.09,997719.19,60.07,0.01,11
2024-09-04,META,1.98,19786.46,997719.19,60.07,0.01,11
