review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2024-07-31,1003850.6,70.06,1003780.54,4,0.01,SPY,93.6
2024-08-07,940849.97,873.95,939976.02,4,0.09,SPY,94.04
2024-08-14,987068.06,60.09,987007.97,5,0.01,SPY,92.0
2024-08-21,1019489.91,457.83,1019032.08,5,0.04,SPY,91.84
2024-08-28,1013407.1,59.48,1013347.62,8,0.01,SPY,86.04
2024-09-04,997719.19,60.07,997659.12,11,0.01,SPY,80.22
2024-09-11,1008447.8,40028.19,968419.61,9,3.97,SPY,79.87
2024-09-18,1019277.25,77.45,1019199.8,11,0.01,SPY,79.84
2024-09-25,1046420.55,21183.32,1025237.23,10,2.02,SPY,79.21
2024-10-02,1041258.93,357.44,1040901.5,11,0.03,SPY,79.44
2024-10-09,1059185.23,357.44,1058827.79,11,0.03,SPY,79.23
2024-10-16,1062444.08,357.44,1062086.65,11,0.03,SPY,79.7
2024-10-23,1053888.91,357.44,1053531.48,11,0.03,SPY,79.75
2024-10-30,1064697.7,357.44,1064340.26,11,0.03,SPY,79.21
2024-11-06,1085190.09,357.44,1084832.65,11,0.03,SPY,79.2
2024-11-13,1096994.76,357.44,1096637.32,11,0.03,SPY,79.16
2024-11-20,1083698.72,357.44,1083341.28,11,0.03,SPY,79.23
2024-11-27,1093292.88,357.44,1092935.44,11,0.03,SPY,79.65
2024-12-04,1118759.61,357.44,1118402.18,11,0.03,SPY,78.98
2024-12-11,1128877.21,357.44,1128519.78,11,0.03,SPY,78.25
2024-12-18,1096824.91,16880.51,1079944.41,10,1.54,SPY,77.73
2024-12-25,1131902.28,71.52,1131830.76,11,0.01,SPY,76.99
2025-01-01,1096737.45,71.52,1096665.93,11,0.01,SPY,77.45
