review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,prior_weight,new_weight,weight_change,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct
2024-07-31,NVDA,initiate,50.0,50.0,medium,0.0,2.1,2.1,116.96,-14.16,8.74,3.75
2024-07-31,AMD,initiate,50.0,50.0,medium,0.0,2.14,2.14,144.48,-6.69,8.25,13.75
2024-07-31,AVGO,initiate,50.0,50.0,medium,0.0,2.14,2.14,158.29,-11.58,3.28,7.83
2024-07-31,QCOM,initiate,50.0,50.0,medium,0.0,2.16,2.16,174.04,-12.71,-4.89,-5.49
2024-07-31,INTC,initiate,50.0,50.0,medium,0.0,2.07,2.07,30.55,-34.58,-31.28,-21.73
2024-08-07,NVDA,exit,50.0,86.0,medium,2.1,0.0,-2.1,98.86,10.22,29.71,26.31
2024-08-07,AVGO,exit,50.0,86.0,medium,2.14,0.0,-2.14,134.25,9.06,18.43,30.05
2024-08-07,AMD,exit,50.0,86.0,medium,2.14,0.0,-2.14,128.67,6.3,16.97,32.82
2024-08-07,QCOM,exit,50.0,86.0,medium,2.16,0.0,-2.16,150.16,4.34,11.41,8.75
2024-08-07,INTC,trim,48.0,75.0,medium,2.07,1.02,-1.06,18.99,1.95,5.69,18.96
2024-08-07,MSFT,initiate,50.0,50.0,medium,0.0,2.03,2.03,393.11,2.1,4.05,4.61
2024-08-07,GOOGL,initiate,50.0,50.0,medium,0.0,2.01,2.01,157.82,2.11,3.61,5.25
2024-08-07,AMZN,initiate,50.0,50.0,medium,0.0,2.01,2.01,162.77,2.48,6.36,14.58
2024-08-07,META,initiate,50.0,50.0,medium,0.0,1.96,1.96,486.53,5.53,6.17,22.01
2024-08-07,CRM,initiate,50.0,50.0,medium,0.0,1.97,1.97,237.84,4.7,10.07,20.06
2024-08-14,INTC,trim,50.0,75.0,medium,1.02,1.0,-0.01,19.92,8.03,0.9,18.27
2024-08-14,CRWD,initiate,50.0,50.0,medium,0.0,2.0,2.0,256.22,4.12,4.05,24.97
2024-08-14,AAPL,initiate,50.0,50.0,medium,0.0,2.01,2.01,220.27,1.88,0.47,2.63
2024-08-14,TSLA,initiate,50.0,50.0,medium,0.0,1.92,1.92,201.38,10.6,4.58,8.15
2024-08-14,META,hold,50.0,0.0,medium,1.96,1.96,0.0,524.18,0.48,-2.85,12.1
2024-08-14,GOOGL,hold,50.0,0.0,medium,2.01,2.01,0.0,159.24,3.93,-1.88,1.92
2024-08-14,MSFT,hold,50.0,0.0,medium,2.03,2.03,0.0,411.3,1.3,-1.6,0.05
2024-08-14,CRM,hold,50.0,0.0,medium,1.97,1.97,0.0,252.98,3.94,-2.84,13.02
2024-08-14,AMZN,hold,50.0,0.0,medium,2.01,2.01,0.0,170.1,4.77,3.62,11.01
2024-08-21,CRWD,exit,50.0,86.0,medium,2.0,0.0,-2.0,273.21,-2.69,-9.32,13.52
2024-08-21,INTC,trim,50.0,75.0,medium,1.0,1.0,-0.0,21.41,-5.98,-11.35,6.35
2024-08-21,TSLA,hold,50.0,0.0,medium,1.92,1.92,0.0,223.27,-4.51,1.3,-1.15
2024-08-21,META,hold,50.0,0.0,medium,2.02,2.02,0.0,532.54,-2.62,-5.67,7.82
2024-08-21,GOOGL,hold,50.0,0.0,medium,1.94,1.94,0.0,164.68,0.19,-10.25,-1.33
