ticker,action_count,initiate_count,exit_count,hold_count,avg_forward_5d_pct,avg_forward_20d_pct,avg_forward_60d_pct,doc_count,claim_count,price_coverage_pct
AAPL,21,1,0,20,0.7,2.21,5.18,7,8,97.3
AMD,19,2,2,15,0.56,-0.3,-5.94,8,8,97.3
AMZN,22,1,0,21,0.69,4.32,12.8,4,4,97.3
AVGO,2,1,1,0,-1.26,10.86,18.94,9,9,97.3
CRM,22,1,0,21,1.29,4.6,19.27,8,8,97.3
CRWD,2,1,1,0,0.72,-2.64,19.25,9,9,97.3
GOOGL,22,1,0,21,0.39,2.74,7.54,11,11,97.3
INTC,10,2,0,1,-0.87,2.33,13.44,10,11,97.3
META,22,1,0,21,0.47,2.83,7.25,6,6,97.3
MSFT,22,1,0,21,-0.15,0.9,1.43,7,7,97.3
NOW,0,0,0,0,,,,5,5,97.3
NVDA,21,2,1,18,-0.2,4.57,11.26,7,7,97.3
PLTR,0,0,0,0,,,,6,6,97.3
QCOM,17,2,1,14,0.13,-0.07,-5.16,7,9,97.3
TSLA,21,1,0,20,2.99,13.6,44.02,7,7,97.3
