review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2024-07-31,1006388.18,60.54,1006327.64,6,0.01,SPY,89.39
2024-08-07,936670.75,67.01,936603.74,7,0.01,SPY,88.99
2024-08-14,981066.87,59.98,981006.89,10,0.01,SPY,83.07
2024-08-21,1013325.55,20993.06,992332.49,9,2.07,SPY,82.92
2024-08-28,1005885.02,61.34,1005823.67,11,0.01,SPY,81.35
2024-09-04,990167.21,1534.31,988632.9,11,0.15,SPY,81.55
2024-09-11,1000805.94,4541.7,996264.24,11,0.45,SPY,81.19
2024-09-18,1013122.86,8812.12,1004310.74,10,0.87,SPY,81.21
2024-09-25,1038533.42,66.99,1038466.43,11,0.01,SPY,79.53
2024-10-02,1034502.8,66.99,1034435.81,11,0.01,SPY,79.67
2024-10-09,1051049.71,66.99,1050982.72,11,0.01,SPY,79.56
2024-10-16,1055740.2,66.99,1055673.22,11,0.01,SPY,79.91
2024-10-23,1047190.83,66.99,1047123.84,11,0.01,SPY,79.97
2024-10-30,1058320.26,66.99,1058253.27,11,0.01,SPY,79.4
2024-11-06,1079154.35,66.99,1079087.36,11,0.01,SPY,79.35
2024-11-13,1094302.99,66.99,1094236.0,11,0.01,SPY,79.07
2024-11-20,1081126.69,66.99,1081059.7,11,0.01,SPY,79.14
2024-11-27,1091536.23,66.99,1091469.25,11,0.01,SPY,79.49
2024-12-04,1118307.44,66.99,1118240.45,11,0.01,SPY,78.73
2024-12-11,1125517.08,66.99,1125450.09,11,0.01,SPY,78.2
2024-12-18,1087066.84,16476.4,1070590.44,10,1.52,SPY,78.14
2024-12-25,1120309.53,71.62,1120237.9,11,0.01,SPY,77.49
2025-01-01,1085696.6,71.62,1085624.98,11,0.01,SPY,77.94
