review_date,ticker,weight_pct,market_value,portfolio_total,cash,cash_weight_pct,num_positions
2024-07-31,AMD,2.14,21487.71,1003850.61,70.06,0.01,4
2024-07-31,AVGO,2.15,21542.58,1003850.61,70.06,0.01,4
2024-07-31,NVDA,2.1,21121.18,1003850.61,70.06,0.01,4
2024-07-31,SPY,93.6,939629.07,1003850.61,70.06,0.01,4
2024-08-07,INTC,1.9,17868.4,940850.03,873.99,0.09,4
2024-08-07,MSFT,2.03,19075.46,940850.03,873.99,0.09,4
2024-08-07,QCOM,1.94,18248.1,940850.03,873.99,0.09,4
2024-08-07,SPY,94.04,884784.09,940850.03,873.99,0.09,4
2024-08-14,AMZN,1.95,19237.34,987068.09,60.09,0.01,5
2024-08-14,CRWD,2.0,19754.8,987068.09,60.09,0.01,5
2024-08-14,GOOGL,2.02,19969.01,987068.09,60.09,0.01,5
2024-08-14,MSFT,2.02,19957.83,987068.09,60.09,0.01,5
2024-08-14,SPY,92.0,908089.03,987068.09,60.09,0.01,5
2024-08-21,AMZN,2.0,20369.42,1019490.13,457.83,0.04,5
2024-08-21,GOOGL,2.03,20651.38,1019490.13,457.83,0.04,5
2024-08-21,MSFT,2.0,20342.97,1019490.13,457.83,0.04,5
2024-08-21,SPY,91.84,936262.85,1019490.13,457.83,0.04,5
2024-08-21,TSLA,2.1,21405.68,1019490.13,457.83,0.04,5
2024-08-28,AMD,2.01,20362.86,1013407.28,59.48,0.01,8
2024-08-28,AMZN,1.91,19316.51,1013407.28,59.48,0.01,8
2024-08-28,AVGO,2.01,20402.23,1013407.28,59.48,0.01,8
2024-08-28,GOOGL,2.0,20277.83,1013407.28,59.48,0.01,8
2024-08-28,MSFT,1.94,19693.55,1013407.28,59.48,0.01,8
2024-08-28,NVDA,2.13,21623.24,1013407.28,59.48,0.01,8
2024-08-28,SPY,86.04,871945.61,1013407.28,59.48,0.01,8
2024-08-28,TSLA,1.95,19725.98,1013407.28,59.48,0.01,8
2024-09-04,AMD,1.96,19599.04,997719.2,60.07,0.01,11
2024-09-04,AMZN,1.96,19602.64,997719.2,60.07,0.01,11
2024-09-04,AVGO,1.99,19878.56,997719.2,60.07,0.01,11
2024-09-04,GOOGL,1.95,19480.9,997719.2,60.07,0.01,11
2024-09-04,INTC,2.0,19977.09,997719.2,60.07,0.01,11
2024-09-04,META,1.98,19786.46,997719.2,60.07,0.01,11
2024-09-04,MSFT,1.97,19612.02,997719.2,60.07,0.01,11
2024-09-04,NVDA,1.83,18283.6,997719.2,60.07,0.01,11
2024-09-04,QCOM,2.01,20042.08,997719.2,60.07,0.01,11
2024-09-04,SPY,80.22,800361.13,997719.2,60.07,0.01,11
2024-09-04,TSLA,2.11,21035.61,997719.2,60.07,0.01,11
2024-09-11,AMD,2.07,20849.81,1008447.8,40028.19,3.97,9
2024-09-11,AMZN,2.07,20868.16,1008447.8,40028.19,3.97,9
2024-09-11,AVGO,2.02,20413.84,1008447.8,40028.19,3.97,9
2024-09-11,GOOGL,1.87,18847.17,1008447.8,40028.19,3.97,9
2024-09-11,META,1.96,19751.34,1008447.8,40028.19,3.97,9
2024-09-11,MSFT,2.01,20290.21,1008447.8,40028.19,3.97,9
2024-09-11,NVDA,2.0,20125.57,1008447.8,40028.19,3.97,9
2024-09-11,SPY,79.87,805401.88,1008447.8,40028.19,3.97,9
2024-09-11,TSLA,2.17,21871.62,1008447.8,40028.19,3.97,9
2024-09-18,AAPL,1.97,20074.76,1019277.4,77.45,0.01,11
2024-09-18,AMD,2.02,20631.38,1019277.4,77.45,0.01,11
2024-09-18,AMZN,2.07,21084.17,1019277.4,77.45,0.01,11
2024-09-18,AVGO,2.05,20852.37,1019277.4,77.45,0.01,11
2024-09-18,CRWD,1.97,20049.18,1019277.4,77.45,0.01,11
2024-09-18,GOOGL,1.95,19925.7,1019277.4,77.45,0.01,11
2024-09-18,META,2.04,20779.11,1019277.4,77.45,0.01,11
2024-09-18,MSFT,2.03,20662.88,1019277.4,77.45,0.01,11
2024-09-18,NVDA,1.91,19517.85,1019277.4,77.45,0.01,11
2024-09-18,SPY,79.84,813840.09,1019277.4,77.45,0.01,11
2024-09-18,TSLA,2.14,21782.46,1019277.4,77.45,0.01,11
2024-09-25,AAPL,1.97,20591.43,1046420.55,21183.32,2.02,10
2024-09-25,AMD,2.15,22541.61,1046420.55,21183.32,2.02,10
2024-09-25,AMZN,2.08,21774.05,1046420.55,21183.32,2.02,10
2024-09-25,AVGO,2.17,22713.22,1046420.55,21183.32,2.02,10
2024-09-25,GOOGL,1.92,20135.16,1046420.55,21183.32,2.02,10
2024-09-25,META,2.1,21951.8,1046420.55,21183.32,2.02,10
2024-09-25,MSFT,1.98,20725.23,1046420.55,21183.32,2.02,10
2024-09-25,NVDA,2.03,21263.54,1046420.55,21183.32,2.02,10
2024-09-25,SPY,79.21,828899.77,1046420.55,21183.32,2.02,10
2024-09-25,TSLA,2.35,24641.41,1046420.55,21183.32,2.02,10
2024-10-02,AAPL,1.98,20628.73,1041258.93,357.44,0.03,11
2024-10-02,AMD,2.13,22229.97,1041258.93,357.44,0.03,11
2024-10-02,AMZN,2.01,20895.31,1041258.93,357.44,0.03,11
2024-10-02,AVGO,2.12,22084.31,1041258.93,357.44,0.03,11
2024-10-02,GOOGL,1.99,20680.02,1041258.93,357.44,0.03,11
2024-10-02,META,2.12,22125.62,1041258.93,357.44,0.03,11
2024-10-02,MSFT,1.92,20006.75,1041258.93,357.44,0.03,11
2024-10-02,NVDA,1.97,20461.28,1041258.93,357.44,0.03,11
2024-10-02,QCOM,1.99,20731.17,1041258.93,357.44,0.03,11
2024-10-02,SPY,79.44,827183.91,1041258.93,357.44,0.03,11
2024-10-02,TSLA,2.29,23874.42,1041258.93,357.44,0.03,11
2024-10-09,AAPL,1.97,20879.79,1059185.38,357.44,0.03,11
2024-10-09,AMD,2.25,23793.77,1059185.38,357.44,0.03,11
2024-10-09,AMZN,1.98,20941.67,1059185.38,357.44,0.03,11
2024-10-09,AVGO,2.27,24062.92,1059185.38,357.44,0.03,11
2024-10-09,GOOGL,1.91,20181.29,1059185.38,357.44,0.03,11
2024-10-09,META,2.15,22809.31,1059185.38,357.44,0.03,11
2024-10-09,MSFT,1.89,20022.58,1059185.38,357.44,0.03,11
2024-10-09,NVDA,2.16,22837.09,1059185.38,357.44,0.03,11
2024-10-09,QCOM,1.98,20965.2,1059185.38,357.44,0.03,11
2024-10-09,SPY,79.23,839224.01,1059185.38,357.44,0.03,11
2024-10-09,TSLA,2.18,23110.31,1059185.38,357.44,0.03,11
2024-10-16,AAPL,1.98,21083.55,1062444.1,357.44,0.03,11
2024-10-16,AMD,2.04,21722.15,1062444.1,357.44,0.03,11
2024-10-16,AMZN,1.99,21136.2,1062444.1,357.44,0.03,11
2024-10-16,AVGO,2.15,22881.44,1062444.1,357.44,0.03,11
2024-10-16,GOOGL,1.94,20592.76,1062444.1,357.44,0.03,11
2024-10-16,META,2.1,22279.35,1062444.1,357.44,0.03,11
2024-10-16,MSFT,1.88,19958.31,1062444.1,357.44,0.03,11
2024-10-16,NVDA,2.2,23365.63,1062444.1,357.44,0.03,11
2024-10-16,QCOM,1.99,21120.39,1062444.1,357.44,0.03,11
2024-10-16,SPY,79.7,846727.21,1062444.1,357.44,0.03,11
2024-10-16,TSLA,2.0,21219.68,1062444.1,357.44,0.03,11
2024-10-23,AAPL,1.99,20990.76,1053888.91,357.44,0.03,11
2024-10-23,AMD,2.02,21274.15,1053888.91,357.44,0.03,11
2024-10-23,AMZN,1.98,20889.65,1053888.91,357.44,0.03,11
2024-10-23,AVGO,2.13,22453.11,1053888.91,357.44,0.03,11
2024-10-23,GOOGL,1.93,20296.0,1053888.91,357.44,0.03,11
2024-10-23,META,2.07,21773.35,1053888.91,357.44,0.03,11
2024-10-23,MSFT,1.93,20365.04,1053888.91,357.44,0.03,11
2024-10-23,NVDA,2.28,24026.73,1053888.91,357.44,0.03,11
2024-10-23,QCOM,1.95,20519.33,1053888.91,357.44,0.03,11
2024-10-23,SPY,79.75,840459.98,1053888.91,357.44,0.03,11
2024-10-23,TSLA,1.94,20483.38,1053888.91,357.44,0.03,11
2024-10-30,AAPL,1.97,20930.73,1064697.55,357.44,0.03,11
2024-10-30,AMD,1.94,20674.51,1064697.55,357.44,0.03,11
2024-10-30,AMZN,2.05,21796.67,1064697.55,357.44,0.03,11
2024-10-30,AVGO,2.15,22858.15,1064697.55,357.44,0.03,11
2024-10-30,GOOGL,2.04,21752.31,1064697.55,357.44,0.03,11
2024-10-30,META,2.15,22859.14,1064697.55,357.44,0.03,11
2024-10-30,MSFT,1.95,20745.38,1064697.55,357.44,0.03,11
2024-10-30,NVDA,2.25,23988.86,1064697.55,357.44,0.03,11
2024-10-30,QCOM,1.94,20644.95,1064697.55,357.44,0.03,11
2024-10-30,SPY,79.21,843397.2,1064697.55,357.44,0.03,11
2024-10-30,TSLA,2.32,24692.22,1064697.55,357.44,0.03,11
2024-11-06,AAPL,1.87,20259.41,1085190.1,357.44,0.03,11
2024-11-06,AMD,1.86,20187.56,1085190.1,357.44,0.03,11
2024-11-06,AMZN,2.16,23420.7,1085190.1,357.44,0.03,11
2024-11-06,AVGO,2.14,23234.73,1085190.1,357.44,0.03,11
2024-11-06,GOOGL,2.03,22007.91,1085190.1,357.44,0.03,11
2024-11-06,META,2.04,22096.27,1085190.1,357.44,0.03,11
2024-11-06,MSFT,1.86,20153.04,1085190.1,357.44,0.03,11
2024-11-06,NVDA,2.31,25068.3,1085190.1,357.44,0.03,11
2024-11-06,QCOM,1.96,21306.36,1085190.1,357.44,0.03,11
2024-11-06,SPY,79.2,859436.0,1085190.1,357.44,0.03,11
2024-11-06,TSLA,2.55,27662.39,1085190.1,357.44,0.03,11
2024-11-13,AAPL,1.87,20500.26,1096994.63,357.44,0.03,11
2024-11-13,AMD,1.77,19380.61,1096994.63,357.44,0.03,11
2024-11-13,AMZN,2.21,24213.49,1096994.63,357.44,0.03,11
2024-11-13,AVGO,2.05,22462.17,1096994.63,357.44,0.03,11
2024-11-13,GOOGL,2.03,22303.41,1096994.63,357.44,0.03,11
2024-11-13,META,2.04,22403.35,1096994.63,357.44,0.03,11
2024-11-13,MSFT,1.86,20393.81,1096994.63,357.44,0.03,11
2024-11-13,NVDA,2.3,25181.92,1096994.63,357.44,0.03,11
2024-11-13,QCOM,1.8,19758.18,1096994.63,357.44,0.03,11
2024-11-13,SPY,79.16,868378.72,1096994.63,357.44,0.03,11
2024-11-13,TSLA,2.89,31661.27,1096994.63,357.44,0.03,11
2024-11-20,AAPL,1.92,20853.58,1083698.73,357.44,0.03,11
2024-11-20,AMD,1.77,19144.09,1083698.73,357.44,0.03,11
2024-11-20,AMZN,2.12,22944.57,1083698.73,357.44,0.03,11
2024-11-20,AVGO,1.95,21125.42,1083698.73,357.44,0.03,11
2024-11-20,GOOGL,2.02,21941.82,1083698.73,357.44,0.03,11
2024-11-20,META,2.02,21844.04,1083698.73,357.44,0.03,11
2024-11-20,MSFT,1.84,19928.09,1083698.73,357.44,0.03,11
2024-11-20,NVDA,2.32,25116.51,1083698.73,357.44,0.03,11
2024-11-20,QCOM,1.75,19000.71,1083698.73,357.44,0.03,11
2024-11-20,SPY,79.23,858650.84,1083698.73,357.44,0.03,11
2024-11-20,TSLA,3.03,32791.62,1083698.73,357.44,0.03,11
2024-11-27,AAPL,1.96,21393.59,1093293.04,357.44,0.03,11
2024-11-27,AMD,1.73,18954.88,1093293.04,357.44,0.03,11
2024-11-27,AMZN,2.13,23268.02,1093293.04,357.44,0.03,11
2024-11-27,AVGO,1.89,20662.14,1093293.04,357.44,0.03,11
2024-11-27,GOOGL,1.93,21100.21,1093293.04,357.44,0.03,11
2024-11-27,META,2.01,21986.18,1093293.04,357.44,0.03,11
2024-11-27,MSFT,1.86,20328.42,1093293.04,357.44,0.03,11
2024-11-27,NVDA,2.13,23300.2,1093293.04,357.44,0.03,11
2024-11-27,QCOM,1.76,19263.05,1093293.04,357.44,0.03,11
2024-11-27,SPY,79.65,870763.56,1093293.04,357.44,0.03,11
2024-11-27,TSLA,2.92,31915.33,1093293.04,357.44,0.03,11
2024-12-04,AAPL,1.98,22129.39,1118759.62,357.44,0.03,11
2024-12-04,AMD,1.79,20033.13,1118759.62,357.44,0.03,11
2024-12-04,AMZN,2.21,24672.66,1118759.62,357.44,0.03,11
2024-12-04,AVGO,1.97,22071.37,1118759.62,357.44,0.03,11
2024-12-04,GOOGL,1.94,21741.09,1118759.62,357.44,0.03,11
2024-12-04,META,2.12,23708.15,1118759.62,357.44,0.03,11
2024-12-04,MSFT,1.88,21021.91,1118759.62,357.44,0.03,11
2024-12-04,NVDA,2.23,24987.39,1118759.62,357.44,0.03,11
2024-12-04,QCOM,1.8,20117.81,1118759.62,357.44,0.03,11
2024-12-04,SPY,78.98,883603.29,1118759.62,357.44,0.03,11
2024-12-04,TSLA,3.07,34316.01,1118759.62,357.44,0.03,11
2024-12-11,AAPL,1.99,22446.29,1128877.22,357.44,0.03,11
2024-12-11,AMD,1.6,18107.59,1128877.22,357.44,0.03,11
2024-12-11,AMZN,2.31,26041.1,1128877.22,357.44,0.03,11
2024-12-11,AVGO,2.1,23707.05,1128877.22,357.44,0.03,11
