review_date,ticker,weight_pct,market_value,portfolio_total,cash,cash_weight_pct,num_positions
2024-07-31,AMD,2.14,21487.72,1003850.6,70.06,0.01,4
2024-07-31,AVGO,2.15,21542.57,1003850.6,70.06,0.01,4
2024-07-31,NVDA,2.1,21121.19,1003850.6,70.06,0.01,4
2024-07-31,SPY,93.6,939629.06,1003850.6,70.06,0.01,4
2024-08-07,INTC,1.9,17868.4,940850.34,873.97,0.09,4
2024-08-07,MSFT,2.03,19075.46,940850.34,873.97,0.09,4
2024-08-07,QCOM,1.94,18248.1,940850.34,873.97,0.09,4
2024-08-07,SPY,94.04,884784.42,940850.34,873.97,0.09,4
2024-08-14,AMZN,1.95,19237.35,987068.25,60.09,0.01,5
2024-08-14,CRWD,2.0,19754.8,987068.25,60.09,0.01,5
2024-08-14,GOOGL,2.02,19969.03,987068.25,60.09,0.01,5
2024-08-14,MSFT,2.02,19957.83,987068.25,60.09,0.01,5
2024-08-14,SPY,92.0,908089.15,987068.25,60.09,0.01,5
2024-08-21,AMZN,2.0,20369.42,1019490.45,457.83,0.04,5
2024-08-21,GOOGL,2.03,20651.39,1019490.45,457.83,0.04,5
2024-08-21,MSFT,2.0,20342.97,1019490.45,457.83,0.04,5
2024-08-21,SPY,91.84,936263.15,1019490.45,457.83,0.04,5
2024-08-21,TSLA,2.1,21405.68,1019490.45,457.83,0.04,5
2024-08-28,AMD,2.01,20362.87,1013407.45,59.48,0.01,8
2024-08-28,AMZN,1.91,19316.51,1013407.45,59.48,0.01,8
2024-08-28,AVGO,2.01,20402.24,1013407.45,59.48,0.01,8
2024-08-28,GOOGL,2.0,20277.84,1013407.45,59.48,0.01,8
2024-08-28,MSFT,1.94,19693.56,1013407.45,59.48,0.01,8
2024-08-28,NVDA,2.13,21623.25,1013407.45,59.48,0.01,8
2024-08-28,SPY,86.04,871945.74,1013407.45,59.48,0.01,8
2024-08-28,TSLA,1.95,19725.98,1013407.45,59.48,0.01,8
2024-09-04,AMD,1.96,19599.05,997719.36,60.07,0.01,11
2024-09-04,AMZN,1.96,19602.64,997719.36,60.07,0.01,11
2024-09-04,AVGO,1.99,19878.56,997719.36,60.07,0.01,11
2024-09-04,GOOGL,1.95,19480.91,997719.36,60.07,0.01,11
2024-09-04,INTC,2.0,19977.09,997719.36,60.07,0.01,11
2024-09-04,META,1.98,19786.46,997719.36,60.07,0.01,11
2024-09-04,MSFT,1.97,19612.02,997719.36,60.07,0.01,11
2024-09-04,NVDA,1.83,18283.61,997719.36,60.07,0.01,11
2024-09-04,QCOM,2.01,20042.09,997719.36,60.07,0.01,11
2024-09-04,SPY,80.22,800361.25,997719.36,60.07,0.01,11
2024-09-04,TSLA,2.11,21035.61,997719.36,60.07,0.01,11
2024-09-11,AMD,2.07,20849.82,1008447.97,40028.19,3.97,9
2024-09-11,AMZN,2.07,20868.17,1008447.97,40028.19,3.97,9
2024-09-11,AVGO,2.02,20413.85,1008447.97,40028.19,3.97,9
2024-09-11,GOOGL,1.87,18847.18,1008447.97,40028.19,3.97,9
2024-09-11,META,1.96,19751.34,1008447.97,40028.19,3.97,9
2024-09-11,MSFT,2.01,20290.22,1008447.97,40028.19,3.97,9
2024-09-11,NVDA,2.0,20125.58,1008447.97,40028.19,3.97,9
2024-09-11,SPY,79.87,805401.99,1008447.97,40028.19,3.97,9
2024-09-11,TSLA,2.17,21871.63,1008447.97,40028.19,3.97,9
2024-09-18,AAPL,1.97,20074.77,1019277.57,77.45,0.01,11
2024-09-18,AMD,2.02,20631.39,1019277.57,77.45,0.01,11
2024-09-18,AMZN,2.07,21084.18,1019277.57,77.45,0.01,11
2024-09-18,AVGO,2.05,20852.38,1019277.57,77.45,0.01,11
2024-09-18,CRWD,1.97,20049.18,1019277.57,77.45,0.01,11
2024-09-18,GOOGL,1.95,19925.7,1019277.57,77.45,0.01,11
2024-09-18,META,2.04,20779.11,1019277.57,77.45,0.01,11
2024-09-18,MSFT,2.03,20662.88,1019277.57,77.45,0.01,11
2024-09-18,NVDA,1.91,19517.85,1019277.57,77.45,0.01,11
2024-09-18,SPY,79.84,813840.21,1019277.57,77.45,0.01,11
2024-09-18,TSLA,2.14,21782.47,1019277.57,77.45,0.01,11
2024-09-25,AAPL,1.97,20591.44,1046420.58,21183.32,2.02,10
2024-09-25,AMD,2.15,22541.62,1046420.58,21183.32,2.02,10
2024-09-25,AMZN,2.08,21774.05,1046420.58,21183.32,2.02,10
2024-09-25,AVGO,2.17,22713.22,1046420.58,21183.32,2.02,10
2024-09-25,GOOGL,1.92,20135.16,1046420.58,21183.32,2.02,10
2024-09-25,META,2.1,21951.81,1046420.58,21183.32,2.02,10
2024-09-25,MSFT,1.98,20725.24,1046420.58,21183.32,2.02,10
2024-09-25,NVDA,2.03,21263.55,1046420.58,21183.32,2.02,10
2024-09-25,SPY,79.21,828899.75,1046420.58,21183.32,2.02,10
2024-09-25,TSLA,2.35,24641.41,1046420.58,21183.32,2.02,10
2024-10-02,AAPL,1.98,20628.73,1041259.11,357.44,0.03,11
2024-10-02,AMD,2.13,22229.97,1041259.11,357.44,0.03,11
2024-10-02,AMZN,2.01,20895.31,1041259.11,357.44,0.03,11
2024-10-02,AVGO,2.12,22084.31,1041259.11,357.44,0.03,11
2024-10-02,GOOGL,1.99,20680.03,1041259.11,357.44,0.03,11
2024-10-02,META,2.12,22125.63,1041259.11,357.44,0.03,11
2024-10-02,MSFT,1.92,20006.75,1041259.11,357.44,0.03,11
2024-10-02,NVDA,1.97,20461.29,1041259.11,357.44,0.03,11
2024-10-02,QCOM,1.99,20731.17,1041259.11,357.44,0.03,11
2024-10-02,SPY,79.44,827184.03,1041259.11,357.44,0.03,11
2024-10-02,TSLA,2.29,23874.43,1041259.11,357.44,0.03,11
2024-10-09,AAPL,1.97,20879.79,1059185.55,357.44,0.03,11
2024-10-09,AMD,2.25,23793.78,1059185.55,357.44,0.03,11
2024-10-09,AMZN,1.98,20941.68,1059185.55,357.44,0.03,11
2024-10-09,AVGO,2.27,24062.93,1059185.55,357.44,0.03,11
2024-10-09,GOOGL,1.91,20181.3,1059185.55,357.44,0.03,11
2024-10-09,META,2.15,22809.32,1059185.55,357.44,0.03,11
2024-10-09,MSFT,1.89,20022.58,1059185.55,357.44,0.03,11
2024-10-09,NVDA,2.16,22837.1,1059185.55,357.44,0.03,11
2024-10-09,QCOM,1.98,20965.18,1059185.55,357.44,0.03,11
2024-10-09,SPY,79.23,839224.13,1059185.55,357.44,0.03,11
2024-10-09,TSLA,2.18,23110.31,1059185.55,357.44,0.03,11
2024-10-16,AAPL,1.98,21083.55,1062444.12,357.44,0.03,11
2024-10-16,AMD,2.04,21722.15,1062444.12,357.44,0.03,11
2024-10-16,AMZN,1.99,21136.2,1062444.12,357.44,0.03,11
2024-10-16,AVGO,2.15,22881.45,1062444.12,357.44,0.03,11
2024-10-16,GOOGL,1.94,20592.76,1062444.12,357.44,0.03,11
2024-10-16,META,2.1,22279.36,1062444.12,357.44,0.03,11
2024-10-16,MSFT,1.88,19958.31,1062444.12,357.44,0.03,11
2024-10-16,NVDA,2.2,23365.64,1062444.12,357.44,0.03,11
2024-10-16,QCOM,1.99,21120.37,1062444.12,357.44,0.03,11
2024-10-16,SPY,79.7,846727.18,1062444.12,357.44,0.03,11
2024-10-16,TSLA,2.0,21219.69,1062444.12,357.44,0.03,11
2024-10-23,AAPL,1.99,20990.77,1053889.09,357.44,0.03,11
2024-10-23,AMD,2.02,21274.16,1053889.09,357.44,0.03,11
2024-10-23,AMZN,1.98,20889.66,1053889.09,357.44,0.03,11
2024-10-23,AVGO,2.13,22453.12,1053889.09,357.44,0.03,11
2024-10-23,GOOGL,1.93,20296.01,1053889.09,357.44,0.03,11
2024-10-23,META,2.07,21773.35,1053889.09,357.44,0.03,11
2024-10-23,MSFT,1.93,20365.03,1053889.09,357.44,0.03,11
2024-10-23,NVDA,2.28,24026.74,1053889.09,357.44,0.03,11
2024-10-23,QCOM,1.95,20519.33,1053889.09,357.44,0.03,11
2024-10-23,SPY,79.75,840460.1,1053889.09,357.44,0.03,11
2024-10-23,TSLA,1.94,20483.38,1053889.09,357.44,0.03,11
2024-10-30,AAPL,1.97,20930.74,1064697.89,357.44,0.03,11
2024-10-30,AMD,1.94,20674.52,1064697.89,357.44,0.03,11
2024-10-30,AMZN,2.05,21796.67,1064697.89,357.44,0.03,11
2024-10-30,AVGO,2.15,22858.16,1064697.89,357.44,0.03,11
2024-10-30,GOOGL,2.04,21752.32,1064697.89,357.44,0.03,11
2024-10-30,META,2.15,22859.14,1064697.89,357.44,0.03,11
2024-10-30,MSFT,1.95,20745.38,1064697.89,357.44,0.03,11
2024-10-30,NVDA,2.25,23988.86,1064697.89,357.44,0.03,11
2024-10-30,QCOM,1.94,20644.97,1064697.89,357.44,0.03,11
2024-10-30,SPY,79.21,843397.46,1064697.89,357.44,0.03,11
2024-10-30,TSLA,2.32,24692.23,1064697.89,357.44,0.03,11
2024-11-06,AAPL,1.87,20259.42,1085190.27,357.44,0.03,11
2024-11-06,AMD,1.86,20187.57,1085190.27,357.44,0.03,11
2024-11-06,AMZN,2.16,23420.71,1085190.27,357.44,0.03,11
2024-11-06,AVGO,2.14,23234.74,1085190.27,357.44,0.03,11
2024-11-06,GOOGL,2.03,22007.92,1085190.27,357.44,0.03,11
2024-11-06,META,2.04,22096.27,1085190.27,357.44,0.03,11
2024-11-06,MSFT,1.86,20153.04,1085190.27,357.44,0.03,11
2024-11-06,NVDA,2.31,25068.31,1085190.27,357.44,0.03,11
2024-11-06,QCOM,1.96,21306.36,1085190.27,357.44,0.03,11
2024-11-06,SPY,79.2,859436.12,1085190.27,357.44,0.03,11
2024-11-06,TSLA,2.55,27662.39,1085190.27,357.44,0.03,11
2024-11-13,AAPL,1.87,20500.26,1096994.81,357.44,0.03,11
2024-11-13,AMD,1.77,19380.62,1096994.81,357.44,0.03,11
2024-11-13,AMZN,2.21,24213.5,1096994.81,357.44,0.03,11
2024-11-13,AVGO,2.05,22462.18,1096994.81,357.44,0.03,11
2024-11-13,GOOGL,2.03,22303.42,1096994.81,357.44,0.03,11
2024-11-13,META,2.04,22403.35,1096994.81,357.44,0.03,11
2024-11-13,MSFT,1.86,20393.81,1096994.81,357.44,0.03,11
2024-11-13,NVDA,2.3,25181.93,1096994.81,357.44,0.03,11
2024-11-13,QCOM,1.8,19758.18,1096994.81,357.44,0.03,11
2024-11-13,SPY,79.16,868378.85,1096994.81,357.44,0.03,11
2024-11-13,TSLA,2.89,31661.27,1096994.81,357.44,0.03,11
2024-11-20,AAPL,1.92,20853.59,1083698.91,357.44,0.03,11
2024-11-20,AMD,1.77,19144.1,1083698.91,357.44,0.03,11
2024-11-20,AMZN,2.12,22944.58,1083698.91,357.44,0.03,11
2024-11-20,AVGO,1.95,21125.42,1083698.91,357.44,0.03,11
2024-11-20,GOOGL,2.02,21941.83,1083698.91,357.44,0.03,11
2024-11-20,META,2.02,21844.04,1083698.91,357.44,0.03,11
2024-11-20,MSFT,1.84,19928.1,1083698.91,357.44,0.03,11
2024-11-20,NVDA,2.32,25116.52,1083698.91,357.44,0.03,11
2024-11-20,QCOM,1.75,19000.71,1083698.91,357.44,0.03,11
2024-11-20,SPY,79.23,858650.96,1083698.91,357.44,0.03,11
2024-11-20,TSLA,3.03,32791.62,1083698.91,357.44,0.03,11
2024-11-27,AAPL,1.96,21393.6,1093293.06,357.44,0.03,11
2024-11-27,AMD,1.73,18954.89,1093293.06,357.44,0.03,11
2024-11-27,AMZN,2.13,23268.03,1093293.06,357.44,0.03,11
2024-11-27,AVGO,1.89,20662.15,1093293.06,357.44,0.03,11
2024-11-27,GOOGL,1.93,21100.22,1093293.06,357.44,0.03,11
2024-11-27,META,2.01,21986.19,1093293.06,357.44,0.03,11
2024-11-27,MSFT,1.86,20328.42,1093293.06,357.44,0.03,11
2024-11-27,NVDA,2.13,23300.21,1093293.06,357.44,0.03,11
2024-11-27,QCOM,1.76,19263.04,1093293.06,357.44,0.03,11
2024-11-27,SPY,79.65,870763.54,1093293.06,357.44,0.03,11
2024-11-27,TSLA,2.92,31915.34,1093293.06,357.44,0.03,11
2024-12-04,AAPL,1.98,22129.39,1118759.8,357.44,0.03,11
2024-12-04,AMD,1.79,20033.13,1118759.8,357.44,0.03,11
2024-12-04,AMZN,2.21,24672.66,1118759.8,357.44,0.03,11
2024-12-04,AVGO,1.97,22071.38,1118759.8,357.44,0.03,11
2024-12-04,GOOGL,1.94,21741.1,1118759.8,357.44,0.03,11
2024-12-04,META,2.12,23708.15,1118759.8,357.44,0.03,11
2024-12-04,MSFT,1.88,21021.91,1118759.8,357.44,0.03,11
2024-12-04,NVDA,2.23,24987.4,1118759.8,357.44,0.03,11
