review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2024-07-31,1003850.6,70.06,1003780.53,4,0.01,SPY,93.6
2024-08-07,940850.34,873.97,939976.38,4,0.09,SPY,94.04
2024-08-14,987068.25,60.09,987008.17,5,0.01,SPY,92.0
2024-08-21,1019490.45,457.83,1019032.62,5,0.04,SPY,91.84
2024-08-28,1013407.45,59.48,1013347.97,8,0.01,SPY,86.04
2024-09-04,997719.36,60.07,997659.29,11,0.01,SPY,80.22
2024-09-11,1008447.97,40028.19,968419.78,9,3.97,SPY,79.87
2024-09-18,1019277.57,77.45,1019200.12,11,0.01,SPY,79.84
2024-09-25,1046420.58,21183.32,1025237.25,10,2.02,SPY,79.21
2024-10-02,1041259.11,357.44,1040901.66,11,0.03,SPY,79.44
2024-10-09,1059185.55,357.44,1058828.11,11,0.03,SPY,79.23
2024-10-16,1062444.12,357.44,1062086.67,11,0.03,SPY,79.7
2024-10-23,1053889.09,357.44,1053531.65,11,0.03,SPY,79.75
2024-10-30,1064697.89,357.44,1064340.45,11,0.03,SPY,79.21
2024-11-06,1085190.27,357.44,1084832.83,11,0.03,SPY,79.2
2024-11-13,1096994.81,357.44,1096637.37,11,0.03,SPY,79.16
2024-11-20,1083698.91,357.44,1083341.47,11,0.03,SPY,79.23
2024-11-27,1093293.06,357.44,1092935.62,11,0.03,SPY,79.65
2024-12-04,1118759.8,357.44,1118402.36,11,0.03,SPY,78.98
2024-12-11,1128877.4,357.44,1128519.96,11,0.03,SPY,78.25
2024-12-18,1096825.09,16880.51,1079944.58,10,1.54,SPY,77.73
2024-12-25,1131902.49,71.52,1131830.97,11,0.01,SPY,76.99
2025-01-01,1096737.64,71.52,1096666.11,11,0.01,SPY,77.45
