ticker,action_count,initiate_count,exit_count,hold_count,avg_forward_5d_pct,avg_forward_20d_pct,avg_forward_60d_pct,doc_count,claim_count,price_coverage_pct
AAPL,21,1,0,20,0.7,2.21,5.18,7,18,97.3
AMD,20,2,2,10,0.38,-0.3,-5.94,8,28,97.3
AMZN,21,1,0,18,0.6,4.21,12.66,4,11,97.3
AVGO,21,2,1,18,2.11,9.11,14.03,9,36,97.3
CRM,0,0,0,0,,,,8,18,97.3
CRWD,4,2,2,0,2.27,2.49,23.63,9,28,97.3
GOOGL,22,1,0,21,0.39,2.74,7.54,11,24,97.3
INTC,0,0,0,0,,,,10,27,97.3
META,18,1,0,17,0.33,3.48,4.86,6,18,97.3
MSFT,22,1,0,21,-0.15,0.9,1.43,7,17,97.3
NOW,0,0,0,0,,,,5,21,97.3
NVDA,21,2,1,16,-0.2,4.57,11.26,7,13,97.3
PLTR,0,0,0,0,,,,6,14,97.3
QCOM,18,3,2,10,0.93,-0.05,-2.88,7,17,97.3
TSLA,20,1,0,19,2.59,14.13,47.01,7,22,97.3
