review_date,ticker,weight_pct,market_value,portfolio_total,cash,cash_weight_pct,num_positions
2024-07-31,AMD,2.14,21486.92,1005132.76,60.55,0.01,4
2024-07-31,AVGO,3.97,39855.33,1005132.76,60.55,0.01,4
2024-07-31,NVDA,2.1,21120.25,1005132.76,60.55,0.01,4
2024-07-31,SPY,91.79,922609.71,1005132.76,60.55,0.01,4
2024-08-07,GOOGL,2.71,25536.81,942314.37,10689.32,1.13,4
2024-08-07,MSFT,2.02,19079.0,942314.37,10689.32,1.13,4
2024-08-07,QCOM,1.94,18251.11,942314.37,10689.32,1.13,4
2024-08-07,SPY,92.19,868758.12,942314.37,10689.32,1.13,4
2024-08-14,AAPL,2.01,19800.24,986388.57,59.83,0.01,6
2024-08-14,AMZN,1.95,19220.97,986388.57,59.83,0.01,6
2024-08-14,CRWD,3.3,32570.78,986388.57,59.83,0.01,6
2024-08-14,GOOGL,2.61,25766.55,986388.57,59.83,0.01,6
2024-08-14,MSFT,2.02,19961.53,986388.57,59.83,0.01,6
2024-08-14,SPY,88.1,869008.67,986388.57,59.83,0.01,6
2024-08-21,AAPL,1.98,20218.17,1018770.35,13844.28,1.36,6
2024-08-21,AMZN,2.0,20352.09,1018770.35,13844.28,1.36,6
2024-08-21,GOOGL,2.62,26647.03,1018770.35,13844.28,1.36,6
2024-08-21,MSFT,2.0,20346.75,1018770.35,13844.28,1.36,6
2024-08-21,SPY,87.95,895970.0,1018770.35,13844.28,1.36,6
2024-08-21,TSLA,2.1,21392.04,1018770.35,13844.28,1.36,6
2024-08-28,AAPL,2.0,20226.2,1013503.56,45.31,0.0,9
2024-08-28,AMD,2.71,27476.85,1013503.56,45.31,0.0,9
2024-08-28,AMZN,1.9,19300.07,1013503.56,45.31,0.0,9
2024-08-28,AVGO,3.72,37732.25,1013503.56,45.31,0.0,9
2024-08-28,GOOGL,2.58,26165.03,1013503.56,45.31,0.0,9
2024-08-28,MSFT,1.94,19697.21,1013503.56,45.31,0.0,9
2024-08-28,NVDA,3.09,31339.44,1013503.56,45.31,0.0,9
2024-08-28,SPY,80.1,811807.78,1013503.56,45.31,0.0,9
2024-08-28,TSLA,1.95,19713.4,1013503.56,45.31,0.0,9
2024-09-04,AAPL,1.98,19722.54,995618.22,60.13,0.01,11
2024-09-04,AMD,2.66,26446.19,995618.22,60.13,0.01,11
2024-09-04,AMZN,1.97,19585.96,995618.22,60.13,0.01,11
2024-09-04,AVGO,3.69,36763.76,995618.22,60.13,0.01,11
2024-09-04,GOOGL,2.52,25136.73,995618.22,60.13,0.01,11
2024-09-04,META,2.78,27650.86,995618.22,60.13,0.01,11
2024-09-04,MSFT,1.97,19615.65,995618.22,60.13,0.01,11
2024-09-04,NVDA,2.66,26499.17,995618.22,60.13,0.01,11
2024-09-04,QCOM,2.01,20003.05,995618.22,60.13,0.01,11
2024-09-04,SPY,75.64,753111.98,995618.22,60.13,0.01,11
2024-09-04,TSLA,2.11,21022.2,995618.22,60.13,0.01,11
2024-09-11,AAPL,1.97,19884.17,1007715.11,4812.83,0.48,10
2024-09-11,AMD,4.3,43317.54,1007715.11,4812.83,0.48,10
2024-09-11,AMZN,2.07,20850.41,1007715.11,4812.83,0.48,10
2024-09-11,AVGO,3.75,37753.72,1007715.11,4812.83,0.48,10
2024-09-11,GOOGL,2.41,24319.02,1007715.11,4812.83,0.48,10
2024-09-11,META,2.74,27601.79,1007715.11,4812.83,0.48,10
2024-09-11,MSFT,2.01,20293.98,1007715.11,4812.83,0.48,10
2024-09-11,NVDA,2.89,29168.81,1007715.11,4812.83,0.48,10
2024-09-11,SPY,75.21,757855.15,1007715.11,4812.83,0.48,10
2024-09-11,TSLA,2.17,21857.69,1007715.11,4812.83,0.48,10
2024-09-18,AAPL,1.94,19708.25,1018365.19,68.65,0.01,11
2024-09-18,AMD,5.66,57659.52,1018365.19,68.65,0.01,11
2024-09-18,AMZN,2.07,21066.23,1018365.19,68.65,0.01,11
2024-09-18,AVGO,3.79,38564.75,1018365.19,68.65,0.01,11
2024-09-18,CRWD,3.55,36147.47,1018365.19,68.65,0.01,11
2024-09-18,GOOGL,2.52,25710.66,1018365.19,68.65,0.01,11
2024-09-18,META,2.85,29038.05,1018365.19,68.65,0.01,11
2024-09-18,MSFT,2.03,20666.72,1018365.19,68.65,0.01,11
2024-09-18,NVDA,2.78,28288.01,1018365.19,68.65,0.01,11
2024-09-18,SPY,70.67,719678.3,1018365.19,68.65,0.01,11
2024-09-18,TSLA,2.14,21768.58,1018365.19,68.65,0.01,11
2024-09-25,AAPL,1.92,20215.49,1050306.07,6394.25,0.61,10
2024-09-25,AMD,7.46,78328.13,1050306.07,6394.25,0.61,10
2024-09-25,AMZN,2.07,21755.52,1050306.07,6394.25,0.61,10
2024-09-25,AVGO,4.0,42006.23,1050306.07,6394.25,0.61,10
2024-09-25,GOOGL,2.47,25980.94,1050306.07,6394.25,0.61,10
2024-09-25,META,2.92,30676.86,1050306.07,6394.25,0.61,10
2024-09-25,MSFT,1.97,20729.08,1050306.07,6394.25,0.61,10
2024-09-25,NVDA,4.44,46598.18,1050306.07,6394.25,0.61,10
2024-09-25,SPY,69.79,732995.69,1050306.07,6394.25,0.61,10
2024-09-25,TSLA,2.34,24625.71,1050306.07,6394.25,0.61,10
2024-10-02,AAPL,1.94,20252.1,1042911.95,68.63,0.01,11
2024-10-02,AMD,8.88,92618.99,1042911.95,68.63,0.01,11
2024-10-02,AMZN,2.0,20877.53,1042911.95,68.63,0.01,11
2024-10-02,AVGO,3.92,40843.11,1042911.95,68.63,0.01,11
2024-10-02,GOOGL,2.56,26683.99,1042911.95,68.63,0.01,11
2024-10-02,META,2.96,30919.76,1042911.95,68.63,0.01,11
2024-10-02,MSFT,1.92,20010.46,1042911.95,68.63,0.01,11
2024-10-02,NVDA,4.3,44840.06,1042911.95,68.63,0.01,11
2024-10-02,QCOM,2.0,20818.73,1042911.95,68.63,0.01,11
2024-10-02,SPY,67.23,701119.37,1042911.95,68.63,0.01,11
2024-10-02,TSLA,2.29,23859.21,1042911.95,68.63,0.01,11
2024-10-09,AAPL,1.92,20498.58,1068881.7,84.59,0.01,11
2024-10-09,AMD,10.02,107141.96,1068881.7,84.59,0.01,11
2024-10-09,AMZN,1.96,20923.86,1068881.7,84.59,0.01,11
2024-10-09,AVGO,4.16,44502.39,1068881.7,84.59,0.01,11
2024-10-09,GOOGL,2.44,26040.47,1068881.7,84.59,0.01,11
2024-10-09,META,2.98,31875.19,1068881.7,84.59,0.01,11
2024-10-09,MSFT,1.87,20026.3,1068881.7,84.59,0.01,11
2024-10-09,NVDA,4.68,50046.55,1068881.7,84.59,0.01,11
2024-10-09,QCOM,1.97,21053.74,1068881.7,84.59,0.01,11
2024-10-09,SPY,65.83,703592.5,1068881.7,84.59,0.01,11
2024-10-09,TSLA,2.16,23095.58,1068881.7,84.59,0.01,11
2024-10-16,AAPL,1.95,20698.62,1063203.81,84.59,0.01,11
2024-10-16,AMD,9.2,97813.55,1063203.81,84.59,0.01,11
2024-10-16,AMZN,1.99,21118.21,1063203.81,84.59,0.01,11
2024-10-16,AVGO,3.98,42317.35,1063203.81,84.59,0.01,11
2024-10-16,GOOGL,2.5,26571.39,1063203.81,84.59,0.01,11
2024-10-16,META,2.93,31134.59,1063203.81,84.59,0.01,11
2024-10-16,MSFT,1.88,19962.01,1063203.81,84.59,0.01,11
2024-10-16,NVDA,4.82,51204.82,1063203.81,84.59,0.01,11
2024-10-16,QCOM,1.99,21209.58,1063203.81,84.59,0.01,11
2024-10-16,SPY,66.77,709882.94,1063203.81,84.59,0.01,11
2024-10-16,TSLA,1.99,21206.16,1063203.81,84.59,0.01,11
2024-10-23,AAPL,1.95,20607.52,1054228.7,84.59,0.01,11
2024-10-23,AMD,9.09,95796.26,1054228.7,84.59,0.01,11
2024-10-23,AMZN,1.98,20871.88,1054228.7,84.59,0.01,11
2024-10-23,AVGO,3.94,41525.18,1054228.7,84.59,0.01,11
2024-10-23,GOOGL,2.48,26188.48,1054228.7,84.59,0.01,11
2024-10-23,META,2.89,30427.47,1054228.7,84.59,0.01,11
2024-10-23,MSFT,1.93,20368.82,1054228.7,84.59,0.01,11
2024-10-23,NVDA,4.99,52653.59,1054228.7,84.59,0.01,11
2024-10-23,QCOM,1.95,20605.99,1054228.7,84.59,0.01,11
2024-10-23,SPY,66.84,704628.59,1054228.7,84.59,0.01,11
2024-10-23,TSLA,1.94,20470.32,1054228.7,84.59,0.01,11
2024-10-30,AAPL,1.93,20548.59,1063613.92,84.59,0.01,11
2024-10-30,AMD,8.75,93096.1,1063613.92,84.59,0.01,11
2024-10-30,AMZN,2.05,21778.12,1063613.92,84.59,0.01,11
2024-10-30,AVGO,3.97,42274.27,1063613.92,84.59,0.01,11
2024-10-30,GOOGL,2.64,28067.6,1063613.92,84.59,0.01,11
2024-10-30,META,3.0,31944.82,1063613.92,84.59,0.01,11
2024-10-30,MSFT,1.95,20749.23,1063613.92,84.59,0.01,11
2024-10-30,NVDA,4.94,52570.59,1063613.92,84.59,0.01,11
2024-10-30,QCOM,1.95,20732.16,1063613.92,84.59,0.01,11
2024-10-30,SPY,66.48,707091.35,1063613.92,84.59,0.01,11
2024-10-30,TSLA,2.32,24676.49,1063613.92,84.59,0.01,11
2024-11-06,AAPL,1.84,19889.53,1081197.08,84.59,0.01,11
2024-11-06,AMD,8.41,90903.39,1081197.08,84.59,0.01,11
2024-11-06,AMZN,2.16,23400.77,1081197.08,84.59,0.01,11
2024-11-06,AVGO,3.97,42970.72,1081197.08,84.59,0.01,11
2024-11-06,GOOGL,2.63,28397.4,1081197.08,84.59,0.01,11
2024-11-06,META,2.86,30878.73,1081197.08,84.59,0.01,11
2024-11-06,MSFT,1.86,20156.78,1081197.08,84.59,0.01,11
2024-11-06,NVDA,5.08,54936.15,1081197.08,84.59,0.01,11
2024-11-06,QCOM,1.98,21396.34,1081197.08,84.59,0.01,11
2024-11-06,SPY,66.64,720537.91,1081197.08,84.59,0.01,11
2024-11-06,TSLA,2.56,27644.76,1081197.08,84.59,0.01,11
2024-11-13,AAPL,1.85,20125.98,1088402.64,84.59,0.01,11
2024-11-13,AMD,8.02,87269.76,1088402.64,84.59,0.01,11
2024-11-13,AMZN,2.22,24192.89,1088402.64,84.59,0.01,11
2024-11-13,AVGO,3.82,41541.93,1088402.64,84.59,0.01,11
2024-11-13,GOOGL,2.64,28778.69,1088402.64,84.59,0.01,11
2024-11-13,META,2.88,31307.87,1088402.64,84.59,0.01,11
2024-11-13,MSFT,1.87,20397.6,1088402.64,84.59,0.01,11
2024-11-13,NVDA,5.07,55185.14,1088402.64,84.59,0.01,11
2024-11-13,QCOM,1.82,19841.61,1088402.64,84.59,0.01,11
2024-11-13,SPY,66.89,728035.48,1088402.64,84.59,0.01,11
2024-11-13,TSLA,2.91,31641.09,1088402.64,84.59,0.01,11
2024-11-20,AAPL,1.9,20472.85,1074720.47,67.69,0.01,11
2024-11-20,AMD,8.02,86204.73,1074720.47,67.69,0.01,11
2024-11-20,AMZN,3.67,39436.71,1074720.47,67.69,0.01,11
2024-11-20,AVGO,3.64,39069.72,1074720.47,67.69,0.01,11
2024-11-20,GOOGL,2.63,28312.13,1074720.47,67.69,0.01,11
2024-11-20,META,2.84,30526.26,1074720.47,67.69,0.01,11
2024-11-20,MSFT,1.85,19931.79,1074720.47,67.69,0.01,11
2024-11-20,NVDA,5.12,55041.79,1074720.47,67.69,0.01,11
2024-11-20,QCOM,1.78,19080.96,1074720.47,67.69,0.01,11
2024-11-20,SPY,65.49,703805.12,1074720.47,67.69,0.01,11
2024-11-20,TSLA,3.05,32770.72,1074720.47,67.69,0.01,11
2024-11-27,AAPL,1.95,21003.0,1078946.43,67.69,0.01,11
2024-11-27,AMD,7.91,85352.71,1078946.43,67.69,0.01,11
2024-11-27,AMZN,3.71,39992.65,1078946.43,67.69,0.01,11
2024-11-27,AVGO,3.54,38212.93,1078946.43,67.69,0.01,11
2024-11-27,GOOGL,2.52,27226.17,1078946.43,67.69,0.01,11
2024-11-27,META,2.85,30724.89,1078946.43,67.69,0.01,11
