review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2024-07-31,1005132.76,60.55,1005072.2,4,0.01,SPY,91.79
2024-08-07,942314.37,10689.32,931625.04,4,1.13,SPY,92.19
2024-08-14,986388.57,59.83,986328.75,6,0.01,SPY,88.1
2024-08-21,1018770.35,13844.28,1004926.08,6,1.36,SPY,87.95
2024-08-28,1013503.56,45.31,1013458.24,9,0.0,SPY,80.1
2024-09-04,995618.22,60.13,995558.09,11,0.01,SPY,75.64
2024-09-11,1007715.11,4812.83,1002902.27,10,0.48,SPY,75.21
2024-09-18,1018365.19,68.65,1018296.54,11,0.01,SPY,70.67
2024-09-25,1050306.07,6394.25,1043911.82,10,0.61,SPY,69.79
2024-10-02,1042911.95,68.63,1042843.32,11,0.01,SPY,67.23
2024-10-09,1068881.7,84.59,1068797.1,11,0.01,SPY,65.83
2024-10-16,1063203.81,84.59,1063119.21,11,0.01,SPY,66.77
2024-10-23,1054228.7,84.59,1054144.1,11,0.01,SPY,66.84
2024-10-30,1063613.92,84.59,1063529.32,11,0.01,SPY,66.48
2024-11-06,1081197.08,84.59,1081112.49,11,0.01,SPY,66.64
2024-11-13,1088402.64,84.59,1088318.05,11,0.01,SPY,66.89
2024-11-20,1074720.47,67.69,1074652.77,11,0.01,SPY,65.49
2024-11-27,1078946.43,67.69,1078878.74,11,0.01,SPY,66.15
2024-12-04,1110950.84,67.69,1110883.14,11,0.01,SPY,65.19
2024-12-11,1116603.29,67.69,1116535.6,11,0.01,SPY,64.84
2024-12-18,1086080.5,13585.0,1072495.51,11,1.25,SPY,64.34
2024-12-25,1123897.33,49997.75,1073899.58,10,4.45,SPY,64.18
2025-01-01,1088373.44,49997.75,1038375.69,10,4.59,SPY,64.6
