review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,prior_weight,new_weight,weight_change,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct
2024-07-31,AVGO,initiate,72.7,72.7,high,0.0,4.07,4.07,158.29,-11.58,3.28,7.83
2024-07-31,AMD,initiate,57.2,64.0,medium,0.0,2.14,2.14,144.48,-6.69,8.25,13.75
2024-07-31,NVDA,initiate,57.6,57.6,medium,0.0,2.1,2.1,116.96,-14.16,8.74,3.75
2024-08-07,AMD,exit,55.0,86.0,medium,2.14,0.0,-2.14,128.67,6.3,16.97,32.82
2024-08-07,QCOM,initiate,50.0,55.0,medium,0.0,1.94,1.94,150.16,4.34,11.41,8.75
2024-08-07,INTC,initiate,49.0,53.4,medium,0.0,1.9,1.9,18.99,1.95,5.69,18.96
2024-08-07,MSFT,initiate,50.0,50.0,medium,0.0,2.03,2.03,393.11,2.1,4.05,4.61
2024-08-07,NVDA,hold,57.6,0.0,medium,2.1,2.1,0.0,98.86,10.22,29.71,26.31
2024-08-07,AVGO,hold,72.7,0.0,high,4.07,4.07,0.0,134.25,9.06,18.43,30.05
2024-08-14,INTC,exit,49.0,86.0,medium,1.9,0.0,-1.9,19.92,8.03,0.9,18.27
2024-08-14,CRWD,initiate,68.8,68.8,high,0.0,3.31,3.31,256.22,4.12,4.05,24.97
2024-08-14,GOOGL,initiate,60.6,60.6,medium,0.0,2.13,2.13,159.24,3.93,-1.88,1.92
2024-08-14,AVGO,add,72.7,55.0,high,3.7,5.99,2.3,155.35,6.35,-3.11,15.47
2024-08-14,AMZN,initiate,50.0,50.0,medium,0.0,1.95,1.95,170.1,4.77,3.62,11.01
2024-08-14,QCOM,hold,58.2,0.0,medium,1.94,1.94,0.0,160.77,4.25,-2.34,2.22
2024-08-14,MSFT,hold,50.0,0.0,medium,2.03,2.03,0.0,411.3,1.3,-1.6,0.05
2024-08-14,NVDA,hold,57.6,0.0,medium,1.9,1.9,0.0,118.02,10.09,-8.54,14.17
2024-08-21,CRWD,exit,68.8,86.0,high,3.31,0.0,-3.31,273.21,-2.69,-9.32,13.52
2024-08-21,TSLA,initiate,61.1,61.1,medium,0.0,2.3,2.3,223.27,-4.51,1.3,-1.15
2024-08-21,MSFT,add,67.9,55.5,high,2.02,3.49,1.48,419.24,-2.51,-2.34,-1.41
2024-08-21,QCOM,add,60.6,55.0,medium,1.97,3.51,1.54,167.57,-2.71,-6.72,-1.39
2024-08-21,AVGO,add,72.7,55.0,high,5.99,8.1,2.1,163.32,-3.72,-10.6,8.87
2024-08-21,AMZN,hold,50.0,0.0,medium,1.95,1.95,0.0,180.11,-2.56,-0.31,4.93
2024-08-21,GOOGL,hold,60.6,0.0,medium,2.13,2.13,0.0,164.68,0.19,-10.25,-1.33
2024-08-21,NVDA,hold,57.6,0.0,medium,2.15,2.15,0.0,128.44,-1.59,-15.88,7.4
2024-08-28,PLTR,initiate,65.2,65.2,high,0.0,2.64,2.64,30.36,3.69,20.06,47.76
2024-08-28,NVDA,add,65.3,57.0,high,2.26,3.83,1.57,125.55,-4.97,-7.97,12.69
2024-08-28,QCOM,add,60.6,55.0,medium,3.51,5.02,1.51,165.29,2.01,-1.33,-0.41
2024-08-28,AVGO,add,72.7,55.0,high,8.1,9.82,1.73,155.83,2.93,2.71,9.73
2024-08-28,AMZN,hold,50.0,0.0,medium,2.0,2.0,0.0,170.8,4.51,9.41,9.97
2024-08-28,GOOGL,hold,60.6,0.0,medium,2.13,2.13,0.0,161.7,0.33,-2.04,1.62
2024-08-28,TSLA,hold,61.1,0.0,medium,2.3,2.3,0.0,205.75,4.06,10.75,30.83
2024-08-28,MSFT,hold,67.9,0.0,high,3.49,3.49,0.0,405.85,1.59,5.98,4.27
2024-09-04,META,initiate,65.7,65.7,high,0.0,2.78,2.78,510.23,-1.55,9.97,10.72
2024-09-04,CRM,initiate,56.1,64.9,medium,0.0,2.01,2.01,245.41,-0.78,9.36,19.18
2024-09-04,TSLA,add,61.1,50.0,medium,2.15,3.77,1.62,219.41,-1.43,15.89,13.48
2024-09-04,AMZN,hold,50.0,0.0,medium,1.92,1.92,0.0,173.33,1.19,11.9,14.19
2024-09-04,QCOM,hold,60.6,0.0,medium,5.02,5.02,0.0,159.02,-2.26,1.5,0.48
2024-09-04,GOOGL,hold,60.6,0.0,medium,2.11,2.11,0.0,155.35,-4.82,3.87,9.63
2024-09-04,AVGO,hold,72.7,0.0,high,9.82,9.82,0.0,151.83,-8.63,13.82,9.96
2024-09-04,NVDA,hold,64.0,0.0,medium,3.83,3.83,0.0,106.16,0.24,13.81,27.49
2024-09-04,MSFT,hold,70.8,0.0,high,3.42,3.42,0.0,404.17,-0.78,4.96,0.36
2024-09-04,PLTR,hold,65.2,0.0,high,2.64,2.64,0.0,30.59,13.11,20.63,37.04
2024-09-11,MSFT,add,70.8,55.0,high,3.48,5.54,2.06,418.15,1.96,-0.56,-0.12
2024-09-11,TSLA,add,61.1,50.0,medium,3.77,5.35,1.59,228.13,-0.59,13.1,40.81
2024-09-11,AMZN,hold,50.0,0.0,medium,1.98,1.98,0.0,184.52,0.2,0.33,12.82
2024-09-11,QCOM,hold,60.6,0.0,medium,4.93,4.93,0.0,161.03,0.03,-0.47,2.61
2024-09-11,GOOGL,hold,60.6,0.0,medium,2.07,2.07,0.0,150.29,4.56,10.47,17.99
2024-09-11,META,hold,65.6,0.0,high,2.78,2.78,0.0,509.32,4.29,12.74,15.25
2024-09-11,AVGO,hold,65.3,0.0,high,9.76,9.76,0.0,155.92,3.63,6.16,16.41
2024-09-11,CRM,hold,57.6,0.0,medium,2.01,2.01,0.0,247.28,2.94,8.71,29.2
2024-09-11,NVDA,hold,68.0,0.0,high,3.3,3.3,0.0,116.85,-0.1,0.09,26.29
2024-09-11,PLTR,hold,65.2,0.0,high,2.71,2.71,0.0,34.85,4.19,4.62,67.55
2024-09-18,QCOM,add,60.6,55.0,medium,4.9,6.38,1.48,162.71,-1.39,-1.16,-4.63
2024-09-18,MSFT,add,70.8,55.0,high,5.54,7.58,2.05,425.83,0.63,-3.74,-3.67
2024-09-18,TSLA,add,61.1,50.0,medium,5.35,6.7,1.34,227.2,10.04,7.61,41.16
2024-09-18,AMZN,hold,50.0,0.0,medium,2.07,2.07,0.0,186.43,4.0,-1.99,8.68
2024-09-18,GOOGL,hold,60.6,0.0,medium,1.97,1.97,0.0,158.89,1.28,2.86,7.93
2024-09-18,META,hold,68.4,0.0,high,2.72,2.72,0.0,535.83,4.92,10.21,3.0
2024-09-18,AVGO,hold,65.3,0.0,high,9.85,9.85,0.0,159.27,7.32,12.16,2.3
2024-09-18,CRM,hold,60.0,0.0,medium,1.99,1.99,0.0,250.51,4.67,15.51,28.85
2024-09-18,NVDA,hold,68.0,0.0,high,3.57,3.57,0.0,113.33,2.55,17.22,25.24
2024-09-18,PLTR,hold,65.2,0.0,high,3.03,3.03,0.0,36.38,4.32,13.94,80.79
2024-09-25,NVDA,add,68.0,55.0,high,3.42,5.1,1.68,123.46,-1.68,6.55,14.93
2024-09-25,MSFT,add,70.8,55.0,high,7.58,9.36,1.77,427.11,-0.42,-3.09,-3.3
2024-09-25,AMZN,hold,50.0,0.0,medium,2.07,2.07,0.0,192.53,-3.22,-2.51,2.38
2024-09-25,QCOM,hold,60.6,0.0,medium,6.38,6.38,0.0,162.68,1.06,3.46,-6.82
2024-09-25,GOOGL,hold,60.6,0.0,medium,2.05,2.05,0.0,160.56,2.7,2.46,2.02
2024-09-25,TSLA,hold,61.1,0.0,medium,6.7,6.7,0.0,257.02,1.79,-14.57,37.17
2024-09-25,META,hold,68.4,0.0,high,2.83,2.83,0.0,566.07,0.73,3.16,-1.61
2024-09-25,AVGO,hold,68.1,0.0,high,9.94,9.94,0.0,173.48,-1.72,0.26,-6.43
2024-09-25,CRM,hold,60.0,0.0,medium,1.99,1.99,0.0,272.0,-0.14,5.2,24.78
2024-09-25,PLTR,hold,65.2,0.0,high,3.13,3.13,0.0,37.12,0.22,14.3,73.36
2024-10-02,NVDA,add,68.0,55.0,high,5.1,6.42,1.32,118.8,7.46,20.82,16.32
