review_date,ticker,weight_pct,market_value,portfolio_total,cash,cash_weight_pct,num_positions
2024-07-31,AMD,2.14,21486.9,1005208.17,60.55,0.01,4
2024-07-31,AVGO,4.07,40932.5,1005208.17,60.55,0.01,4
2024-07-31,NVDA,2.1,21120.21,1005208.17,60.55,0.01,4
2024-07-31,SPY,91.68,921608.01,1005208.17,60.55,0.01,4
2024-08-07,AVGO,3.7,34714.16,938802.4,61.39,0.01,6
2024-08-07,INTC,1.9,17873.08,938802.4,61.39,0.01,6
2024-08-07,MSFT,2.03,19080.1,938802.4,61.39,0.01,6
2024-08-07,NVDA,1.9,17851.64,938802.4,61.39,0.01,6
2024-08-07,QCOM,1.94,18252.87,938802.4,61.39,0.01,6
2024-08-07,SPY,88.51,830969.15,938802.4,61.39,0.01,6
2024-08-14,AMZN,1.95,19356.55,990226.43,59.54,0.01,8
2024-08-14,AVGO,5.99,59353.79,990226.43,59.54,0.01,8
2024-08-14,CRWD,3.31,32802.29,990226.43,59.54,0.01,8
2024-08-14,GOOGL,2.13,21098.7,990226.43,59.54,0.01,8
2024-08-14,MSFT,2.02,19962.68,990226.43,59.54,0.01,8
2024-08-14,NVDA,2.15,21311.52,990226.43,59.54,0.01,8
2024-08-14,QCOM,1.97,19542.45,990226.43,59.54,0.01,8
2024-08-14,SPY,80.46,796738.9,990226.43,59.54,0.01,8
2024-08-21,AMZN,2.0,20495.64,1026500.82,59.41,0.01,8
2024-08-21,AVGO,8.1,83107.61,1026500.82,59.41,0.01,8
2024-08-21,GOOGL,2.13,21819.68,1026500.82,59.41,0.01,8
2024-08-21,MSFT,3.49,35872.36,1026500.82,59.41,0.01,8
2024-08-21,NVDA,2.26,23192.16,1026500.82,59.41,0.01,8
2024-08-21,QCOM,3.51,36048.6,1026500.82,59.41,0.01,8
2024-08-21,SPY,76.21,782261.43,1026500.82,59.41,0.01,8
2024-08-21,TSLA,2.3,23643.92,1026500.82,59.41,0.01,8
2024-08-28,AMZN,1.92,19436.21,1014681.44,59.5,0.01,9
2024-08-28,AVGO,9.82,99691.95,1014681.44,59.5,0.01,9
2024-08-28,GOOGL,2.11,21424.98,1014681.44,59.5,0.01,9
2024-08-28,MSFT,3.42,34727.19,1014681.44,59.5,0.01,9
2024-08-28,NVDA,3.83,38881.38,1014681.44,59.5,0.01,9
2024-08-28,PLTR,2.64,26753.88,1014681.44,59.5,0.01,9
2024-08-28,QCOM,5.02,50944.85,1014681.44,59.5,0.01,9
2024-08-28,SPY,69.08,700972.9,1014681.44,59.5,0.01,9
2024-08-28,TSLA,2.15,21788.58,1014681.44,59.5,0.01,9
2024-09-04,AMZN,1.98,19724.11,994835.77,70.12,0.01,11
2024-09-04,AVGO,9.76,97133.12,994835.77,70.12,0.01,11
2024-09-04,CRM,2.01,20021.46,994835.77,70.12,0.01,11
2024-09-04,GOOGL,2.07,20582.98,994835.77,70.12,0.01,11
2024-09-04,META,2.78,27633.02,994835.77,70.12,0.01,11
2024-09-04,MSFT,3.48,34583.41,994835.77,70.12,0.01,11
2024-09-04,NVDA,3.3,32876.28,994835.77,70.12,0.01,11
2024-09-04,PLTR,2.71,26956.57,994835.77,70.12,0.01,11
2024-09-04,QCOM,4.93,49011.99,994835.77,70.12,0.01,11
2024-09-04,SPY,63.2,628784.16,994835.77,70.12,0.01,11
2024-09-04,TSLA,3.77,37458.55,994835.77,70.12,0.01,11
2024-09-11,AMZN,2.07,20997.48,1012415.53,69.23,0.01,11
2024-09-11,AVGO,9.85,99748.69,1012415.53,69.23,0.01,11
2024-09-11,CRM,1.99,20174.24,1012415.53,69.23,0.01,11
2024-09-11,GOOGL,1.97,19913.4,1012415.53,69.23,0.01,11
2024-09-11,META,2.72,27583.98,1012415.53,69.23,0.01,11
2024-09-11,MSFT,5.54,56078.86,1012415.53,69.23,0.01,11
2024-09-11,NVDA,3.57,36188.38,1012415.53,69.23,0.01,11
2024-09-11,PLTR,3.03,30710.57,1012415.53,69.23,0.01,11
2024-09-11,QCOM,4.9,49631.81,1012415.53,69.23,0.01,11
2024-09-11,SPY,58.98,597117.42,1012415.53,69.23,0.01,11
2024-09-11,TSLA,5.35,54201.47,1012415.53,69.23,0.01,11
2024-09-18,AMZN,2.07,21214.83,1025523.38,68.39,0.01,11
2024-09-18,AVGO,9.94,101891.5,1025523.38,68.39,0.01,11
2024-09-18,CRM,1.99,20437.47,1025523.38,68.39,0.01,11
2024-09-18,GOOGL,2.05,21052.94,1025523.38,68.39,0.01,11
2024-09-18,META,2.83,29019.32,1025523.38,68.39,0.01,11
2024-09-18,MSFT,7.58,77778.58,1025523.38,68.39,0.01,11
2024-09-18,NVDA,3.42,35095.61,1025523.38,68.39,0.01,11
2024-09-18,PLTR,3.13,32058.84,1025523.38,68.39,0.01,11
2024-09-18,QCOM,6.38,65426.5,1025523.38,68.39,0.01,11
2024-09-18,SPY,53.9,552795.71,1025523.38,68.39,0.01,11
2024-09-18,TSLA,6.7,68683.7,1025523.38,68.39,0.01,11
2024-09-25,AMZN,2.06,21908.98,1062225.26,57.29,0.01,11
2024-09-25,AVGO,10.45,110984.19,1062225.26,57.29,0.01,11
2024-09-25,CRM,2.09,22191.12,1062225.26,57.29,0.01,11
2024-09-25,GOOGL,2.0,21274.25,1062225.26,57.29,0.01,11
2024-09-25,META,2.89,30657.07,1062225.26,57.29,0.01,11
2024-09-25,MSFT,9.36,99392.58,1062225.26,57.29,0.01,11
2024-09-25,NVDA,5.1,54171.47,1062225.26,57.29,0.01,11
2024-09-25,PLTR,3.08,32710.94,1062225.26,57.29,0.01,11
2024-09-25,QCOM,6.16,65414.84,1062225.26,57.29,0.01,11
2024-09-25,SPY,49.5,525764.09,1062225.26,57.29,0.01,11
2024-09-25,TSLA,7.31,77698.44,1062225.26,57.29,0.01,11
2024-10-02,AMZN,2.0,21024.79,1050297.6,68.4,0.01,11
2024-10-02,AVGO,10.27,107911.13,1050297.6,68.4,0.01,11
2024-10-02,CRM,2.15,22627.51,1050297.6,68.4,0.01,11
2024-10-02,GOOGL,2.08,21849.94,1050297.6,68.4,0.01,11
2024-10-02,META,2.94,30899.81,1050297.6,68.4,0.01,11
2024-10-02,MSFT,9.14,95946.93,1050297.6,68.4,0.01,11
2024-10-02,NVDA,6.42,67392.25,1050297.6,68.4,0.01,11
2024-10-02,PLTR,3.15,33036.99,1050297.6,68.4,0.01,11
2024-10-02,QCOM,6.23,65434.26,1050297.6,68.4,0.01,11
2024-10-02,SPY,48.45,508825.58,1050297.6,68.4,0.01,11
2024-10-02,TSLA,7.17,75280.0,1050297.6,68.4,0.01,11
2024-10-09,AMZN,1.95,21071.45,1079832.67,67.61,0.01,11
2024-10-09,AVGO,10.89,117579.27,1079832.67,67.61,0.01,11
2024-10-09,CRM,2.16,23310.84,1079832.67,67.61,0.01,11
2024-10-09,GOOGL,1.97,21323.0,1079832.67,67.61,0.01,11
2024-10-09,META,2.95,31854.63,1079832.67,67.61,0.01,11
2024-10-09,MSFT,8.89,96022.84,1079832.67,67.61,0.01,11
2024-10-09,NVDA,6.97,75217.34,1079832.67,67.61,0.01,11
2024-10-09,PLTR,3.52,38007.08,1079832.67,67.61,0.01,11
2024-10-09,QCOM,7.64,82514.02,1079832.67,67.61,0.01,11
2024-10-09,SPY,46.3,499993.97,1079832.67,67.61,0.01,11
2024-10-09,TSLA,6.75,72870.62,1079832.67,67.61,0.01,11
2024-10-16,AMZN,1.98,21267.17,1073687.56,67.66,0.01,11
2024-10-16,AVGO,10.41,111806.19,1073687.56,67.66,0.01,11
2024-10-16,CRM,2.19,23548.87,1073687.56,67.66,0.01,11
2024-10-16,GOOGL,2.03,21757.74,1073687.56,67.66,0.01,11
2024-10-16,META,2.9,31114.51,1073687.56,67.66,0.01,11
2024-10-16,MSFT,8.91,95714.62,1073687.56,67.66,0.01,11
2024-10-16,NVDA,7.17,76958.15,1073687.56,67.66,0.01,11
2024-10-16,PLTR,3.44,36949.62,1073687.56,67.66,0.01,11
2024-10-16,QCOM,9.25,99316.83,1073687.56,67.66,0.01,11
2024-10-16,SPY,45.48,488277.04,1073687.56,67.66,0.01,11
2024-10-16,TSLA,6.23,66909.17,1073687.56,67.66,0.01,11
2024-10-23,AMZN,1.97,21019.1,1065753.06,67.66,0.01,11
2024-10-23,AVGO,10.29,109713.22,1065753.06,67.66,0.01,11
2024-10-23,CRM,2.16,23028.29,1065753.06,67.66,0.01,11
2024-10-23,GOOGL,2.01,21444.19,1065753.06,67.66,0.01,11
2024-10-23,META,2.85,30407.84,1065753.06,67.66,0.01,11
2024-10-23,MSFT,9.16,97665.15,1065753.06,67.66,0.01,11
2024-10-23,NVDA,7.43,79135.58,1065753.06,67.66,0.01,11
2024-10-23,PLTR,3.52,37531.22,1065753.06,67.66,0.01,11
2024-10-23,QCOM,9.05,96490.47,1065753.06,67.66,0.01,11
2024-10-23,SPY,45.48,484662.87,1065753.06,67.66,0.01,11
2024-10-23,TSLA,6.06,64587.47,1065753.06,67.66,0.01,11
2024-10-30,AMZN,2.01,21931.74,1090893.47,67.66,0.01,11
2024-10-30,AVGO,10.24,111692.38,1090893.47,67.66,0.01,11
2024-10-30,CRM,2.2,23997.4,1090893.47,67.66,0.01,11
2024-10-30,GOOGL,2.11,22982.89,1090893.47,67.66,0.01,11
2024-10-30,META,2.93,31924.22,1090893.47,67.66,0.01,11
2024-10-30,MSFT,9.12,99489.18,1090893.47,67.66,0.01,11
2024-10-30,NVDA,7.24,79010.84,1090893.47,67.66,0.01,11
2024-10-30,PLTR,3.53,38500.57,1090893.47,67.66,0.01,11
2024-10-30,QCOM,8.9,97081.2,1090893.47,67.66,0.01,11
2024-10-30,SPY,44.58,486356.74,1090893.47,67.66,0.01,11
2024-10-30,TSLA,7.14,77858.66,1090893.47,67.66,0.01,11
2024-11-06,AMZN,2.09,23565.84,1127295.22,67.66,0.01,11
2024-11-06,AVGO,10.07,113532.4,1127295.22,67.66,0.01,11
2024-11-06,CRM,2.2,24847.51,1127295.22,67.66,0.01,11
2024-11-06,GOOGL,2.06,23252.95,1127295.22,67.66,0.01,11
2024-11-06,META,2.74,30858.81,1127295.22,67.66,0.01,11
2024-11-06,MSFT,8.57,96648.48,1127295.22,67.66,0.01,11
2024-11-06,NVDA,7.32,82566.15,1127295.22,67.66,0.01,11
2024-11-06,PLTR,4.34,48934.23,1127295.22,67.66,0.01,11
2024-11-06,QCOM,8.89,100191.39,1127295.22,67.66,0.01,11
2024-11-06,SPY,43.96,495605.74,1127295.22,67.66,0.01,11
2024-11-06,TSLA,7.74,87224.07,1127295.22,67.66,0.01,11
2024-11-13,AMZN,2.13,24363.54,1145212.36,71.03,0.01,11
2024-11-13,AVGO,9.58,109757.49,1145212.36,71.03,0.01,11
2024-11-13,CRM,2.42,27666.65,1145212.36,71.03,0.01,11
2024-11-13,GOOGL,2.06,23565.17,1145212.36,71.03,0.01,11
2024-11-13,META,2.73,31287.67,1145212.36,71.03,0.01,11
2024-11-13,MSFT,8.54,97803.17,1145212.36,71.03,0.01,11
2024-11-13,NVDA,7.24,82940.37,1145212.36,71.03,0.01,11
2024-11-13,PLTR,4.67,53490.15,1145212.36,71.03,0.01,11
2024-11-13,QCOM,8.11,92911.22,1145212.36,71.03,0.01,11
2024-11-13,SPY,42.45,486169.46,1145212.36,71.03,0.01,11
2024-11-13,TSLA,10.06,115186.45,1145212.36,71.03,0.01,11
2024-11-20,AMZN,3.58,40423.11,1129558.14,66.06,0.01,11
2024-11-20,AVGO,9.14,103225.68,1129558.14,66.06,0.01,11
2024-11-20,CRM,2.33,26369.62,1129558.14,66.06,0.01,11
2024-11-20,GOOGL,2.05,23183.12,1129558.14,66.06,0.01,11
2024-11-20,META,2.7,30506.56,1129558.14,66.06,0.01,11
2024-11-20,MSFT,8.46,95569.71,1129558.14,66.06,0.01,11
2024-11-20,NVDA,7.32,82724.92,1129558.14,66.06,0.01,11
2024-11-20,PLTR,6.37,71903.78,1129558.14,66.06,0.01,11
2024-11-20,QCOM,7.91,89349.27,1129558.14,66.06,0.01,11
2024-11-20,SPY,39.57,446937.53,1129558.14,66.06,0.01,11
2024-11-20,TSLA,10.56,119298.76,1129558.14,66.06,0.01,11
2024-11-27,AMZN,3.64,40992.96,1126657.04,94.15,0.01,11
2024-11-27,AVGO,8.96,100961.96,1126657.04,94.15,0.01,11
2024-11-27,CRM,2.37,26718.56,1126657.04,94.15,0.01,11
2024-11-27,GOOGL,1.98,22293.9,1126657.04,94.15,0.01,11
2024-11-27,META,2.73,30705.08,1126657.04,94.15,0.01,11
2024-11-27,MSFT,8.65,97489.57,1126657.04,94.15,0.01,11
2024-11-27,NVDA,6.81,76742.64,1126657.04,94.15,0.01,11
2024-11-27,PLTR,6.79,76452.75,1126657.04,94.15,0.01,11
2024-11-27,QCOM,8.04,90582.92,1126657.04,94.15,0.01,11
2024-11-27,SPY,39.97,450317.4,1126657.04,94.15,0.01,11
