review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2024-07-31,1005208.17,60.55,1005147.62,4,0.01,SPY,91.68
2024-08-07,938802.4,61.39,938741.0,6,0.01,SPY,88.51
2024-08-14,990226.43,59.54,990166.89,8,0.01,SPY,80.46
2024-08-21,1026500.82,59.41,1026441.41,8,0.01,SPY,76.21
2024-08-28,1014681.44,59.5,1014621.93,9,0.01,SPY,69.08
2024-09-04,994835.77,70.12,994765.65,11,0.01,SPY,63.2
2024-09-11,1012415.53,69.23,1012346.3,11,0.01,SPY,58.98
2024-09-18,1025523.38,68.39,1025454.99,11,0.01,SPY,53.9
2024-09-25,1062225.26,57.29,1062167.97,11,0.01,SPY,49.5
2024-10-02,1050297.6,68.4,1050229.2,11,0.01,SPY,48.45
2024-10-09,1079832.67,67.61,1079765.05,11,0.01,SPY,46.3
2024-10-16,1073687.56,67.66,1073619.91,11,0.01,SPY,45.48
2024-10-23,1065753.06,67.66,1065685.4,11,0.01,SPY,45.48
2024-10-30,1090893.47,67.66,1090825.82,11,0.01,SPY,44.58
2024-11-06,1127295.22,67.66,1127227.56,11,0.01,SPY,43.96
2024-11-13,1145212.36,71.03,1145141.33,11,0.01,SPY,42.45
2024-11-20,1129558.14,66.06,1129492.08,11,0.01,SPY,39.57
2024-11-27,1126657.04,94.15,1126562.9,11,0.01,SPY,39.97
2024-12-04,1174628.51,94.15,1174534.36,11,0.01,SPY,38.9
2024-12-11,1210993.9,63.89,1210930.0,11,0.01,SPY,36.22
2024-12-18,1146885.39,65.54,1146819.86,11,0.01,SPY,31.28
2024-12-25,1206817.47,51.73,1206765.74,11,0.0,SPY,28.59
2025-01-01,1148621.93,51.73,1148570.2,11,0.0,SPY,29.28
