review_date,ticker,weight_pct,market_value,portfolio_total,cash,cash_weight_pct,num_positions
2024-07-31,AMD,2.14,21487.72,1003850.6,70.06,0.01,4
2024-07-31,AVGO,2.15,21542.57,1003850.6,70.06,0.01,4
2024-07-31,NVDA,2.1,21121.19,1003850.6,70.06,0.01,4
2024-07-31,SPY,93.6,939629.06,1003850.6,70.06,0.01,4
2024-08-07,AVGO,1.94,18269.88,939338.7,61.4,0.01,6
2024-08-07,INTC,1.9,17869.11,939338.7,61.4,0.01,6
2024-08-07,MSFT,2.03,19075.86,939338.7,61.4,0.01,6
2024-08-07,NVDA,1.9,17852.47,939338.7,61.4,0.01,6
2024-08-07,QCOM,1.94,18248.83,939338.7,61.4,0.01,6
2024-08-07,SPY,90.27,847961.14,939338.7,61.4,0.01,6
2024-08-14,AMZN,1.95,19321.47,989736.67,59.62,0.01,8
2024-08-14,AVGO,2.14,21141.69,989736.67,59.62,0.01,8
2024-08-14,CRWD,2.0,19840.79,989736.67,59.62,0.01,8
2024-08-14,GOOGL,2.03,20056.37,989736.67,59.62,0.01,8
2024-08-14,MSFT,2.02,19958.25,989736.67,59.62,0.01,8
2024-08-14,NVDA,2.15,21312.51,989736.67,59.62,0.01,8
2024-08-14,QCOM,1.97,19538.11,989736.67,59.62,0.01,8
2024-08-14,SPY,85.73,848507.87,989736.67,59.62,0.01,8
2024-08-21,AMZN,2.0,20458.49,1024117.36,483.59,0.05,8
2024-08-21,AVGO,2.17,22226.33,1024117.36,483.59,0.05,8
2024-08-21,GOOGL,2.03,20741.71,1024117.36,483.59,0.05,8
2024-08-21,MSFT,1.99,20343.4,1024117.36,483.59,0.05,8
2024-08-21,NVDA,2.26,23193.24,1024117.36,483.59,0.05,8
2024-08-21,QCOM,1.99,20364.52,1024117.36,483.59,0.05,8
2024-08-21,SPY,85.42,874833.15,1024117.36,483.59,0.05,8
2024-08-21,TSLA,2.1,21472.91,1024117.36,483.59,0.05,8
2024-08-28,AMZN,1.91,19400.98,1014455.28,59.85,0.01,9
2024-08-28,AVGO,2.09,21207.39,1014455.28,59.85,0.01,9
2024-08-28,GOOGL,2.01,20366.52,1014455.28,59.85,0.01,9
2024-08-28,MSFT,1.94,19693.97,1014455.28,59.85,0.01,9
2024-08-28,NVDA,2.23,22671.62,1014455.28,59.85,0.01,9
2024-08-28,PLTR,1.96,19847.35,1014455.28,59.85,0.01,9
2024-08-28,QCOM,1.98,20087.5,1014455.28,59.85,0.01,9
2024-08-28,SPY,83.92,851332.16,1014455.28,59.85,0.01,9
2024-08-28,TSLA,1.95,19787.93,1014455.28,59.85,0.01,9
2024-09-04,AMZN,1.97,19688.36,999099.17,60.02,0.01,11
2024-09-04,AVGO,2.07,20663.05,999099.17,60.02,0.01,11
2024-09-04,CRM,2.01,20097.11,999099.17,60.02,0.01,11
2024-09-04,GOOGL,1.96,19566.11,999099.17,60.02,0.01,11
2024-09-04,META,1.98,19810.55,999099.17,60.02,0.01,11
2024-09-04,MSFT,1.96,19612.43,999099.17,60.02,0.01,11
2024-09-04,NVDA,1.92,19170.07,999099.17,60.02,0.01,11
2024-09-04,PLTR,2.0,19997.71,999099.17,60.02,0.01,11
2024-09-04,QCOM,1.93,19325.38,999099.17,60.02,0.01,11
2024-09-04,SPY,80.07,800006.71,999099.17,60.02,0.01,11
2024-09-04,TSLA,2.11,21101.68,999099.17,60.02,0.01,11
2024-09-11,AMZN,2.07,20959.42,1011924.29,60.02,0.01,11
2024-09-11,AVGO,2.1,21219.46,1011924.29,60.02,0.01,11
2024-09-11,CRM,2.0,20250.47,1011924.29,60.02,0.01,11
2024-09-11,GOOGL,1.87,18929.61,1011924.29,60.02,0.01,11
2024-09-11,META,1.95,19775.39,1011924.29,60.02,0.01,11
2024-09-11,MSFT,2.01,20290.64,1011924.29,60.02,0.01,11
2024-09-11,NVDA,2.09,21101.34,1011924.29,60.02,0.01,11
2024-09-11,PLTR,2.25,22782.62,1011924.29,60.02,0.01,11
2024-09-11,QCOM,1.93,19569.77,1011924.29,60.02,0.01,11
2024-09-11,SPY,79.56,805045.22,1011924.29,60.02,0.01,11
2024-09-11,TSLA,2.17,21940.32,1011924.29,60.02,0.01,11
2024-09-18,AMZN,2.06,21176.38,1025959.67,60.02,0.01,11
2024-09-18,AVGO,2.11,21675.3,1025959.67,60.02,0.01,11
2024-09-18,CRM,2.0,20514.69,1025959.67,60.02,0.01,11
2024-09-18,GOOGL,1.95,20012.85,1025959.67,60.02,0.01,11
2024-09-18,META,2.03,20804.41,1025959.67,60.02,0.01,11
2024-09-18,MSFT,2.01,20663.32,1025959.67,60.02,0.01,11
2024-09-18,NVDA,1.99,20464.15,1025959.67,60.02,0.01,11
2024-09-18,PLTR,2.32,23782.83,1025959.67,60.02,0.01,11
2024-09-18,QCOM,1.93,19774.2,1025959.67,60.02,0.01,11
2024-09-18,SPY,79.46,815180.65,1025959.67,60.02,0.01,11
2024-09-18,TSLA,2.13,21850.88,1025959.67,60.02,0.01,11
2024-09-25,AMZN,2.08,21869.27,1052056.97,60.02,0.01,11
2024-09-25,AVGO,2.24,23609.58,1052056.97,60.02,0.01,11
2024-09-25,CRM,2.12,22274.98,1052056.97,60.02,0.01,11
2024-09-25,GOOGL,1.92,20223.23,1052056.97,60.02,0.01,11
2024-09-25,META,2.09,21978.53,1052056.97,60.02,0.01,11
2024-09-25,MSFT,1.97,20725.67,1052056.97,60.02,0.01,11
2024-09-25,NVDA,2.12,22294.48,1052056.97,60.02,0.01,11
2024-09-25,PLTR,2.31,24266.59,1052056.97,60.02,0.01,11
2024-09-25,QCOM,1.88,19770.68,1052056.97,60.02,0.01,11
2024-09-25,SPY,78.92,830265.14,1052056.97,60.02,0.01,11
2024-09-25,TSLA,2.35,24718.81,1052056.97,60.02,0.01,11
2024-10-02,AMZN,2.0,20986.68,1047880.0,60.02,0.01,11
2024-10-02,AVGO,2.19,22955.85,1047880.0,60.02,0.01,11
2024-10-02,CRM,2.17,22713.01,1047880.0,60.02,0.01,11
2024-10-02,GOOGL,1.98,20770.49,1047880.0,60.02,0.01,11
2024-10-02,META,2.11,22152.56,1047880.0,60.02,0.01,11
2024-10-02,MSFT,1.91,20007.17,1047880.0,60.02,0.01,11
2024-10-02,NVDA,2.05,21453.33,1047880.0,60.02,0.01,11
2024-10-02,PLTR,2.34,24508.47,1047880.0,60.02,0.01,11
2024-10-02,QCOM,1.89,19776.55,1047880.0,60.02,0.01,11
2024-10-02,SPY,79.07,828546.45,1047880.0,60.02,0.01,11
2024-10-02,TSLA,2.29,23949.41,1047880.0,60.02,0.01,11
2024-10-09,AMZN,1.97,21033.25,1068563.32,60.02,0.01,11
2024-10-09,AVGO,2.34,25012.54,1068563.32,60.02,0.01,11
2024-10-09,CRM,2.19,23398.92,1068563.32,60.02,0.01,11
2024-10-09,GOOGL,1.9,20269.56,1068563.32,60.02,0.01,11
2024-10-09,META,2.14,22837.09,1068563.32,60.02,0.01,11
2024-10-09,MSFT,1.87,20023.0,1068563.32,60.02,0.01,11
2024-10-09,NVDA,2.24,23944.33,1068563.32,60.02,0.01,11
2024-10-09,PLTR,2.64,28195.53,1068563.32,60.02,0.01,11
2024-10-09,QCOM,1.87,19999.8,1068563.32,60.02,0.01,11
2024-10-09,SPY,78.67,840606.38,1068563.32,60.02,0.01,11
2024-10-09,TSLA,2.17,23182.9,1068563.32,60.02,0.01,11
2024-10-16,AMZN,1.98,21228.63,1073124.47,60.02,0.01,11
2024-10-16,AVGO,2.22,23784.44,1073124.47,60.02,0.01,11
2024-10-16,CRM,2.2,23637.85,1073124.47,60.02,0.01,11
2024-10-16,GOOGL,1.93,20682.83,1073124.47,60.02,0.01,11
2024-10-16,META,2.08,22306.48,1073124.47,60.02,0.01,11
2024-10-16,MSFT,1.86,19958.73,1073124.47,60.02,0.01,11
2024-10-16,NVDA,2.28,24498.49,1073124.47,60.02,0.01,11
2024-10-16,PLTR,2.55,27411.05,1073124.47,60.02,0.01,11
2024-10-16,QCOM,1.88,20147.83,1073124.47,60.02,0.01,11
2024-10-16,SPY,79.03,848121.79,1073124.47,60.02,0.01,11
2024-10-16,TSLA,1.98,21286.34,1073124.47,60.02,0.01,11
2024-10-23,AMZN,1.97,20981.0,1065046.33,60.02,0.01,11
2024-10-23,AVGO,2.19,23339.2,1065046.33,60.02,0.01,11
2024-10-23,CRM,2.17,23115.29,1065046.33,60.02,0.01,11
2024-10-23,GOOGL,1.91,20384.77,1065046.33,60.02,0.01,11
2024-10-23,META,2.05,21799.86,1065046.33,60.02,0.01,11
2024-10-23,MSFT,1.91,20365.46,1065046.33,60.02,0.01,11
2024-10-23,NVDA,2.37,25191.64,1065046.33,60.02,0.01,11
2024-10-23,PLTR,2.61,27842.52,1065046.33,60.02,0.01,11
2024-10-23,QCOM,1.84,19574.46,1065046.33,60.02,0.01,11
2024-10-23,SPY,79.04,841844.39,1065046.33,60.02,0.01,11
2024-10-23,TSLA,1.93,20547.71,1065046.33,60.02,0.01,11
2024-10-30,AMZN,2.03,21891.99,1078244.79,60.02,0.01,11
2024-10-30,AVGO,2.2,23760.23,1078244.79,60.02,0.01,11
2024-10-30,CRM,2.23,24088.08,1078244.79,60.02,0.01,11
2024-10-30,GOOGL,2.03,21847.46,1078244.79,60.02,0.01,11
2024-10-30,META,2.12,22886.97,1078244.79,60.02,0.01,11
2024-10-30,MSFT,1.92,20745.82,1078244.79,60.02,0.01,11
2024-10-30,NVDA,2.33,25151.93,1078244.79,60.02,0.01,11
2024-10-30,PLTR,2.65,28561.62,1078244.79,60.02,0.01,11
2024-10-30,QCOM,1.83,19694.31,1078244.79,60.02,0.01,11
2024-10-30,SPY,78.35,844786.59,1078244.79,60.02,0.01,11
2024-10-30,TSLA,2.3,24769.78,1078244.79,60.02,0.01,11
2024-11-06,AMZN,2.12,23523.12,1108568.74,60.02,0.01,11
2024-11-06,AVGO,2.18,24151.67,1108568.74,60.02,0.01,11
2024-11-06,CRM,2.25,24941.4,1108568.74,60.02,0.01,11
2024-11-06,GOOGL,1.99,22104.17,1108568.74,60.02,0.01,11
2024-11-06,META,2.0,22123.17,1108568.74,60.02,0.01,11
2024-11-06,MSFT,1.82,20153.46,1108568.74,60.02,0.01,11
2024-11-06,NVDA,2.37,26283.71,1108568.74,60.02,0.01,11
2024-11-06,PLTR,3.27,36301.83,1108568.74,60.02,0.01,11
2024-11-06,QCOM,1.83,20325.25,1108568.74,60.02,0.01,11
2024-11-06,SPY,77.65,860851.66,1108568.74,60.02,0.01,11
2024-11-06,TSLA,2.5,27749.27,1108568.74,60.02,0.01,11
2024-11-13,AMZN,2.16,24319.38,1127227.83,60.02,0.01,11
2024-11-13,AVGO,2.07,23348.62,1127227.83,60.02,0.01,11
2024-11-13,CRM,2.46,27771.18,1127227.83,60.02,0.01,11
2024-11-13,GOOGL,1.99,22400.96,1127227.83,60.02,0.01,11
2024-11-13,META,1.99,22430.62,1127227.83,60.02,0.01,11
2024-11-13,MSFT,1.81,20394.24,1127227.83,60.02,0.01,11
2024-11-13,NVDA,2.34,26402.84,1127227.83,60.02,0.01,11
2024-11-13,PLTR,3.52,39681.63,1127227.83,60.02,0.01,11
2024-11-13,QCOM,1.67,18848.35,1127227.83,60.02,0.01,11
2024-11-13,SPY,77.16,869809.26,1127227.83,60.02,0.01,11
2024-11-13,TSLA,2.82,31760.72,1127227.83,60.02,0.01,11
2024-11-20,AMZN,2.07,23044.91,1113400.03,60.02,0.01,11
2024-11-20,AVGO,1.97,21959.11,1113400.03,60.02,0.01,11
2024-11-20,CRM,2.38,26469.26,1113400.03,60.02,0.01,11
2024-11-20,GOOGL,1.98,22037.79,1113400.03,60.02,0.01,11
2024-11-20,META,1.96,21870.63,1113400.03,60.02,0.01,11
2024-11-20,MSFT,1.79,19928.51,1113400.03,60.02,0.01,11
2024-11-20,NVDA,2.37,26334.26,1113400.03,60.02,0.01,11
2024-11-20,PLTR,3.65,40609.93,1113400.03,60.02,0.01,11
2024-11-20,QCOM,1.63,18125.77,1113400.03,60.02,0.01,11
2024-11-20,SPY,77.25,860065.21,1113400.03,60.02,0.01,11
2024-11-20,TSLA,2.95,32894.62,1113400.03,60.02,0.01,11
2024-11-27,AMZN,2.08,23369.78,1125459.52,60.02,0.01,11
2024-11-27,AVGO,1.91,21477.55,1125459.52,60.02,0.01,11
2024-11-27,CRM,2.38,26819.52,1125459.52,60.02,0.01,11
2024-11-27,GOOGL,1.88,21192.5,1125459.52,60.02,0.01,11
2024-11-27,META,1.96,22012.95,1125459.52,60.02,0.01,11
2024-11-27,MSFT,1.81,20328.85,1125459.52,60.02,0.01,11
2024-11-27,NVDA,2.17,24429.89,1125459.52,60.02,0.01,11
