review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2024-07-31,1003850.6,70.06,1003780.53,4,0.01,SPY,93.6
2024-08-07,939338.7,61.4,939277.3,6,0.01,SPY,90.27
2024-08-14,989736.67,59.62,989677.06,8,0.01,SPY,85.73
2024-08-21,1024117.36,483.59,1023633.76,8,0.05,SPY,85.42
2024-08-28,1014455.28,59.85,1014395.43,9,0.01,SPY,83.92
2024-09-04,999099.17,60.02,999039.15,11,0.01,SPY,80.07
2024-09-11,1011924.29,60.02,1011864.27,11,0.01,SPY,79.56
2024-09-18,1025959.67,60.02,1025899.65,11,0.01,SPY,79.46
2024-09-25,1052056.97,60.02,1051996.95,11,0.01,SPY,78.92
2024-10-02,1047880.0,60.02,1047819.98,11,0.01,SPY,79.07
2024-10-09,1068563.32,60.02,1068503.3,11,0.01,SPY,78.67
2024-10-16,1073124.47,60.02,1073064.45,11,0.01,SPY,79.03
2024-10-23,1065046.33,60.02,1064986.31,11,0.01,SPY,79.04
2024-10-30,1078244.79,60.02,1078184.77,11,0.01,SPY,78.35
2024-11-06,1108568.74,60.02,1108508.72,11,0.01,SPY,77.65
2024-11-13,1127227.83,60.02,1127167.81,11,0.01,SPY,77.16
2024-11-20,1113400.03,60.02,1113340.01,11,0.01,SPY,77.25
2024-11-27,1125459.52,60.02,1125399.5,11,0.01,SPY,77.5
2024-12-04,1154811.04,60.02,1154751.02,11,0.01,SPY,76.64
2024-12-11,1167287.33,60.02,1167227.31,11,0.01,SPY,75.8
2024-12-18,1134724.94,60.02,1134664.92,11,0.01,SPY,75.25
2024-12-25,1176842.43,60.02,1176782.41,11,0.01,SPY,74.67
2025-01-01,1137270.28,60.02,1137210.26,11,0.01,SPY,75.31
