review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,prior_weight,new_weight,weight_change,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct
2024-07-31,NVDA,initiate,68.8,68.8,high,0.0,3.48,3.48,116.96,-14.16,8.74,3.75
2024-07-31,COST,initiate,58.6,58.6,medium,0.0,1.98,1.98,815.53,-2.45,6.59,7.74
2024-07-31,LLY,initiate,45.1,45.1,medium,0.0,1.9,1.9,794.56,-3.61,18.28,9.29
2024-08-07,CAT,initiate,58.5,66.2,medium,0.0,1.99,1.99,319.06,3.14,7.77,21.88
2024-08-07,AMD,initiate,61.9,64.5,medium,0.0,2.23,2.23,128.67,6.3,16.97,32.82
2024-08-07,HD,initiate,57.2,57.2,medium,0.0,2.02,2.02,328.12,1.0,8.99,19.99
2024-08-07,NVDA,hold,68.8,0.0,high,3.48,3.48,0.0,98.86,10.22,29.71,26.31
2024-08-07,COST,hold,58.6,0.0,medium,1.98,1.98,0.0,803.93,6.57,12.17,8.99
2024-08-07,LLY,hold,45.1,0.0,medium,1.9,1.9,0.0,762.82,14.54,23.79,15.06
2024-08-14,AVGO,initiate,72.2,72.2,high,0.0,3.59,3.59,155.35,6.35,-3.11,15.47
2024-08-14,TSLA,initiate,64.6,64.6,medium,0.0,2.59,2.59,201.38,10.6,4.58,8.15
2024-08-14,AMD,add,61.9,55.0,medium,2.23,3.78,1.55,140.75,10.32,-2.71,19.28
2024-08-14,NVDA,add,68.8,55.0,high,3.14,5.03,1.89,118.02,10.09,-8.54,14.17
2024-08-14,CAT,hold,56.1,0.0,medium,1.99,1.99,0.0,330.6,2.09,0.78,19.09
2024-08-14,HD,hold,54.9,0.0,medium,2.02,2.02,0.0,340.83,2.08,3.18,16.52
2024-08-14,LLY,hold,61.0,0.0,medium,1.95,1.95,0.0,920.43,-0.92,2.81,0.18
2024-08-14,COST,hold,58.6,0.0,medium,2.08,2.08,0.0,855.92,1.12,1.84,3.05
2024-08-21,AMD,add,65.0,60.1,high,3.78,5.61,1.83,157.81,-4.96,-9.49,-1.17
2024-08-21,TSLA,add,64.6,55.0,medium,2.59,4.33,1.74,223.27,-4.51,1.3,-1.15
2024-08-21,NVDA,add,68.8,55.0,high,5.03,6.79,1.76,128.44,-1.59,-15.88,7.4
2024-08-21,CAT,hold,58.5,0.0,medium,1.96,1.96,0.0,335.87,2.39,-2.57,14.84
