ticker,action_count,initiate_count,exit_count,hold_count,avg_forward_5d_pct,avg_forward_20d_pct,avg_forward_60d_pct,doc_count,claim_count,price_coverage_pct
AMD,22,1,1,18,0.94,-1.36,-5.21,8,28,97.3
AVGO,21,1,0,18,2.37,7.14,12.99,9,31,97.3
CAT,22,1,0,21,0.88,1.57,6.48,7,15,97.3
COST,23,1,0,22,0.34,2.04,5.31,9,18,97.3
CRM,0,0,0,0,,,,8,23,97.3
GS,0,0,0,0,,,,0,0,97.3
HD,22,1,0,21,0.8,2.34,6.82,9,29,97.3
JPM,0,0,0,0,,,,0,0,97.3
LLY,23,1,0,22,-0.25,-0.32,-6.76,10,15,97.3
META,18,1,0,17,0.33,3.48,4.86,6,18,97.3
NVDA,23,1,0,20,0.2,2.89,11.2,7,12,97.3
PLTR,19,1,0,18,3.38,17.7,68.2,6,16,97.3
TSLA,21,1,0,18,2.99,13.6,44.02,7,18,97.3
UNH,0,0,0,0,,,,9,23,97.3
XOM,0,0,0,0,,,,9,15,97.3
