review_date,ticker,weight_pct,market_value,portfolio_total,cash,cash_weight_pct,num_positions
2024-07-31,COST,1.98,19834.6,1000406.1,60.56,0.01,4
2024-07-31,LLY,1.9,19043.81,1000406.1,60.56,0.01,4
2024-07-31,NVDA,3.48,34850.65,1000406.1,60.56,0.01,4
2024-07-31,SPY,92.62,926616.49,1000406.1,60.56,0.01,4
2024-08-07,AMD,2.23,20933.32,938970.21,61.39,0.01,7
2024-08-07,CAT,1.99,18691.53,938970.21,61.39,0.01,7
2024-08-07,COST,2.08,19552.28,938970.21,61.39,0.01,7
2024-08-07,HD,2.02,18955.4,938970.21,61.39,0.01,7
2024-08-07,LLY,1.95,18283.03,938970.21,61.39,0.01,7
2024-08-07,NVDA,3.14,29457.19,938970.21,61.39,0.01,7
2024-08-07,SPY,86.59,813036.08,938970.21,61.39,0.01,7
2024-08-14,AMD,3.78,37376.13,989046.53,69.66,0.01,9
2024-08-14,AVGO,3.59,35493.4,989046.53,69.66,0.01,9
2024-08-14,CAT,1.96,19367.94,989046.53,69.66,0.01,9
2024-08-14,COST,2.1,20816.91,989046.53,69.66,0.01,9
2024-08-14,HD,1.99,19689.48,989046.53,69.66,0.01,9
2024-08-14,LLY,2.23,22060.67,989046.53,69.66,0.01,9
2024-08-14,NVDA,5.03,49733.61,989046.53,69.66,0.01,9
2024-08-14,SPY,76.72,758779.72,989046.53,69.66,0.01,9
2024-08-14,TSLA,2.59,25659.01,989046.53,69.66,0.01,9
2024-08-21,AMD,5.61,57755.57,1029866.17,69.5,0.01,9
2024-08-21,AVGO,3.62,37314.32,1029866.17,69.5,0.01,9
2024-08-21,CAT,1.91,19676.59,1029866.17,69.5,0.01,9
2024-08-21,COST,2.07,21268.38,1029866.17,69.5,0.01,9
2024-08-21,HD,1.99,20508.81,1029866.17,69.5,0.01,9
2024-08-21,LLY,2.19,22572.6,1029866.17,69.5,0.01,9
2024-08-21,NVDA,6.79,69943.02,1029866.17,69.5,0.01,9
2024-08-21,SPY,71.48,736162.2,1029866.17,69.5,0.01,9
2024-08-21,TSLA,4.33,44595.17,1029866.17,69.5,0.01,9
2024-08-28,AMD,5.27,53565.08,1015901.57,59.52,0.01,10
2024-08-28,AVGO,3.5,35603.68,1015901.57,59.52,0.01,10
2024-08-28,CAT,1.97,19976.65,1015901.57,59.52,0.01,10
2024-08-28,COST,2.11,21428.36,1015901.57,59.52,0.01,10
2024-08-28,HD,2.03,20632.27,1015901.57,59.52,0.01,10
2024-08-28,LLY,2.21,22500.76,1015901.57,59.52,0.01,10
2024-08-28,NVDA,6.73,68369.99,1015901.57,59.52,0.01,10
2024-08-28,PLTR,1.95,19809.05,1015901.57,59.52,0.01,10
2024-08-28,SPY,70.17,712860.42,1015901.57,59.52,0.01,10
2024-08-28,TSLA,4.05,41095.79,1015901.57,59.52,0.01,10
2024-09-04,AMD,5.19,51555.84,993848.3,70.14,0.01,11
2024-09-04,AVGO,3.49,34689.85,993848.3,70.14,0.01,11
2024-09-04,CAT,1.94,19319.75,993848.3,70.14,0.01,11
2024-09-04,COST,2.16,21475.89,993848.3,70.14,0.01,11
2024-09-04,HD,2.04,20310.9,993848.3,70.14,0.01,11
2024-09-04,LLY,2.26,22438.4,993848.3,70.14,0.01,11
2024-09-04,META,2.48,24641.31,993848.3,70.14,0.01,11
2024-09-04,NVDA,5.82,57810.47,993848.3,70.14,0.01,11
2024-09-04,PLTR,2.01,19959.12,993848.3,70.14,0.01,11
2024-09-04,SPY,66.77,663546.28,993848.3,70.14,0.01,11
2024-09-04,TSLA,5.84,58030.34,993848.3,70.14,0.01,11
2024-09-11,AMD,5.42,54846.02,1012744.78,84.61,0.01,11
2024-09-11,AVGO,4.25,43009.65,1012744.78,84.61,0.01,11
2024-09-11,CAT,1.9,19219.35,1012744.78,84.61,0.01,11
2024-09-11,COST,2.15,21726.36,1012744.78,84.61,0.01,11
2024-09-11,HD,2.04,20635.05,1012744.78,84.61,0.01,11
2024-09-11,LLY,2.16,21835.65,1012744.78,84.61,0.01,11
2024-09-11,META,2.43,24597.57,1012744.78,84.61,0.01,11
2024-09-11,NVDA,6.28,63634.55,1012744.78,84.61,0.01,11
2024-09-11,PLTR,2.25,22738.65,1012744.78,84.61,0.01,11
2024-09-11,SPY,65.18,660080.66,1012744.78,84.61,0.01,11
2024-09-11,TSLA,5.96,60336.64,1012744.78,84.61,0.01,11
2024-09-18,AMD,5.31,54271.43,1022676.25,84.25,0.01,11
2024-09-18,AVGO,5.04,51506.57,1022676.25,84.25,0.01,11
2024-09-18,CAT,1.99,20373.66,1022676.25,84.25,0.01,11
2024-09-18,COST,2.11,21536.22,1022676.25,84.25,0.01,11
2024-09-18,HD,2.09,21388.07,1022676.25,84.25,0.01,11
2024-09-18,LLY,2.1,21458.17,1022676.25,84.25,0.01,11
2024-09-18,META,2.53,25877.52,1022676.25,84.25,0.01,11
2024-09-18,NVDA,6.03,61713.0,1022676.25,84.25,0.01,11
2024-09-18,PLTR,2.32,23736.94,1022676.25,84.25,0.01,11
2024-09-18,SPY,64.6,660639.77,1022676.25,84.25,0.01,11
2024-09-18,TSLA,5.88,60090.67,1022676.25,84.25,0.01,11
2024-09-25,AMD,5.58,59296.36,1062766.95,84.25,0.01,11
2024-09-25,AVGO,5.28,56102.96,1062766.95,84.25,0.01,11
2024-09-25,CAT,2.04,21700.65,1062766.95,84.25,0.01,11
2024-09-25,COST,2.06,21919.88,1062766.95,84.25,0.01,11
2024-09-25,HD,2.08,22107.67,1062766.95,84.25,0.01,11
2024-09-25,LLY,2.06,21922.67,1062766.95,84.25,0.01,11
2024-09-25,META,2.57,27337.95,1062766.95,84.25,0.01,11
2024-09-25,NVDA,6.33,67232.66,1062766.95,84.25,0.01,11
2024-09-25,PLTR,2.28,24219.77,1062766.95,84.25,0.01,11
2024-09-25,SPY,63.31,672864.56,1062766.95,84.25,0.01,11
2024-09-25,TSLA,6.4,67977.57,1062766.95,84.25,0.01,11
2024-10-02,AMD,5.54,58476.56,1054995.49,84.25,0.01,11
2024-10-02,AVGO,5.17,54549.51,1054995.49,84.25,0.01,11
2024-10-02,CAT,2.14,22607.12,1054995.49,84.25,0.01,11
2024-10-02,COST,2.01,21198.65,1054995.49,84.25,0.01,11
2024-10-02,HD,2.17,22905.81,1054995.49,84.25,0.01,11
2024-10-02,LLY,2.0,21128.58,1054995.49,84.25,0.01,11
2024-10-02,META,2.61,27554.41,1054995.49,84.25,0.01,11
2024-10-02,NVDA,6.13,64696.02,1054995.49,84.25,0.01,11
2024-10-02,PLTR,2.32,24461.18,1054995.49,84.25,0.01,11
2024-10-02,SPY,63.65,671471.7,1054995.49,84.25,0.01,11
2024-10-02,TSLA,6.24,65861.7,1054995.49,84.25,0.01,11
2024-10-09,AMD,5.77,62590.19,1085513.62,84.25,0.01,11
2024-10-09,AVGO,5.48,59436.79,1085513.62,84.25,0.01,11
2024-10-09,CAT,2.09,22729.89,1085513.62,84.25,0.01,11
2024-10-09,COST,2.02,21936.29,1085513.62,84.25,0.01,11
2024-10-09,HD,2.13,23173.71,1085513.62,84.25,0.01,11
2024-10-09,LLY,2.01,21808.38,1085513.62,84.25,0.01,11
2024-10-09,META,2.62,28405.86,1085513.62,84.25,0.01,11
2024-10-09,NVDA,6.65,72208.04,1085513.62,84.25,0.01,11
2024-10-09,PLTR,2.59,28141.12,1085513.62,84.25,0.01,11
2024-10-09,SPY,62.76,681245.33,1085513.62,84.25,0.01,11
2024-10-09,TSLA,5.87,63753.77,1085513.62,84.25,0.01,11
2024-10-16,AMD,5.3,57140.73,1077640.44,84.25,0.01,11
2024-10-16,AVGO,5.24,56518.51,1077640.44,84.25,0.01,11
2024-10-16,CAT,2.1,22582.45,1077640.44,84.25,0.01,11
2024-10-16,COST,1.99,21412.19,1077640.44,84.25,0.01,11
2024-10-16,HD,2.16,23315.17,1077640.44,84.25,0.01,11
2024-10-16,LLY,2.02,21729.66,1077640.44,84.25,0.01,11
2024-10-16,META,2.57,27745.87,1077640.44,84.25,0.01,11
2024-10-16,NVDA,6.86,73879.2,1077640.44,84.25,0.01,11
2024-10-16,PLTR,2.54,27358.16,1077640.44,84.25,0.01,11
2024-10-16,SPY,63.78,687336.09,1077640.44,84.25,0.01,11
2024-10-16,TSLA,5.43,58538.15,1077640.44,84.25,0.01,11
2024-10-23,AMD,5.24,55962.26,1068718.52,84.25,0.01,11
2024-10-23,AVGO,5.19,55460.47,1068718.52,84.25,0.01,11
2024-10-23,CAT,2.08,22209.3,1068718.52,84.25,0.01,11
2024-10-23,COST,2.03,21696.68,1068718.52,84.25,0.01,11
2024-10-23,HD,2.08,22258.61,1068718.52,84.25,0.01,11
2024-10-23,LLY,2.0,21417.38,1068718.52,84.25,0.01,11
2024-10-23,META,2.54,27115.71,1068718.52,84.25,0.01,11
2024-10-23,NVDA,7.11,75969.52,1068718.52,84.25,0.01,11
2024-10-23,PLTR,2.6,27788.79,1068718.52,84.25,0.01,11
2024-10-23,SPY,63.84,682248.63,1068718.52,84.25,0.01,11
2024-10-23,TSLA,5.29,56506.92,1068718.52,84.25,0.01,11
2024-10-30,AMD,5.03,54384.88,1081494.47,84.25,0.01,11
2024-10-30,AVGO,5.22,56460.95,1081494.47,84.25,0.01,11
2024-10-30,CAT,2.02,21835.62,1081494.47,84.25,0.01,11
2024-10-30,COST,1.96,21212.16,1081494.47,84.25,0.01,11
2024-10-30,HD,2.02,21862.04,1081494.47,84.25,0.01,11
2024-10-30,LLY,1.86,20079.58,1081494.47,84.25,0.01,11
2024-10-30,META,2.63,28467.91,1081494.47,84.25,0.01,11
