review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2024-07-31,1000406.1,60.56,1000345.55,4,0.01,SPY,92.62
2024-08-07,938970.21,61.39,938908.82,7,0.01,SPY,86.59
2024-08-14,989046.53,69.66,988976.87,9,0.01,SPY,76.72
2024-08-21,1029866.17,69.5,1029796.67,9,0.01,SPY,71.48
2024-08-28,1015901.57,59.52,1015842.05,10,0.01,SPY,70.17
2024-09-04,993848.3,70.14,993778.16,11,0.01,SPY,66.77
2024-09-11,1012744.78,84.61,1012660.17,11,0.01,SPY,65.18
2024-09-18,1022676.25,84.25,1022592.0,11,0.01,SPY,64.6
2024-09-25,1062766.95,84.25,1062682.71,11,0.01,SPY,63.31
2024-10-02,1054995.49,84.25,1054911.24,11,0.01,SPY,63.65
2024-10-09,1085513.62,84.25,1085429.37,11,0.01,SPY,62.76
2024-10-16,1077640.44,84.25,1077556.19,11,0.01,SPY,63.78
2024-10-23,1068718.52,84.25,1068634.27,11,0.01,SPY,63.84
2024-10-30,1081494.47,84.25,1081410.22,11,0.01,SPY,63.3
2024-11-06,1113326.06,84.25,1113241.81,11,0.01,SPY,62.66
2024-11-13,1132873.21,84.25,1132788.97,11,0.01,SPY,62.22
2024-11-20,1121813.87,84.25,1121729.62,11,0.01,SPY,62.13
2024-11-27,1129137.84,84.25,1129053.59,11,0.01,SPY,62.6
2024-12-04,1163957.5,84.25,1163873.25,11,0.01,SPY,61.62
2024-12-11,1178160.35,84.25,1178076.1,11,0.01,SPY,60.86
2024-12-18,1154496.49,84.25,1154412.25,11,0.01,SPY,59.94
2024-12-25,1202289.42,84.25,1202205.17,11,0.01,SPY,59.23
2025-01-01,1153310.82,84.25,1153226.57,11,0.01,SPY,60.19
