review_date,ticker,weight_pct,market_value,portfolio_total,cash,cash_weight_pct,num_positions
2024-07-31,COST,1.98,19834.85,999699.64,70.06,0.01,4
2024-07-31,LLY,1.91,19044.89,999699.64,70.06,0.01,4
2024-07-31,NVDA,2.11,21120.76,999699.64,70.06,0.01,4
2024-07-31,SPY,93.99,939629.07,999699.64,70.06,0.01,4
2024-08-07,AMD,1.94,18207.25,939731.06,61.38,0.01,7
2024-08-07,CAT,1.99,18696.01,939731.06,61.38,0.01,7
2024-08-07,COST,2.08,19552.53,939731.06,61.38,0.01,7
2024-08-07,HD,2.02,18960.06,939731.06,61.38,0.01,7
2024-08-07,LLY,1.95,18284.06,939731.06,61.38,0.01,7
2024-08-07,NVDA,1.9,17852.11,939731.06,61.38,0.01,7
2024-08-07,SPY,88.12,828117.66,939731.06,61.38,0.01,7
2024-08-14,AMD,2.01,19916.61,989786.33,59.59,0.01,9
2024-08-14,AVGO,1.94,19158.21,989786.33,59.59,0.01,9
2024-08-14,CAT,1.96,19372.58,989786.33,59.59,0.01,9
2024-08-14,COST,2.1,20817.19,989786.33,59.59,0.01,9
2024-08-14,HD,1.99,19694.31,989786.33,59.59,0.01,9
2024-08-14,LLY,2.23,22061.92,989786.33,59.59,0.01,9
2024-08-14,NVDA,2.15,21312.08,989786.33,59.59,0.01,9
2024-08-14,SPY,83.7,828413.67,989786.33,59.59,0.01,9
2024-08-14,TSLA,1.92,18980.16,989786.33,59.59,0.01,9
2024-08-21,AMD,2.18,22330.66,1024920.48,59.59,0.01,9
2024-08-21,AVGO,1.97,20141.09,1024920.48,59.59,0.01,9
2024-08-21,CAT,1.92,19681.31,1024920.48,59.59,0.01,9
2024-08-21,COST,2.08,21268.66,1024920.48,59.59,0.01,9
2024-08-21,HD,2.0,20513.85,1024920.48,59.59,0.01,9
2024-08-21,LLY,2.2,22573.88,1024920.48,59.59,0.01,9
2024-08-21,NVDA,2.26,23192.76,1024920.48,59.59,0.01,9
2024-08-21,SPY,83.33,854115.38,1024920.48,59.59,0.01,9
2024-08-21,TSLA,2.05,21043.31,1024920.48,59.59,0.01,9
2024-08-28,AMD,2.04,20710.45,1016723.3,59.35,0.01,10
2024-08-28,AVGO,1.89,19217.74,1016723.3,59.35,0.01,10
2024-08-28,CAT,1.97,19981.44,1016723.3,59.35,0.01,10
2024-08-28,COST,2.11,21428.64,1016723.3,59.35,0.01,10
2024-08-28,HD,2.03,20637.34,1016723.3,59.35,0.01,10
2024-08-28,LLY,2.21,22502.03,1016723.3,59.35,0.01,10
