review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2024-07-31,999699.64,70.06,999629.57,4,0.01,SPY,93.99
2024-08-07,939731.06,61.38,939669.67,7,0.01,SPY,88.12
2024-08-14,989786.33,59.59,989726.73,9,0.01,SPY,83.7
2024-08-21,1024920.48,59.59,1024860.88,9,0.01,SPY,83.33
2024-08-28,1016723.3,59.35,1016663.96,10,0.01,SPY,81.66
2024-09-04,1001218.56,60.01,1001158.56,11,0.01,SPY,79.83
2024-09-11,1013408.58,60.01,1013348.58,11,0.01,SPY,79.36
2024-09-18,1026372.1,60.01,1026312.09,11,0.01,SPY,79.35
2024-09-25,1054333.16,60.01,1054273.16,11,0.01,SPY,78.67
2024-10-02,1050717.7,60.01,1050657.69,11,0.01,SPY,78.78
2024-10-09,1074147.66,60.01,1074087.65,11,0.01,SPY,78.18
2024-10-16,1075206.02,60.01,1075146.01,11,0.01,SPY,78.8
2024-10-23,1066512.38,60.01,1066452.37,11,0.01,SPY,78.86
2024-10-30,1072536.32,60.01,1072476.31,11,0.01,SPY,78.69
2024-11-06,1100270.45,60.01,1100210.44,11,0.01,SPY,78.17
2024-11-13,1116587.5,60.01,1116527.49,11,0.01,SPY,77.82
2024-11-20,1104385.67,60.01,1104325.66,11,0.01,SPY,77.8
2024-11-27,1120382.15,60.01,1120322.14,11,0.01,SPY,77.77
2024-12-04,1145496.24,60.01,1145436.24,11,0.01,SPY,77.19
2024-12-11,1150819.28,60.01,1150759.27,11,0.01,SPY,76.81
2024-12-18,1116801.6,60.01,1116741.59,11,0.01,SPY,76.39
2024-12-25,1156921.37,60.01,1156861.36,11,0.01,SPY,75.88
2025-01-01,1118834.72,60.01,1118774.72,11,0.01,SPY,76.48
