review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,prior_weight,new_weight,weight_change,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct
2024-07-31,NVDA,initiate,68.8,68.8,high,0.0,3.47,3.47,116.96,-14.16,8.74,3.75
2024-07-31,AVGO,initiate,67.0,67.0,high,0.0,3.21,3.21,158.29,-11.58,3.28,7.83
2024-07-31,AMD,initiate,56.7,63.0,medium,0.0,2.14,2.14,144.48,-6.69,8.25,13.75
2024-08-07,AMD,exit,54.4,86.0,medium,2.14,0.0,-2.14,128.67,6.3,16.97,32.82
2024-08-07,INTC,initiate,60.5,64.6,medium,0.0,2.0,2.0,18.99,1.95,5.69,18.96
2024-08-07,QCOM,initiate,50.0,50.0,medium,0.0,1.94,1.94,150.16,4.34,11.41,8.75
2024-08-07,MSFT,initiate,50.0,50.0,medium,0.0,2.03,2.03,393.11,2.1,4.05,4.61
2024-08-07,AVGO,hold,67.0,0.0,high,3.21,3.21,0.0,134.25,9.06,18.43,30.05
2024-08-07,NVDA,hold,68.8,0.0,high,3.47,3.47,0.0,98.86,10.22,29.71,26.31
2024-08-14,INTC,exit,60.5,86.0,medium,2.0,0.0,-2.0,19.92,8.03,0.9,18.27
2024-08-14,CRWD,initiate,66.7,66.7,high,0.0,3.01,3.01,256.22,4.12,4.05,24.97
2024-08-14,GOOGL,initiate,61.6,61.6,medium,0.0,2.23,2.23,159.24,3.93,-1.88,1.92
2024-08-14,AVGO,add,67.0,55.0,high,2.92,4.65,1.73,155.35,6.35,-3.11,15.47
2024-08-14,NVDA,add,68.8,55.0,high,3.14,5.02,1.88,118.02,10.09,-8.54,14.17
2024-08-14,AMZN,initiate,50.0,50.0,medium,0.0,1.96,1.96,170.1,4.77,3.62,11.01
2024-08-14,MSFT,hold,50.0,0.0,medium,2.03,2.03,0.0,411.3,1.3,-1.6,0.05
2024-08-14,QCOM,hold,58.9,0.0,medium,1.94,1.94,0.0,160.77,4.25,-2.34,2.22
2024-08-21,CRWD,exit,66.7,86.0,high,3.01,0.0,-3.01,273.21,-2.69,-9.32,13.52
2024-08-21,TSLA,initiate,62.4,62.4,medium,0.0,2.41,2.41,223.27,-4.51,1.3,-1.15
2024-08-21,AVGO,add,67.0,55.0,high,4.65,6.22,1.57,163.32,-3.72,-10.6,8.87
2024-08-21,MSFT,add,64.5,55.0,medium,2.01,3.49,1.47,419.24,-2.51,-2.34,-1.41
2024-08-21,QCOM,add,61.3,55.0,medium,1.97,3.51,1.53,167.57,-2.71,-6.72,-1.39
2024-08-21,NVDA,add,68.8,55.0,high,5.02,6.8,1.78,128.44,-1.59,-15.88,7.4
2024-08-21,GOOGL,hold,61.6,0.0,medium,2.23,2.23,0.0,164.68,0.19,-10.25,-1.33
2024-08-21,AMZN,hold,50.0,0.0,medium,1.96,1.96,0.0,180.11,-2.56,-0.31,4.93
2024-08-28,PLTR,initiate,60.6,60.6,medium,0.0,2.05,2.05,30.36,3.69,20.06,47.76
2024-08-28,QCOM,add,61.3,55.0,medium,3.51,5.02,1.51,165.29,2.01,-1.33,-0.41
2024-08-28,AVGO,hold,67.0,0.0,high,6.22,6.22,0.0,155.83,2.93,2.71,9.73
2024-08-28,MSFT,hold,64.5,0.0,medium,3.49,3.49,0.0,405.85,1.59,5.98,4.27
2024-08-28,TSLA,hold,62.4,0.0,medium,2.41,2.41,0.0,205.75,4.06,10.75,30.83
2024-08-28,NVDA,hold,72.9,0.0,high,6.8,6.8,0.0,125.55,-4.97,-7.97,12.69
2024-08-28,GOOGL,hold,61.6,0.0,medium,2.22,2.22,0.0,161.7,0.33,-2.04,1.62
2024-08-28,AMZN,hold,50.0,0.0,medium,1.99,1.99,0.0,170.8,4.51,9.41,9.97
2024-09-04,CRM,initiate,64.7,73.8,medium,0.0,2.72,2.72,245.41,-0.78,9.36,19.18
2024-09-04,META,initiate,67.9,67.9,high,0.0,3.08,3.08,510.23,-1.55,9.97,10.72
2024-09-04,TSLA,add,62.4,55.0,medium,2.24,3.88,1.64,219.41,-1.43,15.89,13.48
2024-09-04,AVGO,hold,67.0,0.0,high,6.01,6.01,0.0,151.83,-8.63,13.82,9.96
2024-09-04,MSFT,hold,67.2,0.0,high,3.42,3.42,0.0,404.17,-0.78,4.96,0.36
2024-09-04,QCOM,hold,61.3,0.0,medium,5.02,5.02,0.0,159.02,-2.26,1.5,0.48
2024-09-04,NVDA,hold,71.4,0.0,high,6.73,6.73,0.0,106.16,0.24,13.81,27.49
2024-09-04,GOOGL,hold,61.6,0.0,medium,2.21,2.21,0.0,155.35,-4.82,3.87,9.63
2024-09-04,AMZN,hold,50.0,0.0,medium,1.91,1.91,0.0,173.33,1.19,11.9,14.19
2024-09-04,PLTR,hold,60.6,0.0,medium,2.05,2.05,0.0,30.59,13.11,20.63,37.04
2024-09-11,MSFT,add,67.2,55.0,high,3.49,5.04,1.56,418.15,1.96,-0.56,-0.12
2024-09-11,TSLA,add,62.4,55.0,medium,3.88,5.47,1.59,228.13,-0.59,13.1,40.81
2024-09-11,AVGO,hold,59.9,0.0,medium,6.0,6.0,0.0,155.92,3.63,6.16,16.41
2024-09-11,META,hold,67.6,0.0,high,3.08,3.08,0.0,509.32,4.29,12.74,15.25
2024-09-11,CRM,hold,65.1,0.0,high,2.72,2.72,0.0,247.28,2.94,8.71,29.2
2024-09-11,QCOM,hold,61.3,0.0,medium,4.94,4.94,0.0,161.03,0.03,-0.47,2.61
2024-09-11,NVDA,hold,76.0,0.0,high,5.83,5.83,0.0,116.85,-0.1,0.09,26.29
2024-09-11,GOOGL,hold,61.6,0.0,medium,2.17,2.17,0.0,150.29,4.56,10.47,17.99
2024-09-11,AMZN,hold,50.0,0.0,medium,1.99,1.99,0.0,184.52,0.2,0.33,12.82
