ticker,action_count,initiate_count,exit_count,hold_count,avg_forward_5d_pct,avg_forward_20d_pct,avg_forward_60d_pct,doc_count,claim_count,price_coverage_pct
AAPL,0,0,0,0,,,,7,17,97.3
AMD,2,1,1,0,-0.2,12.61,23.29,8,25,97.3
AMZN,21,1,0,18,0.6,4.21,12.66,4,11,97.3
AVGO,23,1,0,20,2.04,7.51,13.79,9,35,97.3
CRM,18,1,0,17,1.13,5.83,21.2,8,25,97.3
CRWD,2,1,1,0,0.72,-2.64,19.25,9,27,97.3
GOOGL,21,1,0,20,0.3,2.69,7.72,11,25,97.3
INTC,2,1,1,0,4.99,3.3,18.62,10,30,97.3
META,18,1,0,17,0.33,3.48,4.86,6,17,97.3
MSFT,22,1,0,19,-0.15,0.9,1.43,7,17,97.3
NOW,0,0,0,0,,,,5,24,97.3
NVDA,23,1,0,20,0.2,2.89,11.2,7,18,97.3
PLTR,19,1,0,16,3.38,17.7,68.2,6,14,97.3
QCOM,22,1,0,19,0.7,-0.35,-3.0,7,22,97.3
TSLA,20,1,0,17,2.59,14.13,47.01,7,18,97.3
