review_date,ticker,weight_pct,market_value,portfolio_total,cash,cash_weight_pct,num_positions
2024-07-31,AMD,2.14,21486.07,1005311.0,60.54,0.01,4
2024-07-31,AVGO,3.21,32314.07,1005311.0,60.54,0.01,4
2024-07-31,NVDA,3.47,34850.65,1005311.0,60.54,0.01,4
2024-07-31,SPY,91.18,916599.68,1005311.0,60.54,0.01,4
2024-08-07,AVGO,2.92,27405.01,938331.96,61.41,0.01,6
2024-08-07,INTC,2.0,18760.76,938331.96,61.41,0.01,6
2024-08-07,MSFT,2.03,19073.61,938331.96,61.41,0.01,6
2024-08-07,NVDA,3.14,29457.16,938331.96,61.41,0.01,6
2024-08-07,QCOM,1.94,18246.31,938331.96,61.41,0.01,6
2024-08-07,SPY,87.96,825327.71,938331.96,61.41,0.01,6
2024-08-14,AMZN,1.96,19364.71,990476.31,59.53,0.01,8
2024-08-14,AVGO,4.65,46106.33,990476.31,59.53,0.01,8
2024-08-14,CRWD,3.01,29833.27,990476.31,59.53,0.01,8
2024-08-14,GOOGL,2.23,22113.2,990476.31,59.53,0.01,8
2024-08-14,MSFT,2.01,19955.89,990476.31,59.53,0.01,8
2024-08-14,NVDA,5.02,49739.89,990476.31,59.53,0.01,8
2024-08-14,QCOM,1.97,19535.43,990476.31,59.53,0.01,8
2024-08-14,SPY,79.13,783768.05,990476.31,59.53,0.01,8
2024-08-21,AMZN,1.99,20504.28,1028484.33,69.53,0.01,8
2024-08-21,AVGO,6.22,64016.58,1028484.33,69.53,0.01,8
2024-08-21,GOOGL,2.22,22868.84,1028484.33,69.53,0.01,8
2024-08-21,MSFT,3.49,35877.59,1028484.33,69.53,0.01,8
2024-08-21,NVDA,6.8,69935.75,1028484.33,69.53,0.01,8
2024-08-21,QCOM,3.51,36053.36,1028484.33,69.53,0.01,8
2024-08-21,SPY,73.35,754419.84,1028484.33,69.53,0.01,8
2024-08-21,TSLA,2.41,24738.57,1028484.33,69.53,0.01,8
2024-08-28,AMZN,1.91,19444.4,1015507.41,69.63,0.01,9
2024-08-28,AVGO,6.01,61081.8,1015507.41,69.63,0.01,9
2024-08-28,GOOGL,2.21,22455.17,1015507.41,69.63,0.01,9
2024-08-28,MSFT,3.42,34732.25,1015507.41,69.63,0.01,9
2024-08-28,NVDA,6.73,68362.88,1015507.41,69.63,0.01,9
2024-08-28,PLTR,2.05,20788.78,1015507.41,69.63,0.01,9
2024-08-28,QCOM,5.02,50935.55,1015507.41,69.63,0.01,9
2024-08-28,SPY,70.39,714839.61,1015507.41,69.63,0.01,9
2024-08-28,TSLA,2.24,22797.33,1015507.41,69.63,0.01,9
2024-09-04,AMZN,1.99,19732.42,991877.36,70.17,0.01,11
2024-09-04,AVGO,6.0,59513.99,991877.36,70.17,0.01,11
2024-09-04,CRM,2.72,26968.65,991877.36,70.17,0.01,11
2024-09-04,GOOGL,2.17,21572.68,991877.36,70.17,0.01,11
2024-09-04,META,3.08,30522.06,991877.36,70.17,0.01,11
2024-09-04,MSFT,3.49,34588.45,991877.36,70.17,0.01,11
2024-09-04,NVDA,5.83,57804.46,991877.36,70.17,0.01,11
2024-09-04,PLTR,2.11,20946.27,991877.36,70.17,0.01,11
2024-09-04,QCOM,4.94,49003.05,991877.36,70.17,0.01,11
2024-09-04,SPY,63.78,632653.71,991877.36,70.17,0.01,11
2024-09-04,TSLA,3.88,38501.44,991877.36,70.17,0.01,11
2024-09-11,AMZN,2.08,21006.32,1010215.61,69.33,0.01,11
2024-09-11,AVGO,6.05,61116.57,1010215.61,69.33,0.01,11
2024-09-11,CRM,2.69,27174.44,1010215.61,69.33,0.01,11
2024-09-11,GOOGL,2.07,20870.91,1010215.61,69.33,0.01,11
2024-09-11,META,3.02,30467.89,1010215.61,69.33,0.01,11
2024-09-11,MSFT,5.04,50964.77,1010215.61,69.33,0.01,11
2024-09-11,NVDA,6.3,63627.93,1010215.61,69.33,0.01,11
2024-09-11,PLTR,2.36,23863.27,1010215.61,69.33,0.01,11
2024-09-11,QCOM,4.91,49622.72,1010215.61,69.33,0.01,11
2024-09-11,SPY,60.01,606189.99,1010215.61,69.33,0.01,11
2024-09-11,TSLA,5.47,55241.47,1010215.61,69.33,0.01,11
2024-09-18,AMZN,2.07,21223.76,1022867.58,69.33,0.01,11
2024-09-18,AVGO,6.1,62429.48,1022867.58,69.33,0.01,11
2024-09-18,CRM,2.69,27529.0,1022867.58,69.33,0.01,11
2024-09-18,GOOGL,2.16,22065.24,1022867.58,69.33,0.01,11
2024-09-18,META,3.13,32053.3,1022867.58,69.33,0.01,11
2024-09-18,MSFT,5.07,51900.84,1022867.58,69.33,0.01,11
2024-09-18,NVDA,6.03,61706.58,1022867.58,69.33,0.01,11
2024-09-18,PLTR,2.44,24910.92,1022867.58,69.33,0.01,11
2024-09-18,QCOM,4.9,50141.13,1022867.58,69.33,0.01,11
2024-09-18,SPY,60.01,613821.74,1022867.58,69.33,0.01,11
2024-09-18,TSLA,5.38,55016.27,1022867.58,69.33,0.01,11
2024-09-25,AMZN,2.07,21918.21,1058289.07,69.33,0.01,11
2024-09-25,AVGO,6.43,68000.62,1058289.07,69.33,0.01,11
2024-09-25,CRM,2.82,29891.16,1058289.07,69.33,0.01,11
2024-09-25,GOOGL,2.11,22297.19,1058289.07,69.33,0.01,11
2024-09-25,META,3.2,33862.27,1058289.07,69.33,0.01,11
2024-09-25,MSFT,4.92,52057.46,1058289.07,69.33,0.01,11
2024-09-25,NVDA,6.35,67225.67,1058289.07,69.33,0.01,11
2024-09-25,PLTR,2.4,25417.63,1058289.07,69.33,0.01,11
2024-09-25,QCOM,4.74,50132.19,1058289.07,69.33,0.01,11
2024-09-25,SPY,59.07,625180.19,1058289.07,69.33,0.01,11
2024-09-25,TSLA,5.88,62237.15,1058289.07,69.33,0.01,11
2024-10-02,AMZN,2.0,21033.65,1049676.91,69.33,0.01,11
2024-10-02,AVGO,6.3,66117.74,1049676.91,69.33,0.01,11
2024-10-02,CRM,2.9,30478.96,1049676.91,69.33,0.01,11
2024-10-02,GOOGL,2.18,22900.56,1049676.91,69.33,0.01,11
2024-10-02,META,3.25,34130.4,1049676.91,69.33,0.01,11
2024-10-02,MSFT,4.79,50252.78,1049676.91,69.33,0.01,11
2024-10-02,NVDA,6.16,64689.29,1049676.91,69.33,0.01,11
2024-10-02,PLTR,2.45,25670.99,1049676.91,69.33,0.01,11
2024-10-02,QCOM,4.78,50147.11,1049676.91,69.33,0.01,11
2024-10-02,SPY,59.44,623886.15,1049676.91,69.33,0.01,11
2024-10-02,TSLA,5.74,60299.96,1049676.91,69.33,0.01,11
2024-10-09,AMZN,1.96,21080.32,1076200.04,69.33,0.01,11
