review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2024-07-31,1005311.0,60.54,1005250.47,4,0.01,SPY,91.18
2024-08-07,938331.96,61.41,938270.56,6,0.01,SPY,87.96
2024-08-14,990476.31,59.53,990416.77,8,0.01,SPY,79.13
2024-08-21,1028484.33,69.53,1028414.8,8,0.01,SPY,73.35
2024-08-28,1015507.41,69.63,1015437.77,9,0.01,SPY,70.39
2024-09-04,991877.36,70.17,991807.19,11,0.01,SPY,63.78
2024-09-11,1010215.61,69.33,1010146.29,11,0.01,SPY,60.01
2024-09-18,1022867.58,69.33,1022798.26,11,0.01,SPY,60.01
2024-09-25,1058289.07,69.33,1058219.74,11,0.01,SPY,59.07
2024-10-02,1049676.91,69.33,1049607.59,11,0.01,SPY,59.44
2024-10-09,1076200.04,69.33,1076130.71,11,0.01,SPY,58.81
2024-10-16,1074764.61,69.33,1074695.28,11,0.01,SPY,59.42
2024-10-23,1066946.8,69.33,1066877.47,11,0.01,SPY,59.41
2024-10-30,1088404.06,69.33,1088334.73,11,0.01,SPY,58.44
2024-11-06,1122648.3,69.33,1122578.98,11,0.01,SPY,57.74
2024-11-13,1143335.69,69.33,1143266.37,11,0.01,SPY,57.28
2024-11-20,1129035.76,66.04,1128969.71,11,0.01,SPY,54.37
2024-11-27,1134097.04,66.04,1134031.0,11,0.01,SPY,54.89
2024-12-04,1176325.01,66.04,1176258.97,11,0.01,SPY,53.7
2024-12-11,1201943.16,64.11,1201879.04,11,0.01,SPY,51.03
2024-12-18,1182501.69,64.46,1182437.22,11,0.01,SPY,48.56
2024-12-25,1237279.39,64.46,1237214.92,11,0.01,SPY,47.76
2025-01-01,1183821.73,64.46,1183757.26,11,0.01,SPY,48.65
