review_date,ticker,weight_pct,market_value,portfolio_total,cash,cash_weight_pct,num_positions
2024-07-31,AMD,2.14,21487.71,1003850.61,70.06,0.01,4
2024-07-31,AVGO,2.15,21542.57,1003850.61,70.06,0.01,4
2024-07-31,NVDA,2.1,21121.18,1003850.61,70.06,0.01,4
2024-07-31,SPY,93.6,939629.08,1003850.61,70.06,0.01,4
2024-08-07,AVGO,1.94,18269.89,939338.53,61.4,0.01,6
2024-08-07,INTC,1.9,17869.11,939338.53,61.4,0.01,6
2024-08-07,MSFT,2.03,19075.85,939338.53,61.4,0.01,6
2024-08-07,NVDA,1.9,17852.46,939338.53,61.4,0.01,6
2024-08-07,QCOM,1.94,18248.81,939338.53,61.4,0.01,6
2024-08-07,SPY,90.27,847961.0,939338.53,61.4,0.01,6
2024-08-14,AMZN,1.95,19321.47,989736.35,59.62,0.01,8
2024-08-14,AVGO,2.14,21141.7,989736.35,59.62,0.01,8
2024-08-14,CRWD,2.0,19840.79,989736.35,59.62,0.01,8
2024-08-14,GOOGL,2.03,20056.36,989736.35,59.62,0.01,8
2024-08-14,MSFT,2.02,19958.24,989736.35,59.62,0.01,8
2024-08-14,NVDA,2.15,21312.5,989736.35,59.62,0.01,8
2024-08-14,QCOM,1.97,19538.11,989736.35,59.62,0.01,8
2024-08-14,SPY,85.73,848507.56,989736.35,59.62,0.01,8
2024-08-21,AMZN,2.0,20458.49,1024117.02,483.59,0.05,8
2024-08-21,AVGO,2.17,22226.34,1024117.02,483.59,0.05,8
2024-08-21,GOOGL,2.03,20741.71,1024117.02,483.59,0.05,8
2024-08-21,MSFT,1.99,20343.39,1024117.02,483.59,0.05,8
2024-08-21,NVDA,2.26,23193.24,1024117.02,483.59,0.05,8
2024-08-21,QCOM,1.99,20364.52,1024117.02,483.59,0.05,8
2024-08-21,SPY,85.42,874832.85,1024117.02,483.59,0.05,8
2024-08-21,TSLA,2.1,21472.91,1024117.02,483.59,0.05,8
2024-08-28,AMZN,1.91,19400.98,1014455.25,59.85,0.01,9
2024-08-28,AVGO,2.09,21207.39,1014455.25,59.85,0.01,9
2024-08-28,GOOGL,2.01,20366.51,1014455.25,59.85,0.01,9
2024-08-28,MSFT,1.94,19693.96,1014455.25,59.85,0.01,9
2024-08-28,NVDA,2.23,22671.61,1014455.25,59.85,0.01,9
2024-08-28,PLTR,1.96,19847.35,1014455.25,59.85,0.01,9
2024-08-28,QCOM,1.98,20087.49,1014455.25,59.85,0.01,9
2024-08-28,SPY,83.92,851332.17,1014455.25,59.85,0.01,9
2024-08-28,TSLA,1.95,19787.93,1014455.25,59.85,0.01,9
2024-09-04,AMZN,1.97,19688.36,999099.0,60.02,0.01,11
2024-09-04,AVGO,2.07,20663.05,999099.0,60.02,0.01,11
2024-09-04,CRM,2.01,20097.11,999099.0,60.02,0.01,11
2024-09-04,GOOGL,1.96,19566.11,999099.0,60.02,0.01,11
2024-09-04,META,1.98,19810.55,999099.0,60.02,0.01,11
2024-09-04,MSFT,1.96,19612.42,999099.0,60.02,0.01,11
2024-09-04,NVDA,1.92,19170.06,999099.0,60.02,0.01,11
2024-09-04,PLTR,2.0,19997.71,999099.0,60.02,0.01,11
2024-09-04,QCOM,1.93,19325.37,999099.0,60.02,0.01,11
2024-09-04,SPY,80.07,800006.57,999099.0,60.02,0.01,11
2024-09-04,TSLA,2.11,21101.68,999099.0,60.02,0.01,11
2024-09-11,AMZN,2.07,20959.42,1011924.11,60.02,0.01,11
2024-09-11,AVGO,2.1,21219.46,1011924.11,60.02,0.01,11
2024-09-11,CRM,2.0,20250.47,1011924.11,60.02,0.01,11
2024-09-11,GOOGL,1.87,18929.61,1011924.11,60.02,0.01,11
2024-09-11,META,1.95,19775.38,1011924.11,60.02,0.01,11
2024-09-11,MSFT,2.01,20290.63,1011924.11,60.02,0.01,11
2024-09-11,NVDA,2.09,21101.34,1011924.11,60.02,0.01,11
2024-09-11,PLTR,2.25,22782.61,1011924.11,60.02,0.01,11
2024-09-11,QCOM,1.93,19569.76,1011924.11,60.02,0.01,11
2024-09-11,SPY,79.56,805045.09,1011924.11,60.02,0.01,11
2024-09-11,TSLA,2.17,21940.32,1011924.11,60.02,0.01,11
2024-09-18,AMZN,2.06,21176.37,1025959.64,60.02,0.01,11
2024-09-18,AVGO,2.11,21675.3,1025959.64,60.02,0.01,11
2024-09-18,CRM,2.0,20514.69,1025959.64,60.02,0.01,11
2024-09-18,GOOGL,1.95,20012.85,1025959.64,60.02,0.01,11
2024-09-18,META,2.03,20804.41,1025959.64,60.02,0.01,11
2024-09-18,MSFT,2.01,20663.31,1025959.64,60.02,0.01,11
2024-09-18,NVDA,1.99,20464.14,1025959.64,60.02,0.01,11
2024-09-18,PLTR,2.32,23782.82,1025959.64,60.02,0.01,11
2024-09-18,QCOM,1.93,19774.2,1025959.64,60.02,0.01,11
2024-09-18,SPY,79.46,815180.66,1025959.64,60.02,0.01,11
2024-09-18,TSLA,2.13,21850.88,1025959.64,60.02,0.01,11
2024-09-25,AMZN,2.08,21869.27,1052056.79,60.02,0.01,11
2024-09-25,AVGO,2.24,23609.58,1052056.79,60.02,0.01,11
2024-09-25,CRM,2.12,22274.97,1052056.79,60.02,0.01,11
2024-09-25,GOOGL,1.92,20223.22,1052056.79,60.02,0.01,11
2024-09-25,META,2.09,21978.53,1052056.79,60.02,0.01,11
2024-09-25,MSFT,1.97,20725.66,1052056.79,60.02,0.01,11
2024-09-25,NVDA,2.12,22294.48,1052056.79,60.02,0.01,11
2024-09-25,PLTR,2.31,24266.58,1052056.79,60.02,0.01,11
2024-09-25,QCOM,1.88,19770.67,1052056.79,60.02,0.01,11
2024-09-25,SPY,78.92,830265.0,1052056.79,60.02,0.01,11
2024-09-25,TSLA,2.35,24718.8,1052056.79,60.02,0.01,11
2024-10-02,AMZN,2.0,20986.68,1047879.83,60.02,0.01,11
2024-10-02,AVGO,2.19,22955.85,1047879.83,60.02,0.01,11
2024-10-02,CRM,2.17,22713.02,1047879.83,60.02,0.01,11
2024-10-02,GOOGL,1.98,20770.49,1047879.83,60.02,0.01,11
2024-10-02,META,2.11,22152.57,1047879.83,60.02,0.01,11
2024-10-02,MSFT,1.91,20007.16,1047879.83,60.02,0.01,11
2024-10-02,NVDA,2.05,21453.32,1047879.83,60.02,0.01,11
2024-10-02,PLTR,2.34,24508.47,1047879.83,60.02,0.01,11
2024-10-02,QCOM,1.89,19776.54,1047879.83,60.02,0.01,11
2024-10-02,SPY,79.07,828546.31,1047879.83,60.02,0.01,11
2024-10-02,TSLA,2.29,23949.41,1047879.83,60.02,0.01,11
2024-10-09,AMZN,1.97,21033.25,1068563.14,60.02,0.01,11
2024-10-09,AVGO,2.34,25012.55,1068563.14,60.02,0.01,11
2024-10-09,CRM,2.19,23398.92,1068563.14,60.02,0.01,11
2024-10-09,GOOGL,1.9,20269.56,1068563.14,60.02,0.01,11
2024-10-09,META,2.14,22837.08,1068563.14,60.02,0.01,11
2024-10-09,MSFT,1.87,20022.99,1068563.14,60.02,0.01,11
2024-10-09,NVDA,2.24,23944.32,1068563.14,60.02,0.01,11
2024-10-09,PLTR,2.64,28195.52,1068563.14,60.02,0.01,11
2024-10-09,QCOM,1.87,19999.79,1068563.14,60.02,0.01,11
2024-10-09,SPY,78.67,840606.24,1068563.14,60.02,0.01,11
2024-10-09,TSLA,2.17,23182.9,1068563.14,60.02,0.01,11
2024-10-16,AMZN,1.98,21228.62,1073124.45,60.02,0.01,11
2024-10-16,AVGO,2.22,23784.45,1073124.45,60.02,0.01,11
2024-10-16,CRM,2.2,23637.85,1073124.45,60.02,0.01,11
2024-10-16,GOOGL,1.93,20682.82,1073124.45,60.02,0.01,11
2024-10-16,META,2.08,22306.48,1073124.45,60.02,0.01,11
2024-10-16,MSFT,1.86,19958.72,1073124.45,60.02,0.01,11
2024-10-16,NVDA,2.28,24498.48,1073124.45,60.02,0.01,11
2024-10-16,PLTR,2.55,27411.04,1073124.45,60.02,0.01,11
2024-10-16,QCOM,1.88,20147.83,1073124.45,60.02,0.01,11
2024-10-16,SPY,79.03,848121.79,1073124.45,60.02,0.01,11
2024-10-16,TSLA,1.98,21286.33,1073124.45,60.02,0.01,11
2024-10-23,AMZN,1.97,20981.0,1065046.0,60.02,0.01,11
2024-10-23,AVGO,2.19,23339.21,1065046.0,60.02,0.01,11
2024-10-23,CRM,2.17,23115.29,1065046.0,60.02,0.01,11
2024-10-23,GOOGL,1.91,20384.77,1065046.0,60.02,0.01,11
2024-10-23,META,2.05,21799.86,1065046.0,60.02,0.01,11
2024-10-23,MSFT,1.91,20365.46,1065046.0,60.02,0.01,11
2024-10-23,NVDA,2.37,25191.63,1065046.0,60.02,0.01,11
2024-10-23,PLTR,2.61,27842.51,1065046.0,60.02,0.01,11
2024-10-23,QCOM,1.84,19574.45,1065046.0,60.02,0.01,11
