review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2024-07-31,1003850.61,70.06,1003780.54,4,0.01,SPY,93.6
2024-08-07,939338.53,61.4,939277.12,6,0.01,SPY,90.27
2024-08-14,989736.35,59.62,989676.73,8,0.01,SPY,85.73
2024-08-21,1024117.02,483.59,1023633.43,8,0.05,SPY,85.42
2024-08-28,1014455.25,59.85,1014395.39,9,0.01,SPY,83.92
2024-09-04,999099.0,60.02,999038.98,11,0.01,SPY,80.07
2024-09-11,1011924.11,60.02,1011864.09,11,0.01,SPY,79.56
2024-09-18,1025959.64,60.02,1025899.62,11,0.01,SPY,79.46
2024-09-25,1052056.79,60.02,1051996.77,11,0.01,SPY,78.92
2024-10-02,1047879.83,60.02,1047819.81,11,0.01,SPY,79.07
2024-10-09,1068563.14,60.02,1068503.12,11,0.01,SPY,78.67
2024-10-16,1073124.45,60.02,1073064.43,11,0.01,SPY,79.03
2024-10-23,1065046.0,60.02,1064985.98,11,0.01,SPY,79.04
2024-10-30,1078244.46,60.02,1078184.44,11,0.01,SPY,78.35
2024-11-06,1108568.55,60.02,1108508.53,11,0.01,SPY,77.65
2024-11-13,1127227.65,60.02,1127167.63,11,0.01,SPY,77.16
2024-11-20,1113399.99,60.02,1113339.97,11,0.01,SPY,77.25
2024-11-27,1125459.34,60.02,1125399.31,11,0.01,SPY,77.5
2024-12-04,1154810.84,60.02,1154750.82,11,0.01,SPY,76.64
2024-12-11,1167287.14,60.02,1167227.12,11,0.01,SPY,75.8
2024-12-18,1134724.74,60.02,1134664.72,11,0.01,SPY,75.25
2024-12-25,1176842.23,60.02,1176782.21,11,0.01,SPY,74.67
2025-01-01,1137270.09,60.02,1137210.07,11,0.01,SPY,75.31
