review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,prior_weight,new_weight,weight_change,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct
2024-07-31,AVGO,initiate,77.0,77.0,high,0.0,4.72,4.72,158.29,-11.58,3.28,7.83
2024-07-31,NVDA,initiate,66.6,66.6,high,0.0,3.05,3.05,116.96,-14.16,8.74,3.75
2024-07-31,MSFT,initiate,50.0,55.7,medium,0.0,1.97,1.97,412.77,-5.55,1.72,2.5
2024-08-07,MU,initiate,61.2,66.7,medium,0.0,2.13,2.13,86.31,9.03,12.74,17.8
2024-08-07,ORCL,initiate,65.7,65.7,high,0.0,2.81,2.81,124.05,5.31,9.99,35.71
2024-08-07,AAPL,initiate,50.0,58.4,medium,0.0,2.02,2.02,208.21,3.79,8.8,8.22
2024-08-07,MSFT,hold,50.0,0.0,medium,1.97,1.97,0.0,393.11,2.1,4.05,4.61
2024-08-07,NVDA,hold,66.6,0.0,high,3.05,3.05,0.0,98.86,10.22,29.71,26.31
2024-08-07,AVGO,hold,77.0,0.0,high,4.72,4.72,0.0,134.25,9.06,18.43,30.05
2024-08-14,MU,exit,58.8,86.0,medium,2.13,0.0,-2.13,99.84,8.19,-11.78,6.6
2024-08-14,AMD,initiate,60.9,60.9,medium,0.0,2.05,2.05,140.75,10.32,-2.71,19.28
2024-08-14,CSCO,initiate,52.3,59.4,medium,0.0,1.91,1.91,43.73,9.99,10.17,20.3
2024-08-14,AVGO,add,77.0,55.0,high,4.29,6.63,2.34,155.35,6.35,-3.11,15.47
2024-08-14,ORCL,add,65.7,55.0,high,2.81,4.38,1.57,133.61,1.71,2.88,29.92
2024-08-14,NVDA,add,66.6,55.0,high,2.76,4.59,1.83,118.02,10.09,-8.54,14.17
2024-08-14,AMAT,initiate,50.0,50.0,medium,0.0,1.95,1.95,198.53,4.62,-8.88,1.9
2024-08-14,AAPL,hold,50.0,0.0,medium,2.02,2.02,0.0,220.27,1.88,0.47,2.63
2024-08-14,MSFT,hold,50.0,0.0,medium,2.01,2.01,0.0,411.3,1.3,-1.6,0.05
2024-08-21,LRCX,initiate,79.5,79.5,high,0.0,4.94,4.94,85.91,-6.23,-16.23,-16.34
2024-08-21,AMD,add,62.5,60.7,medium,2.05,3.74,1.69,157.81,-4.96,-9.49,-1.17
2024-08-21,INTC,initiate,58.0,58.0,medium,0.0,2.1,2.1,21.41,-5.98,-11.35,6.35
2024-08-21,MSFT,add,61.5,56.7,medium,1.99,3.45,1.46,419.24,-2.51,-2.34,-1.41
2024-08-21,AVGO,add,77.0,55.0,high,6.63,8.7,2.07,163.32,-3.72,-10.6,8.87
2024-08-21,NVDA,add,66.6,55.0,high,4.59,6.32,1.73,128.44,-1.59,-15.88,7.4
2024-08-21,AAPL,hold,50.0,0.0,medium,2.02,2.02,0.0,224.92,0.34,-2.78,3.8
2024-08-21,AMAT,hold,50.0,0.0,medium,1.95,1.95,0.0,205.91,-5.98,-14.69,-10.71
2024-08-21,CSCO,hold,50.2,0.0,medium,1.91,1.91,0.0,48.55,0.67,-3.29,13.37
2024-08-21,ORCL,hold,65.7,0.0,high,4.38,4.38,0.0,138.14,-0.93,11.19,24.88
2024-08-28,INTC,exit,51.1,86.0,medium,2.1,0.0,-2.1,19.61,12.39,9.48,15.66
2024-08-28,AAPL,hold,59.9,0.0,medium,1.98,1.98,0.0,225.01,1.11,-4.28,2.17
2024-08-28,AMAT,hold,54.2,0.0,medium,1.94,1.94,0.0,190.29,2.27,-2.23,-3.3
2024-08-28,LRCX,hold,50.0,0.0,medium,4.94,4.94,0.0,79.2,1.97,-4.56,-3.22
2024-08-28,CSCO,hold,52.3,0.0,medium,2.04,2.04,0.0,47.97,1.38,1.52,12.67
2024-08-28,MSFT,hold,61.5,0.0,medium,3.45,3.45,0.0,405.85,1.59,5.98,4.27
2024-08-28,ORCL,hold,65.7,0.0,high,4.34,4.34,0.0,135.86,2.47,21.46,26.13
2024-08-28,AVGO,hold,77.0,0.0,high,8.7,8.7,0.0,155.83,2.93,2.71,9.73
2024-08-28,AMD,hold,65.1,0.0,high,3.74,3.74,0.0,146.36,1.5,3.05,6.74
2024-08-28,NVDA,hold,71.2,0.0,high,6.32,6.32,0.0,125.55,-4.97,-7.97,12.69
2024-09-04,LRCX,exit,70.4,86.0,high,4.64,0.0,-4.64,75.2,-3.94,3.8,-1.85
2024-09-04,PLTR,initiate,71.8,71.8,high,0.0,3.74,3.74,30.59,13.11,20.63,37.04
2024-09-04,AAPL,hold,62.4,0.0,medium,2.02,2.02,0.0,219.41,0.03,2.95,0.93
2024-09-04,AMAT,hold,56.5,0.0,medium,1.82,1.82,0.0,179.92,-2.65,7.9,0.55
2024-09-04,CSCO,hold,52.3,0.0,medium,2.05,2.05,0.0,47.83,-2.01,5.67,12.52
2024-09-04,MSFT,hold,64.1,0.0,medium,3.4,3.4,0.0,404.17,-0.78,4.96,0.36
2024-09-04,ORCL,hold,65.7,0.0,high,4.35,4.35,0.0,138.68,-0.61,17.8,21.07
2024-09-04,AVGO,hold,77.0,0.0,high,8.46,8.46,0.0,151.83,-8.63,13.82,9.96
2024-09-04,AMD,hold,65.1,0.0,high,3.54,3.54,0.0,140.87,-1.93,12.39,0.7
2024-09-04,NVDA,hold,69.7,0.0,high,6.3,6.3,0.0,106.16,0.24,13.81,27.49
2024-09-11,MSFT,add,64.1,55.0,medium,3.47,5.0,1.53,418.15,1.96,-0.56,-0.12
2024-09-11,AMD,add,65.1,55.0,high,3.49,5.13,1.63,149.86,1.48,6.6,-1.27
2024-09-11,TXN,initiate,45.2,45.2,medium,0.0,2.09,2.09,193.5,-1.95,-0.4,9.55
2024-09-11,AAPL,hold,44.8,0.0,medium,2.02,2.02,0.0,221.21,-2.85,1.59,2.04
2024-09-11,AMAT,hold,56.5,0.0,medium,1.77,1.77,0.0,183.44,0.88,6.06,3.28
2024-09-11,PLTR,hold,71.8,0.0,high,3.74,3.74,0.0,34.85,4.19,4.62,67.55
2024-09-11,CSCO,hold,53.1,0.0,medium,2.1,2.1,0.0,47.26,3.91,7.39,19.13
2024-09-11,ORCL,hold,64.1,0.0,medium,4.56,4.56,0.0,154.87,8.37,6.35,20.67
2024-09-11,AVGO,hold,76.0,0.0,high,8.45,8.45,0.0,155.92,3.63,6.16,16.41
2024-09-11,NVDA,hold,74.1,0.0,high,5.46,5.46,0.0,116.85,-0.1,0.09,26.29
2024-09-18,AAPL,hold,46.8,0.0,medium,1.98,1.98,0.0,219.25,2.62,2.3,2.07
2024-09-18,AMAT,hold,56.5,0.0,medium,1.76,1.76,0.0,183.63,4.24,7.92,-9.27
2024-09-18,PLTR,hold,71.8,0.0,high,4.16,4.16,0.0,36.38,4.32,13.94,80.79
2024-09-18,CSCO,hold,55.3,0.0,medium,2.02,2.02,0.0,48.66,3.2,5.07,14.49
2024-09-18,MSFT,hold,64.1,0.0,medium,5.0,5.0,0.0,425.83,0.63,-3.74,-3.67
2024-09-18,ORCL,hold,66.8,0.0,high,4.96,4.96,0.0,162.12,0.86,5.98,11.93
2024-09-18,AVGO,hold,76.0,0.0,high,8.45,8.45,0.0,159.27,7.32,12.16,2.3
2024-09-18,AMD,hold,65.1,0.0,high,5.13,5.13,0.0,148.29,5.71,16.53,-9.03
2024-09-18,NVDA,hold,74.1,0.0,high,5.86,5.86,0.0,113.33,2.55,17.22,25.24
2024-09-18,TXN,hold,45.2,0.0,medium,2.09,2.09,0.0,191.87,1.56,0.75,0.86
2024-09-25,AAPL,hold,46.8,0.0,medium,1.94,1.94,0.0,224.89,2.93,3.3,1.66
2024-09-25,AMAT,hold,56.5,0.0,medium,1.74,1.74,0.0,194.65,2.4,-3.19,-11.16
2024-09-25,PLTR,hold,71.8,0.0,high,4.29,4.29,0.0,37.12,0.22,14.3,73.36
2024-09-25,CSCO,hold,55.3,0.0,medium,2.06,2.06,0.0,50.67,1.08,3.5,12.06
2024-09-25,MSFT,hold,64.1,0.0,medium,5.03,5.03,0.0,427.11,-0.42,-3.09,-3.3
2024-09-25,ORCL,hold,66.8,0.0,high,5.12,5.12,0.0,163.84,2.48,4.93,15.9
2024-09-25,AVGO,hold,79.1,0.0,high,8.53,8.53,0.0,173.48,-1.72,0.26,-6.43
2024-09-25,AMD,hold,65.1,0.0,high,5.01,5.01,0.0,162.02,1.27,-3.32,-14.61
2024-09-25,NVDA,hold,74.1,0.0,high,5.61,5.61,0.0,123.46,-1.68,6.55,14.93
2024-09-25,TXN,hold,44.9,0.0,medium,2.05,2.05,0.0,196.03,0.74,-2.55,-2.81
2024-10-02,AAPL,hold,46.8,0.0,medium,1.93,1.93,0.0,225.3,-2.24,4.0,4.77
2024-10-02,AMAT,hold,56.5,0.0,medium,1.78,1.78,0.0,198.44,-0.51,-9.02,-12.94
2024-10-02,PLTR,hold,71.8,0.0,high,4.24,4.24,0.0,37.49,3.73,14.54,78.93
2024-10-02,CSCO,hold,55.3,0.0,medium,2.07,2.07,0.0,51.02,-0.21,7.56,12.52
2024-10-02,MSFT,hold,64.1,0.0,medium,4.89,4.89,0.0,412.31,-1.82,2.49,1.72
2024-10-02,ORCL,hold,70.5,0.0,high,5.02,5.02,0.0,165.25,1.35,4.77,10.46
2024-10-02,AVGO,hold,76.1,0.0,high,9.0,9.0,0.0,168.68,2.59,5.11,-5.03
2024-10-02,AMD,hold,65.1,0.0,high,5.3,5.3,0.0,159.78,7.0,-3.56,-14.14
2024-10-02,NVDA,hold,74.1,0.0,high,5.92,5.92,0.0,118.8,7.46,20.82,16.32
2024-10-02,TXN,hold,46.9,0.0,medium,2.02,2.02,0.0,194.47,-1.06,-4.65,-0.53
2024-10-09,AAPL,hold,46.8,0.0,medium,1.94,1.94,0.0,228.04,0.77,1.8,5.91
2024-10-09,AMAT,hold,56.5,0.0,medium,1.83,1.83,0.0,202.3,4.31,-7.29,-15.43
2024-10-09,PLTR,hold,71.8,0.0,high,4.31,4.31,0.0,43.13,0.63,4.17,77.0
2024-10-09,CSCO,hold,55.3,0.0,medium,2.1,2.1,0.0,51.94,1.33,3.96,11.82
2024-10-09,MSFT,hold,64.1,0.0,medium,4.76,4.76,0.0,412.63,0.4,3.47,6.47
2024-10-09,ORCL,hold,73.5,0.0,high,5.1,5.1,0.0,175.67,-0.99,-2.51,7.76
2024-10-09,AVGO,hold,76.1,0.0,high,8.81,8.81,0.0,183.79,-1.96,-3.61,-3.45
2024-10-09,AMD,hold,65.1,0.0,high,5.27,5.27,0.0,171.02,-3.36,-2.79,-18.96
2024-10-09,NVDA,hold,74.1,0.0,high,5.74,5.74,0.0,132.6,4.09,6.48,7.39
2024-10-09,TXN,hold,46.9,0.0,medium,2.02,2.02,0.0,195.95,1.8,3.11,-5.17
2024-10-16,AAPL,hold,46.8,0.0,medium,1.9,1.9,0.0,230.27,2.03,-3.59,7.17
2024-10-16,AMAT,hold,56.5,0.0,medium,1.8,1.8,0.0,182.1,-0.07,1.02,-8.04
2024-10-16,PLTR,hold,71.8,0.0,high,4.78,4.78,0.0,41.93,1.84,21.94,81.42
2024-10-16,CSCO,hold,48.6,0.0,medium,2.06,2.06,0.0,54.67,0.37,-0.39,3.97
2024-10-16,MSFT,hold,64.1,0.0,medium,4.59,4.59,0.0,411.31,0.64,-1.12,7.7
