review_date,ticker,weight_pct,market_value,portfolio_total,cash,cash_weight_pct,num_positions
2024-07-31,AVGO,4.72,47395.54,1004432.5,60.53,0.01,4
2024-07-31,MSFT,1.97,19768.64,1004432.5,60.53,0.01,4
2024-07-31,NVDA,3.05,30624.99,1004432.5,60.53,0.01,4
2024-07-31,SPY,90.26,906582.8,1004432.5,60.53,0.01,4
2024-08-07,AAPL,2.02,18942.02,937859.22,61.43,0.01,7
2024-08-07,AVGO,4.29,40195.35,937859.22,61.43,0.01,7
2024-08-07,MSFT,2.01,18827.34,937859.22,61.43,0.01,7
2024-08-07,MU,2.13,19972.31,937859.22,61.43,0.01,7
2024-08-07,NVDA,2.76,25885.46,937859.22,61.43,0.01,7
2024-08-07,ORCL,2.81,26321.69,937859.22,61.43,0.01,7
2024-08-07,SPY,83.98,787653.62,937859.22,61.43,0.01,7
2024-08-14,AAPL,2.02,20039.49,992195.75,59.39,0.01,9
2024-08-14,AMAT,1.95,19311.5,992195.75,59.39,0.01,9
2024-08-14,AMD,2.05,20350.49,992195.75,59.39,0.01,9
2024-08-14,AVGO,6.63,65773.22,992195.75,59.39,0.01,9
2024-08-14,CSCO,1.91,18999.2,992195.75,59.39,0.01,9
2024-08-14,MSFT,1.99,19698.24,992195.75,59.39,0.01,9
2024-08-14,NVDA,4.59,45527.15,992195.75,59.39,0.01,9
2024-08-14,ORCL,4.38,43419.09,992195.75,59.39,0.01,9
2024-08-14,SPY,74.48,739017.98,992195.75,59.39,0.01,9
2024-08-21,AAPL,1.98,20462.48,1034200.7,69.43,0.01,11
2024-08-21,AMAT,1.94,20028.87,1034200.7,69.43,0.01,11
2024-08-21,AMD,3.74,38697.03,1034200.7,69.43,0.01,11
2024-08-21,AVGO,8.7,89930.23,1034200.7,69.43,0.01,11
2024-08-21,CSCO,2.04,21093.96,1034200.7,69.43,0.01,11
2024-08-21,INTC,2.1,21679.29,1034200.7,69.43,0.01,11
2024-08-21,LRCX,4.94,51051.46,1034200.7,69.43,0.01,11
2024-08-21,MSFT,3.45,35657.9,1034200.7,69.43,0.01,11
2024-08-21,NVDA,6.32,65394.77,1034200.7,69.43,0.01,11
2024-08-21,ORCL,4.34,44892.01,1034200.7,69.43,0.01,11
2024-08-21,SPY,60.46,625243.28,1034200.7,69.43,0.01,11
2024-08-28,AAPL,2.02,20470.61,1014264.63,20432.24,2.01,10
2024-08-28,AMAT,1.82,18509.82,1014264.63,20432.24,2.01,10
2024-08-28,AMD,3.54,35889.34,1014264.63,20432.24,2.01,10
2024-08-28,AVGO,8.46,85807.47,1014264.63,20432.24,2.01,10
2024-08-28,CSCO,2.05,20843.09,1014264.63,20432.24,2.01,10
2024-08-28,LRCX,4.64,47063.6,1014264.63,20432.24,2.01,10
2024-08-28,MSFT,3.4,34519.57,1014264.63,20432.24,2.01,10
2024-08-28,NVDA,6.3,63924.03,1014264.63,20432.24,2.01,10
2024-08-28,ORCL,4.35,44149.13,1014264.63,20432.24,2.01,10
2024-08-28,SPY,61.39,622655.73,1014264.63,20432.24,2.01,10
2024-09-04,AAPL,2.02,19960.86,989405.58,28015.97,2.83,10
2024-09-04,AMAT,1.77,17501.27,989405.58,28015.97,2.83,10
2024-09-04,AMD,3.49,34543.12,989405.58,28015.97,2.83,10
2024-09-04,AVGO,8.45,83605.01,989405.58,28015.97,2.83,10
2024-09-04,CSCO,2.1,20780.39,989405.58,28015.97,2.83,10
2024-09-04,MSFT,3.47,34376.65,989405.58,28015.97,2.83,10
2024-09-04,NVDA,5.46,54051.17,989405.58,28015.97,2.83,10
2024-09-04,ORCL,4.56,45068.11,989405.58,28015.97,2.83,10
2024-09-04,PLTR,3.74,37044.43,989405.58,28015.97,2.83,10
2024-09-04,SPY,62.1,614458.58,989405.58,28015.97,2.83,10
2024-09-11,AAPL,1.98,20124.45,1015602.64,58.91,0.01,11
2024-09-11,AMAT,1.76,17842.89,1015602.64,58.91,0.01,11
2024-09-11,AMD,5.13,52055.42,1015602.64,58.91,0.01,11
2024-09-11,AVGO,8.45,85856.31,1015602.64,58.91,0.01,11
2024-09-11,CSCO,2.02,20533.69,1015602.64,58.91,0.01,11
2024-09-11,MSFT,5.0,50823.61,1015602.64,58.91,0.01,11
2024-09-11,NVDA,5.86,59496.53,1015602.64,58.91,0.01,11
2024-09-11,ORCL,4.96,50328.99,1015602.64,58.91,0.01,11
2024-09-11,PLTR,4.16,42203.28,1015602.64,58.91,0.01,11
2024-09-11,SPY,58.59,595070.84,1015602.64,58.91,0.01,11
2024-09-11,TXN,2.09,21207.73,1015602.64,58.91,0.01,11
2024-09-18,AAPL,1.94,19946.4,1028010.29,58.91,0.01,11
2024-09-18,AMAT,1.74,17862.09,1028010.29,58.91,0.01,11
2024-09-18,AMD,5.01,51510.07,1028010.29,58.91,0.01,11
2024-09-18,AVGO,8.53,87700.68,1028010.29,58.91,0.01,11
2024-09-18,CSCO,2.06,21144.15,1028010.29,58.91,0.01,11
2024-09-18,MSFT,5.03,51757.08,1028010.29,58.91,0.01,11
2024-09-18,NVDA,5.61,57699.92,1028010.29,58.91,0.01,11
2024-09-18,ORCL,5.12,52682.45,1028010.29,58.91,0.01,11
2024-09-18,PLTR,4.29,44056.11,1028010.29,58.91,0.01,11
2024-09-18,SPY,58.61,602562.82,1028010.29,58.91,0.01,11
2024-09-18,TXN,2.05,21029.61,1028010.29,58.91,0.01,11
2024-09-25,AAPL,1.93,20459.77,1061439.95,58.91,0.01,11
2024-09-25,AMAT,1.78,18933.96,1061439.95,58.91,0.01,11
2024-09-25,AMD,5.3,56279.32,1061439.95,58.91,0.01,11
2024-09-25,AVGO,9.0,95527.0,1061439.95,58.91,0.01,11
2024-09-25,CSCO,2.07,22013.82,1061439.95,58.91,0.01,11
2024-09-25,MSFT,4.89,51913.26,1061439.95,58.91,0.01,11
2024-09-25,NVDA,5.92,62860.66,1061439.95,58.91,0.01,11
2024-09-25,ORCL,5.02,53242.79,1061439.95,58.91,0.01,11
2024-09-25,PLTR,4.24,44952.25,1061439.95,58.91,0.01,11
2024-09-25,SPY,57.82,613712.82,1061439.95,58.91,0.01,11
2024-09-25,TXN,2.02,21485.39,1061439.95,58.91,0.01,11
2024-10-02,AAPL,1.94,20496.82,1053871.31,58.91,0.01,11
2024-10-02,AMAT,1.83,19302.45,1053871.31,58.91,0.01,11
2024-10-02,AMD,5.27,55501.24,1053871.31,58.91,0.01,11
2024-10-02,AVGO,8.81,92881.94,1053871.31,58.91,0.01,11
2024-10-02,CSCO,2.1,22169.41,1053871.31,58.91,0.01,11
2024-10-02,MSFT,4.76,50113.58,1053871.31,58.91,0.01,11
2024-10-02,NVDA,5.74,60488.97,1053871.31,58.91,0.01,11
2024-10-02,ORCL,5.1,53700.67,1053871.31,58.91,0.01,11
2024-10-02,PLTR,4.31,45400.32,1053871.31,58.91,0.01,11
2024-10-02,SPY,58.11,612442.4,1053871.31,58.91,0.01,11
2024-10-02,TXN,2.02,21314.6,1053871.31,58.91,0.01,11
2024-10-09,AAPL,1.9,20746.28,1093474.55,58.91,0.01,11
2024-10-09,AMAT,1.8,19677.65,1093474.55,58.91,0.01,11
2024-10-09,AMD,5.43,59405.57,1093474.55,58.91,0.01,11
2024-10-09,AVGO,9.26,101203.55,1093474.55,58.91,0.01,11
2024-10-09,CSCO,2.06,22565.45,1093474.55,58.91,0.01,11
2024-10-09,MSFT,4.59,50153.23,1093474.55,58.91,0.01,11
2024-10-09,NVDA,6.17,67512.49,1093474.55,58.91,0.01,11
2024-10-09,ORCL,5.22,57088.4,1093474.55,58.91,0.01,11
2024-10-09,PLTR,4.78,52230.35,1093474.55,58.91,0.01,11
2024-10-09,SPY,56.82,621356.72,1093474.55,58.91,0.01,11
2024-10-09,TXN,1.96,21475.95,1093474.55,58.91,0.01,11
2024-10-16,AAPL,1.93,20948.74,1086813.62,58.91,0.01,11
2024-10-16,AMAT,1.63,17713.34,1086813.62,58.91,0.01,11
2024-10-16,AMD,4.99,54233.37,1086813.62,58.91,0.01,11
2024-10-16,AVGO,8.85,96234.51,1086813.62,58.91,0.01,11
2024-10-16,CSCO,2.19,23753.56,1086813.62,58.91,0.01,11
2024-10-16,MSFT,4.6,49992.25,1086813.62,58.91,0.01,11
2024-10-16,NVDA,6.36,69074.98,1086813.62,58.91,0.01,11
2024-10-16,ORCL,5.16,56087.14,1086813.62,58.91,0.01,11
2024-10-16,PLTR,4.67,50777.15,1086813.62,58.91,0.01,11
2024-10-16,SPY,57.68,626912.15,1086813.62,58.91,0.01,11
2024-10-16,TXN,1.93,21027.52,1086813.62,58.91,0.01,11
2024-10-23,AAPL,1.93,20856.54,1082284.22,58.91,0.01,11
2024-10-23,AMAT,1.62,17531.98,1082284.22,58.91,0.01,11
2024-10-23,AMD,4.91,53114.87,1082284.22,58.91,0.01,11
2024-10-23,AVGO,8.73,94433.04,1082284.22,58.91,0.01,11
2024-10-23,CSCO,2.19,23711.41,1082284.22,58.91,0.01,11
2024-10-23,MSFT,4.71,51011.03,1082284.22,58.91,0.01,11
2024-10-23,NVDA,6.56,71029.37,1082284.22,58.91,0.01,11
2024-10-23,ORCL,5.13,55551.2,1082284.22,58.91,0.01,11
2024-10-23,PLTR,4.77,51576.41,1082284.22,58.91,0.01,11
2024-10-23,SPY,57.5,622271.93,1082284.22,58.91,0.01,11
2024-10-23,TXN,1.95,21137.53,1082284.22,58.91,0.01,11
2024-10-30,AAPL,1.91,20796.9,1087854.49,58.91,0.01,11
2024-10-30,AMAT,1.63,17781.48,1087854.49,58.91,0.01,11
2024-10-30,AMD,4.74,51617.75,1087854.49,58.91,0.01,11
2024-10-30,AVGO,8.84,96136.55,1087854.49,58.91,0.01,11
2024-10-30,CSCO,2.15,23420.69,1087854.49,58.91,0.01,11
2024-10-30,MSFT,4.78,51963.72,1087854.49,58.91,0.01,11
2024-10-30,NVDA,6.52,70917.41,1087854.49,58.91,0.01,11
2024-10-30,ORCL,5.15,56019.74,1087854.49,58.91,0.01,11
2024-10-30,PLTR,4.86,52908.5,1087854.49,58.91,0.01,11
2024-10-30,SPY,57.4,624446.74,1087854.49,58.91,0.01,11
2024-10-30,TXN,2.0,21786.09,1087854.49,58.91,0.01,11
2024-11-06,AAPL,1.8,20129.87,1119679.33,58.91,0.01,11
2024-11-06,AMAT,1.61,17994.51,1119679.33,58.91,0.01,11
2024-11-06,AMD,4.5,50401.99,1119679.33,58.91,0.01,11
2024-11-06,AVGO,8.73,97720.31,1119679.33,58.91,0.01,11
2024-11-06,CSCO,2.18,24381.31,1119679.33,58.91,0.01,11
2024-11-06,MSFT,4.51,50480.01,1119679.33,58.91,0.01,11
2024-11-06,NVDA,6.62,74108.53,1119679.33,58.91,0.01,11
2024-11-06,ORCL,5.19,58163.49,1119679.33,58.91,0.01,11
2024-11-06,PLTR,6.01,67246.72,1119679.33,58.91,0.01,11
2024-11-06,SPY,56.83,636321.67,1119679.33,58.91,0.01,11
2024-11-06,TXN,2.02,22672.0,1119679.33,58.91,0.01,11
2024-11-13,AAPL,1.8,20369.18,1130290.84,58.91,0.01,11
2024-11-13,AMAT,1.55,17540.62,1130290.84,58.91,0.01,11
2024-11-13,AMD,4.28,48387.3,1130290.84,58.91,0.01,11
2024-11-13,AVGO,8.36,94471.14,1130290.84,58.91,0.01,11
2024-11-13,CSCO,2.21,24933.24,1130290.84,58.91,0.01,11
2024-11-13,MSFT,4.52,51083.11,1130290.84,58.91,0.01,11
2024-11-13,NVDA,6.59,74444.42,1130290.84,58.91,0.01,11
2024-11-13,ORCL,5.38,60855.99,1130290.84,58.91,0.01,11
2024-11-13,PLTR,6.5,73507.58,1130290.84,58.91,0.01,11
2024-11-13,SPY,56.88,642942.92,1130290.84,58.91,0.01,11
2024-11-13,TXN,1.92,21696.45,1130290.84,58.91,0.01,11
2024-11-20,AAPL,1.86,20720.24,1115615.79,55.19,0.0,11
2024-11-20,AMAT,1.47,16360.3,1115615.79,55.19,0.0,11
2024-11-20,AMD,4.28,47796.78,1115615.79,55.19,0.0,11
2024-11-20,AVGO,7.96,88849.04,1115615.79,55.19,0.0,11
2024-11-20,CSCO,2.17,24225.41,1115615.79,55.19,0.0,11
2024-11-20,MSFT,4.47,49916.56,1115615.79,55.19,0.0,11
2024-11-20,NVDA,6.66,74251.04,1115615.79,55.19,0.0,11
2024-11-20,ORCL,5.49,61215.43,1115615.79,55.19,0.0,11
2024-11-20,PLTR,8.77,97891.3,1115615.79,55.19,0.0,11
2024-11-20,SPY,54.99,613432.19,1115615.79,55.19,0.0,11
2024-11-20,TXN,1.87,20902.29,1115615.79,55.19,0.0,11
2024-11-27,AAPL,1.89,21256.8,1122605.74,55.19,0.0,11
2024-11-27,AMAT,1.47,16478.61,1122605.74,55.19,0.0,11
2024-11-27,AMD,4.22,47324.37,1122605.74,55.19,0.0,11
2024-11-27,AVGO,7.74,86900.6,1122605.74,55.19,0.0,11
2024-11-27,CSCO,2.23,24979.55,1122605.74,55.19,0.0,11
2024-11-27,MSFT,4.54,50919.32,1122605.74,55.19,0.0,11
2024-11-27,NVDA,6.14,68881.56,1122605.74,55.19,0.0,11
2024-11-27,ORCL,5.22,58632.03,1122605.74,55.19,0.0,11
2024-11-27,PLTR,9.27,104084.36,1122605.74,55.19,0.0,11
2024-11-27,SPY,55.41,622085.58,1122605.74,55.19,0.0,11
2024-11-27,TXN,1.87,21007.76,1122605.74,55.19,0.0,11
2024-12-04,AAPL,1.9,21987.89,1156421.3,55.19,0.0,11
2024-12-04,AMAT,1.51,17425.08,1156421.3,55.19,0.0,11
2024-12-04,AMD,4.33,50016.42,1156421.3,55.19,0.0,11
2024-12-04,AVGO,8.03,92827.53,1156421.3,55.19,0.0,11
2024-12-04,CSCO,2.17,25118.59,1156421.3,55.19,0.0,11
2024-12-04,MSFT,4.55,52656.4,1156421.3,55.19,0.0,11
2024-12-04,NVDA,6.39,73869.33,1156421.3,55.19,0.0,11
2024-12-04,ORCL,5.22,60393.88,1156421.3,55.19,0.0,11
2024-12-04,PLTR,9.52,110072.56,1156421.3,55.19,0.0,11
2024-12-04,SPY,54.59,631258.56,1156421.3,55.19,0.0,11
2024-12-04,TXN,1.79,20739.87,1156421.3,55.19,0.0,11
2024-12-11,AAPL,1.93,22302.76,1156195.01,97.25,0.01,11
2024-12-11,AMAT,1.42,16460.34,1156195.01,97.25,0.01,11
2024-12-11,AMD,3.91,45208.95,1156195.01,97.25,0.01,11
2024-12-11,AVGO,8.62,99706.85,1156195.01,97.25,0.01,11
2024-12-11,CSCO,2.13,24684.67,1156195.01,97.25,0.01,11
2024-12-11,MSFT,4.67,54049.19,1156195.01,97.25,0.01,11
2024-12-11,NVDA,6.13,70907.02,1156195.01,97.25,0.01,11
2024-12-11,ORCL,4.96,57309.83,1156195.01,97.25,0.01,11
2024-12-11,PLTR,10.0,115602.78,1156195.01,97.25,0.01,11
2024-12-11,SPY,54.46,629647.55,1156195.01,97.25,0.01,11
2024-12-11,TXN,1.75,20217.81,1156195.01,97.25,0.01,11
2024-12-18,AAPL,1.97,22443.91,1139018.01,4623.53,0.41,11
2024-12-18,AMAT,0.99,11270.65,1139018.01,4623.53,0.41,11
2024-12-18,AMD,3.7,42173.02,1139018.01,4623.53,0.41,11
2024-12-18,AVGO,10.69,121705.51,1139018.01,4623.53,0.41,11
2024-12-18,CSCO,2.13,24238.05,1139018.01,4623.53,0.41,11
2024-12-18,MSFT,4.62,52652.79,1139018.01,4623.53,0.41,11
2024-12-18,NVDA,5.76,65613.55,1139018.01,4623.53,0.41,11
2024-12-18,ORCL,4.66,53083.33,1139018.01,4623.53,0.41,11
2024-12-18,PLTR,10.01,114008.48,1139018.01,4623.53,0.41,11
2024-12-18,SPY,53.35,607693.99,1139018.01,4623.53,0.41,11
2024-12-18,TXN,1.71,19511.19,1139018.01,4623.53,0.41,11
2024-12-25,AAPL,1.95,23362.3,1195591.74,5110.28,0.43,11
2024-12-25,AMAT,0.92,10979.94,1195591.74,5110.28,0.43,11
2024-12-25,AMD,3.67,43868.14,1195591.74,5110.28,0.43,11
2024-12-25,AVGO,10.94,130795.71,1195591.74,5110.28,0.43,11
2024-12-25,CSCO,2.11,25215.48,1195591.74,5110.28,0.43,11
2024-12-25,MSFT,4.42,52886.31,1195591.74,5110.28,0.43,11
2024-12-25,NVDA,5.97,71370.2,1195591.74,5110.28,0.43,11
2024-12-25,ORCL,4.6,55008.83,1195591.74,5110.28,0.43,11
2024-12-25,PLTR,10.99,131338.54,1195591.74,5110.28,0.43,11
2024-12-25,SPY,52.31,625360.14,1195591.74,5110.28,0.43,11
2024-12-25,TXN,1.7,20295.86,1195591.74,5110.28,0.43,11
2025-01-01,AAPL,1.96,22658.36,1154245.02,5110.28,0.44,11
2025-01-01,AMAT,0.92,10605.62,1154245.02,5110.28,0.44,11
2025-01-01,AMD,3.64,41957.66,1154245.02,5110.28,0.44,11
2025-01-01,AVGO,10.96,126517.34,1154245.02,5110.28,0.44,11
2025-01-01,CSCO,2.16,24941.67,1154245.02,5110.28,0.44,11
2025-01-01,MSFT,4.4,50739.95,1154245.02,5110.28,0.44,11
2025-01-01,NVDA,5.92,68351.88,1154245.02,5110.28,0.44,11
2025-01-01,ORCL,4.63,53478.07,1154245.02,5110.28,0.44,11
2025-01-01,PLTR,10.45,120577.0,1154245.02,5110.28,0.44,11
2025-01-01,SPY,52.81,609531.29,1154245.02,5110.28,0.44,11
