review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2024-07-31,1004432.5,60.53,1004371.97,4,0.01,SPY,90.26
2024-08-07,937859.22,61.43,937797.79,7,0.01,SPY,83.98
2024-08-14,992195.75,59.39,992136.36,9,0.01,SPY,74.48
2024-08-21,1034200.7,69.43,1034131.27,11,0.01,SPY,60.46
2024-08-28,1014264.63,20432.24,993832.39,10,2.01,SPY,61.39
2024-09-04,989405.58,28015.97,961389.61,10,2.83,SPY,62.1
2024-09-11,1015602.64,58.91,1015543.73,11,0.01,SPY,58.59
2024-09-18,1028010.29,58.91,1027951.38,11,0.01,SPY,58.61
2024-09-25,1061439.95,58.91,1061381.04,11,0.01,SPY,57.82
2024-10-02,1053871.31,58.91,1053812.4,11,0.01,SPY,58.11
2024-10-09,1093474.55,58.91,1093415.64,11,0.01,SPY,56.82
2024-10-16,1086813.62,58.91,1086754.71,11,0.01,SPY,57.68
2024-10-23,1082284.22,58.91,1082225.31,11,0.01,SPY,57.5
2024-10-30,1087854.49,58.91,1087795.57,11,0.01,SPY,57.4
2024-11-06,1119679.33,58.91,1119620.42,11,0.01,SPY,56.83
2024-11-13,1130290.84,58.91,1130231.93,11,0.01,SPY,56.88
2024-11-20,1115615.79,55.19,1115560.6,11,0.0,SPY,54.99
2024-11-27,1122605.74,55.19,1122550.56,11,0.0,SPY,55.41
2024-12-04,1156421.3,55.19,1156366.12,11,0.0,SPY,54.59
2024-12-11,1156195.01,97.25,1156097.76,11,0.01,SPY,54.46
2024-12-18,1139018.01,4623.53,1134394.49,11,0.41,SPY,53.35
2024-12-25,1195591.74,5110.28,1190481.46,11,0.43,SPY,52.31
2025-01-01,1154245.02,5110.28,1149134.74,11,0.44,SPY,52.81
